O,I,F,K,S,T,R,A
64,3,224,7,2,1,1,0
64,64,56,1,2,1,1,1
192,64,56,3,1,1,1,1
64,192,28,1,2,1,1,2
96,192,28,1,1,1,1,1
128,96,28,3,1,1,1,1
16,192,28,1,1,1,1,1
32,16,28,3,1,1,1,1
32,192,28,1,2,1,1,1
128,256,28,1,1,2,1,2
128,256,28,1,1,1,1,1
192,128,28,3,1,1,1,1
32,256,28,1,1,2,1,2
96,32,28,3,1,1,1,1
64,256,28,1,1,1,1,1
192,480,14,1,1,2,1,1
96,480,14,1,1,1,1,1
208,96,14,3,1,1,1,1
16,480,14,1,1,2,1,1
48,16,14,3,1,1,1,1
64,480,14,1,1,1,1,1
128,512,4,1,1,2,1,1
160,512,14,1,1,1,1,1
112,512,14,1,1,1,1,1
224,112,14,3,1,2,1,1
24,512,14,1,1,1,1,1
64,24,14,3,1,1,1,1
64,512,14,1,1,2,1,1
128,512,14,1,1,1,1,1
128,512,14,1,2,1,1,1
256,128,14,3,1,2,1,1
24,512,14,1,1,1,1,1
64,24,14,3,1,1,1,1
64,512,14,1,1,2,1,1
112,512,14,1,1,1,1,1
144,512,14,1,1,1,1,1
288,144,14,3,1,2,1,1
32,512,14,1,1,1,1,1
64,32,14,3,1,1,1,1
64,512,14,1,1,2,1,1
128,528,4,1,1,1,1,1
256,528,14,1,1,1,1,1
160,528,14,1,1,2,1,1
320,160,14,3,1,1,1,1
32,528,14,1,1,1,1,1
128,32,14,3,1,2,1,1
128,528,14,1,1,1,1,1
256,832,7,1,1,1,1,1
160,832,7,1,1,2,1,1
320,160,7,3,1,1,1,1
32,832,7,1,1,1,1,1
128,32,7,3,1,2,1,1
128,832,7,1,1,1,1,1
384,832,7,1,1,1,1,1
192,832,7,1,1,2,1,1
384,192,7,3,1,1,1,1
48,832,7,1,1,1,1,1
128,48,7,3,1,1,1,1
128,832,7,1,1,1,1,1
,,,,,,,
