O,I,F,K,S,T,R,A
32,3,224,3,1,1,1,0
1,32,112,3,2,2,1,0
16,32,112,1,1,1,1,0
96,16,112,1,1,1,1,0
1,96,112,3,1,2,1,0
24,96,56,1,1,1,1,0
144,24,56,1,1,1,1,0
1,144,56,3,1,2,1,0
24,144,56,1,1,1,1,0
144,24,56,1,1,1,1,0
1,144,56,3,1,2,1,0
32,144,28,1,1,1,1,0
192,32,28,1,1,1,1,0
1,192,28,3,1,2,1,0
32,192,28,1,1,1,1,0
192,32,28,1,1,1,1,0
1,192,28,3,1,2,1,0
32,192,28,1,1,1,1,0
192,32,28,1,1,1,1,0
1,192,28,3,1,2,1,0
64,192,14,1,1,1,1,0
384,64,14,1,1,1,1,0
1,384,14,3,1,2,1,0
64,384,14,1,1,1,1,0
384,64,14,1,1,1,1,0
1,384,14,3,1,2,1,0
64,384,14,1,1,1,1,0
384,64,14,1,1,1,1,0
1,384,14,3,1,2,1,0
64,384,14,1,1,1,1,0
384,64,14,1,1,1,1,0
1,384,14,3,1,2,1,0
96,384,14,1,1,1,1,0
576,96,14,1,1,1,1,0
1,576,14,3,1,2,1,0
96,576,14,1,1,1,1,0
576,96,14,1,1,1,1,0
1,576,14,3,1,2,1,0
96,576,14,1,1,1,1,0
576,96,14,1,1,1,1,0
1,576,14,3,1,2,1,0
160,576,7,1,1,1,1,0
960,160,7,1,1,1,1,0
1,960,7,3,1,2,1,0
160,960,7,1,1,1,1,0
960,160,7,1,1,1,1,0
1,960,7,3,1,2,1,0
160,960,7,1,1,1,1,0
960,160,7,1,1,1,1,0
1,960,7,3,1,2,1,0
320,960,7,1,1,1,1,0
1280,320,7,1,1,1,1,0
