O,I,F,K,S,T,R,A
96,3,224,7,2,1,1,0
192,96,56,1,1,1,1,1
48,192,56,3,1,1,1,1
192,144,56,1,1,1,1,1
48,192,56,3,1,1,1,1
192,192,56,1,1,1,1,1
48,192,56,3,1,1,1,1
192,240,56,1,1,1,1,1
48,192,56,3,1,1,1,1
192,288,56,1,1,1,1,1
48,192,56,3,1,1,1,1
192,336,56,1,1,1,1,1
48,192,56,3,1,1,1,1
192,384,56,1,1,1,1,1
192,192,28,1,1,1,1,1
48,192,28,3,1,1,1,1
192,240,28,1,1,1,1,1
48,192,28,3,1,1,1,1
192,288,28,1,1,1,1,1
48,192,28,3,1,1,1,1
192,336,28,1,1,1,1,1
48,192,28,3,1,1,1,1
192,384,28,1,1,1,1,1
48,192,28,3,1,1,1,1
192,432,28,1,1,1,1,1
48,192,28,3,1,1,1,1
192,480,28,1,1,1,1,1
48,192,28,3,1,1,1,1
192,528,28,1,1,1,1,1
48,192,28,3,1,1,1,1
192,576,28,1,1,1,1,1
48,192,28,3,1,1,1,1
192,624,28,1,1,1,1,1
48,192,28,3,1,1,1,1
192,672,28,1,1,1,1,1
48,192,28,3,1,1,1,1
192,720,28,1,1,1,1,1
48,192,28,3,1,1,1,1
384,768,28,1,1,1,1,1
192,384,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,432,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,480,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,528,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,576,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,624,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,672,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,720,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,768,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,816,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,864,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,912,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,960,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1008,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1056,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1104,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1152,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1200,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1248,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1296,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1344,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1392,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1440,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1488,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1536,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1584,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1632,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1680,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1728,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1776,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1824,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1872,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1920,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,1968,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,2016,14,1,1,1,1,1
48,192,14,3,1,1,1,1
192,2064,14,1,1,1,1,1
48,192,14,3,1,1,1,1
1056,2112,14,1,1,1,1,1
192,1056,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1104,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1152,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1200,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1248,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1296,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1344,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1392,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1440,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1488,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1536,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1584,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1632,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1680,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1728,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1776,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1824,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1872,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1920,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,1968,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,2016,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,2064,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,2112,7,1,1,1,1,1
48,192,7,3,1,1,1,1
192,2160,7,1,1,1,1,1
48,192,7,3,1,1,1,1
