O,I,F,K,S,T,R,A
32,3,224,3,1,1,1,0
1,32,112,3,1,2,1,0
16,32,112,1,1,1,1,0
48,16,112,1,1,1,1,0
1,48,112,3,1,2,1,0
24,48,56,1,1,1,1,0
72,24,56,1,1,1,1,0
1,72,56,3,1,2,1,0
24,72,56,1,1,1,1,0
72,24,56,1,1,1,1,0
1,72,56,3,1,2,1,0
24,72,56,1,1,1,1,0
72,24,56,1,1,1,1,0
1,72,56,5,1,2,1,0
40,72,28,1,1,1,1,0
120,40,28,1,1,1,1,0
1,120,28,5,1,2,1,0
40,120,28,1,1,1,1,0
120,40,28,1,1,1,1,0
1,120,28,5,1,2,1,0
40,120,28,1,1,1,1,0
240,40,28,1,1,1,1,0
1,240,28,5,1,2,1,0
80,240,14,1,1,1,1,0
480,80,14,1,1,1,1,0
1,480,14,5,1,2,1,0
80,480,14,1,1,1,1,0
480,80,14,1,1,1,1,0
1,480,14,5,1,2,1,0
80,480,14,1,1,1,1,0
480,80,14,1,1,1,1,0
1,480,14,3,1,2,1,0
96,480,14,1,1,1,1,0
576,96,14,1,1,1,1,0
1,576,14,3,1,2,1,0
96,576,14,1,1,1,1,0
576,96,14,1,1,1,1,0
1,576,14,5,1,2,1,0
192,576,7,1,1,1,1,0
1152,192,7,1,1,1,1,0
1,1152,7,5,1,2,1,0
192,1152,7,1,1,1,1,0
1152,192,7,1,1,1,1,0
1,1152,7,5,1,2,1,0
192,1152,7,1,1,1,1,0
1152,192,7,1,1,1,1,0
1,1152,7,5,1,2,1,0
192,1152,7,1,1,1,1,0
1152,192,7,1,1,1,1,0
1,1152,7,3,1,2,1,0
320,1152,7,1,1,1,1,0
1280,320,7,1,1,1,1,0
