O,I,F,K,S,T,R,A
64,3,224,7,1,1,0,1
64,64,56,1,1,1,0,1
64,64,56,3,1,1,0,1
256,64,56,1,1,1,0,1
256,64,56,1,1,1,0,1
64,256,56,1,1,1,0,1
64,64,56,3,1,1,0,1
256,64,56,1,1,1,0,1
64,256,56,1,1,1,0,1
64,64,56,3,1,1,0,1
256,64,56,1,1,1,0,1
128,256,56,1,1,1,0,1
128,128,56,3,1,1,0,1
512,128,28,1,1,1,0,1
512,256,56,1,1,1,0,1
128,512,28,1,1,1,0,1
128,128,28,3,1,1,0,1
512,128,28,1,1,1,0,1
128,512,28,1,1,1,0,1
128,128,28,3,1,1,0,1
512,128,28,1,1,1,0,1
128,512,28,1,1,1,0,1
128,128,28,3,1,1,0,1
512,128,28,1,1,1,0,1
256,512,28,1,1,1,0,1
256,256,28,3,1,1,0,1
1024,256,14,1,1,1,0,1
1024,512,28,1,1,1,0,1
256,1024,14,1,1,1,0,1
256,256,14,3,1,1,0,1
1024,256,14,1,1,1,0,1
256,1024,14,1,1,1,0,1
256,256,14,3,1,1,0,1
1024,256,14,1,1,1,0,1
256,1024,14,1,1,1,0,1
256,256,14,3,1,1,0,1
1024,256,14,1,1,1,0,1
256,1024,14,1,1,1,0,1
256,256,14,3,1,1,0,1
1024,256,14,1,1,1,0,1
256,1024,14,1,1,1,0,1
256,256,14,3,1,1,0,1
1024,256,14,1,1,1,0,1
512,1024,14,1,1,1,0,1
512,512,14,3,1,1,0,1
2048,512,7,1,1,1,0,1
2048,1024,14,1,1,1,0,1
512,2048,7,1,1,1,0,1
512,512,7,3,1,1,0,1
2048,512,7,1,1,1,0,1
512,2048,7,1,1,1,0,1
512,512,7,3,1,1,0,1
2048,512,7,1,1,1,0,1
