O,I,F,K,S,T,R,A
96,3,224,7,1,1,1,0
16,96,54,1,1,1,1,0
64,16,54,1,1,1,1,0
64,16,54,3,1,1,1,0
16,128,54,1,1,1,1,0
64,16,54,1,1,1,1,0
64,16,54,3,1,1,1,0
32,128,54,1,1,1,1,0
128,32,54,1,1,1,1,0
128,32,54,3,1,1,1,0
32,256,27,1,1,1,1,0
128,32,27,1,1,1,1,0
128,32,27,3,1,1,1,0
48,256,27,1,1,1,1,0
192,48,27,1,1,1,1,0
192,48,27,3,1,1,1,0
48,384,27,1,1,1,1,0
192,48,27,1,1,1,1,0
192,48,27,3,1,1,1,0
64,384,27,1,1,1,1,0
256,64,27,1,1,1,1,0
256,64,27,3,1,1,1,0
64,512,13,1,1,1,1,0
256,64,13,1,1,1,1,0
256,64,13,3,1,1,1,0
1000,512,13,1,1,1,1,0
