O,I,F,K,S,T,R,A
24,3,224,3,1,1,1,0
1,24,56,3,1,2,1,0
58,24,28,1,1,1,1,0
58,24,56,1,1,1,1,0
1,58,56,3,1,2,1,0
58,58,28,1,1,1,1,0
58,58,28,1,1,1,1,0
1,58,28,3,1,2,1,0
58,58,28,1,1,1,1,0
58,58,28,1,1,1,1,0
1,58,28,3,1,2,1,0
58,58,28,1,1,1,1,0
58,58,28,1,1,1,1,0
1,58,28,3,1,2,1,0
58,58,28,1,1,1,1,0
1,116,28,3,1,2,1,0
116,116,14,1,1,1,1,0
116,116,28,1,1,1,1,0
1,116,28,3,1,2,1,0
116,116,14,1,1,1,1,0
116,116,14,1,1,1,1,0
1,116,14,3,1,2,1,0
116,116,14,1,1,1,1,0
116,116,14,1,1,1,1,0
1,116,14,3,1,2,1,0
116,116,14,1,1,1,1,0
116,116,14,1,1,1,1,0
1,116,14,3,1,2,1,0
116,116,14,1,1,1,1,0
116,116,14,1,1,1,1,0
1,116,14,3,1,2,1,0
116,116,14,1,1,1,1,0
116,116,14,1,1,1,1,0
1,116,14,3,1,2,1,0
116,116,14,1,1,1,1,0
116,116,14,1,1,1,1,0
1,116,14,3,1,2,1,0
116,116,14,1,1,1,1,0
116,116,14,1,1,1,1,0
1,116,14,3,1,2,1,0
116,116,14,1,1,1,1,0
1,232,14,3,1,2,1,0
232,232,7,1,1,1,1,0
232,232,14,1,1,1,1,0
1,232,14,3,1,2,1,0
232,232,7,1,1,1,1,0
232,232,7,1,1,1,1,0
1,232,7,3,1,2,1,0
232,232,7,1,1,1,1,0
232,232,7,1,1,1,1,0
1,232,7,3,1,2,1,0
232,232,7,1,1,1,1,0
232,232,7,1,1,1,1,0
1,232,7,3,1,2,1,0
232,232,7,1,1,1,1,0
1024,464,7,1,1,1,1,0
,,,,,,,
