DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,192 4,4 12,3,5,62412974995,458887003275173,214245,13924695,291315,32954903,1214280000000,225177303,fail
2,192 8,4 8,3,5,62412974995,460635722290876,214245,13977759,291315,32954903,2428530000000,225177303,fail
3,192 4,5 12,3,5,62412974995,458887003275173,214245,13924695,291315,32954903,1214280000000,225177303,fail
4,192 8,5 8,3,5,62412974995,460635722290876,214245,13977759,291315,32954903,2428530000000,225177303,fail
5,192 4,6 12,3,5,62412974995,458887003275173,214245,13924695,291315,32954903,1214280000000,225177303,fail
6,192 8,6 8,3,5,62412974995,460635722290876,214245,13977759,291315,32954903,2428530000000,225177303,fail
7,192 4,7 12,3,5,62412974995,458887003275173,214245,13924695,291315,32954903,1214280000000,225177303,fail
8,192 8,7 8,3,5,62412974995,460635722290876,214245,13977759,291315,32954903,2428530000000,225177303,fail
9,192 4,8 12,3,5,62412974995,458887003275173,214245,13924695,291315,32954903,1214280000000,225177303,fail
10,192 8,8 8,3,5,62412974995,460635722290876,214245,13977759,291315,32954903,2428530000000,225177303,fail
11,192 4,9 12,2,6,6081821542,479055854435757,50325,13995703,120850,34228780,1214280000000,1378085095,fail
12,192 8,9 8,2,6,6081821542,481871103214334,50325,14077951,120850,34228780,2428530000000,1378085095,fail
13,192 4,10 12,0,8,0,487949006221968,0,14091629,0,34626867,1214280000000,1738368780,fail
14,192 8,10 8,0,8,0,492020294807443,0,14209205,0,34626867,2428530000000,1738368780,fail
15,192 4,11 12,0,8,0,487949006221968,0,14091629,0,34626867,1214280000000,1738368780,fail
16,192 8,11 8,0,8,0,492020294807443,0,14209205,0,34626867,2428530000000,1738368780,fail
17,192 4,12 12,0,8,0,487949006221968,0,14091629,0,34626867,1214280000000,1738368780,fail
18,192 8,12 8,0,8,0,492020294807443,0,14209205,0,34626867,2428530000000,1738368780,fail
19,192 4,13 12,0,8,0,487949006221968,0,14091629,0,34626867,1214280000000,1738368780,fail
20,192 8,13 8,0,8,0,492020294807443,0,14209205,0,34626867,2428530000000,1738368780,fail
21,192 4,14 12,0,8,0,487949006221968,0,14091629,0,34626867,1214280000000,1738368780,fail
22,192 8,14 8,0,8,0,492020294807443,0,14209205,0,34626867,2428530000000,1738368780,fail
23,192 4,15 12,0,8,0,487949006221968,0,14091629,0,34626867,1214280000000,1738368780,fail
24,192 8,15 8,0,8,0,492020294807443,0,14209205,0,34626867,2428530000000,1738368780,fail
25,192 4,16 12,0,8,0,487949006221968,0,14091629,0,34626867,1214280000000,1738368780,fail
26,192 8,16 8,0,8,0,492020294807443,0,14209205,0,34626867,2428530000000,1738368780,fail
27,192 4,17 12,0,8,0,487949006221968,0,14091629,0,34626867,1214280000000,1738368780,fail
28,192 8,17 8,0,8,0,492020294807443,0,14209205,0,34626867,2428530000000,1738368780,fail
29,192 4,18 12,0,8,0,487949006221968,0,14091629,0,34626867,1214280000000,1738368780,fail
30,192 8,18 8,0,8,0,492020294807443,0,14209205,0,34626867,2428530000000,1738368780,fail
31,704 4,4 12,3,5,15562424099,458887003275173,58477,13924695,266126,32954903,4419630000000,225177303,fail
32,704 8,4 8,3,5,15562424099,460635722290876,58477,13977759,266126,32954903,8839010000000,225177303,fail
33,704 4,5 12,3,5,15562424099,458887003275173,58477,13924695,266126,32954903,4419630000000,225177303,fail
34,704 8,5 8,3,5,15562424099,460635722290876,58477,13977759,266126,32954903,8839010000000,225177303,fail
35,704 4,6 12,3,5,15562424099,458887003275173,58477,13924695,266126,32954903,4419630000000,225177303,fail
36,704 8,6 8,3,5,15562424099,460635722290876,58477,13977759,266126,32954903,8839010000000,225177303,fail
37,704 4,7 12,3,5,15562424099,458887003275173,58477,13924695,266126,32954903,4419630000000,225177303,fail
38,704 8,7 8,3,5,15562424099,460635722290876,58477,13977759,266126,32954903,8839010000000,225177303,fail
39,704 4,8 12,3,5,15562424099,458887003275173,58477,13924695,266126,32954903,4419630000000,225177303,fail
40,704 8,8 8,3,5,15562424099,460635722290876,58477,13977759,266126,32954903,8839010000000,225177303,fail
41,704 4,9 12,2,6,1548331262,479055854435757,13717,13995703,112872,34228780,4419630000000,1378085095,fail
42,704 8,9 8,2,6,1548331262,481871103214334,13717,14077951,112872,34228780,8839010000000,1378085095,fail
43,704 4,10 12,0,8,0,487949006221968,0,14091629,0,34626867,4419630000000,1738368780,fail
44,704 8,10 8,0,8,0,492020294807443,0,14209205,0,34626867,8839010000000,1738368780,fail
45,704 4,11 12,0,8,0,487949006221968,0,14091629,0,34626867,4419630000000,1738368780,fail
46,704 8,11 8,0,8,0,492020294807443,0,14209205,0,34626867,8839010000000,1738368780,fail
47,704 4,12 12,0,8,0,487949006221968,0,14091629,0,34626867,4419630000000,1738368780,fail
48,704 8,12 8,0,8,0,492020294807443,0,14209205,0,34626867,8839010000000,1738368780,fail
49,704 4,13 12,0,8,0,487949006221968,0,14091629,0,34626867,4419630000000,1738368780,fail
50,704 8,13 8,0,8,0,492020294807443,0,14209205,0,34626867,8839010000000,1738368780,fail
51,704 4,14 12,0,8,0,487949006221968,0,14091629,0,34626867,4419630000000,1738368780,fail
52,704 8,14 8,0,8,0,492020294807443,0,14209205,0,34626867,8839010000000,1738368780,fail
53,704 4,15 12,0,8,0,487949006221968,0,14091629,0,34626867,4419630000000,1738368780,fail
54,704 8,15 8,0,8,0,492020294807443,0,14209205,0,34626867,8839010000000,1738368780,fail
55,704 4,16 12,0,8,0,487949006221968,0,14091629,0,34626867,4419630000000,1738368780,fail
56,704 8,16 8,0,8,0,492020294807443,0,14209205,0,34626867,8839010000000,1738368780,fail
57,704 4,17 12,0,8,0,487949006221968,0,14091629,0,34626867,4419630000000,1738368780,fail
58,704 8,17 8,0,8,0,492020294807443,0,14209205,0,34626867,8839010000000,1738368780,fail
59,704 4,18 12,0,8,0,487949006221968,0,14091629,0,34626867,4419630000000,1738368780,fail
60,704 8,18 8,0,8,0,492020294807443,0,14209205,0,34626867,8839010000000,1738368780,fail
