latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
13900568.996515209,1738368780.209509,1049.9270140462977,34626867.60457346,0,10,18 64,pass
13845099.576094013,225177303.13594675,122.68516802888226,32954903.80866872,1,5,4 48,fail
13847511.57609401,225177303.13594675,122.68516802888226,32954903.80866872,2,5,4 44,fail
13850405.97609401,225177303.13594675,122.68516802888226,32954903.80866872,3,5,4 40,fail
13853943.576094013,225177303.13594675,122.68516802888226,32954903.80866872,4,5,4 36,fail
13858365.576094013,225177303.13594675,122.68516802888226,32954903.80866872,5,5,4 32,fail
13864051.004665442,225177303.13594675,122.68516802888226,32954903.80866872,6,5,4 28,fail
13871631.576094013,225177303.13594675,122.68516802888226,32954903.80866872,7,5,4 24,fail
13882244.37609401,225177303.13594675,122.68516802888226,32954903.80866872,8,5,4 20,fail
13898163.576094013,225177303.13594675,122.68516802888226,32954903.80866872,9,5,4 16,fail
13924695.576094013,225177303.13594675,122.68516802888226,32954903.80866872,10,5,4 12,fail
13977759.576094013,225177303.13594675,122.68516802888226,32954903.80866872,11,5,4 8,fail
13845099.576094013,225177303.13594675,122.68516802888226,32954903.80866872,12,5,5 48,fail
13847511.57609401,225177303.13594675,122.68516802888226,32954903.80866872,13,5,5 44,fail
13850405.97609401,225177303.13594675,122.68516802888226,32954903.80866872,14,5,5 40,fail
13853943.576094013,225177303.13594675,122.68516802888226,32954903.80866872,15,5,5 36,fail
13858365.576094013,225177303.13594675,122.68516802888226,32954903.80866872,16,5,5 32,fail
13864051.004665442,225177303.13594675,122.68516802888226,32954903.80866872,17,5,5 28,fail
13871631.576094013,225177303.13594675,122.68516802888226,32954903.80866872,18,5,5 24,fail
13882244.37609401,225177303.13594675,122.68516802888226,32954903.80866872,19,5,5 20,fail
13898163.576094013,225177303.13594675,122.68516802888226,32954903.80866872,20,5,5 16,fail
13924695.576094013,225177303.13594675,122.68516802888226,32954903.80866872,21,5,5 12,fail
13977759.576094013,225177303.13594675,122.68516802888226,32954903.80866872,22,5,5 8,fail
13862347.049567744,513404251.1499586,299.30266250839,33273373.103126768,23,6,6 48,fail
13865177.95865865,513404251.1499586,299.30266250839,33273373.103126768,24,6,6 44,fail
13868575.04956774,513404251.1499586,299.30266250839,33273373.103126768,25,6,6 40,fail
13872727.049567744,513404251.1499586,299.30266250839,33273373.103126768,26,6,6 36,fail
13877917.049567744,513404251.1499586,299.30266250839,33273373.103126768,27,6,6 32,fail
13884589.9067106,513404251.1499586,299.30266250839,33273373.103126768,28,6,6 28,fail
13893487.049567744,513404251.1499586,299.30266250839,33273373.103126768,29,6,6 24,fail
13905943.049567742,513404251.1499586,299.30266250839,33273373.103126768,30,6,6 20,fail
13924627.049567744,513404251.1499586,299.30266250839,33273373.103126768,31,6,6 16,fail
13955767.049567744,513404251.1499586,299.30266250839,33273373.103126768,32,6,6 12,fail
14018047.049567744,513404251.1499586,299.30266250839,33273373.103126768,33,6,6 8,fail
13862347.049567744,513404251.1499586,299.30266250839,33273373.103126768,34,6,7 48,fail
13865177.95865865,513404251.1499586,299.30266250839,33273373.103126768,35,6,7 44,fail
13868575.04956774,513404251.1499586,299.30266250839,33273373.103126768,36,6,7 40,fail
13872727.049567744,513404251.1499586,299.30266250839,33273373.103126768,37,6,7 36,fail
13877917.049567744,513404251.1499586,299.30266250839,33273373.103126768,38,6,7 32,fail
13884589.9067106,513404251.1499586,299.30266250839,33273373.103126768,39,6,7 28,fail
13893487.049567744,513404251.1499586,299.30266250839,33273373.103126768,40,6,7 24,fail
13905943.049567742,513404251.1499586,299.30266250839,33273373.103126768,41,6,7 20,fail
13924627.049567744,513404251.1499586,299.30266250839,33273373.103126768,42,6,7 16,fail
13955767.049567744,513404251.1499586,299.30266250839,33273373.103126768,43,6,7 12,fail
14018047.049567744,513404251.1499586,299.30266250839,33273373.103126768,44,6,7 8,fail
13862347.049567744,513404251.1499586,299.30266250839,33273373.103126768,45,6,8 48,fail
13865177.95865865,513404251.1499586,299.30266250839,33273373.103126768,46,6,8 44,fail
13868575.04956774,513404251.1499586,299.30266250839,33273373.103126768,47,6,8 40,fail
13872727.049567744,513404251.1499586,299.30266250839,33273373.103126768,48,6,8 36,fail
13877917.049567744,513404251.1499586,299.30266250839,33273373.103126768,49,6,8 32,fail
13884589.9067106,513404251.1499586,299.30266250839,33273373.103126768,50,6,8 28,fail
13893487.049567744,513404251.1499586,299.30266250839,33273373.103126768,51,6,8 24,fail
13905943.049567742,513404251.1499586,299.30266250839,33273373.103126768,52,6,8 20,fail
13924627.049567744,513404251.1499586,299.30266250839,33273373.103126768,53,6,8 16,fail
13955767.049567744,513404251.1499586,299.30266250839,33273373.103126768,54,6,8 12,fail
14018047.049567744,513404251.1499586,299.30266250839,33273373.103126768,55,6,8 8,fail
13872331.049567744,1378085095.1919944,829.155145946913,34228780.9865009,56,6,9 48,fail
13876069.595022287,1378085095.1919944,829.155145946913,34228780.9865009,57,6,9 44,fail
13880555.84956774,1378085095.1919944,829.155145946913,34228780.9865009,58,6,9 40,fail
13886039.049567744,1378085095.1919944,829.155145946913,34228780.9865009,59,6,9 36,fail
13892893.049567744,1378085095.1919944,829.155145946913,34228780.9865009,60,6,9 32,fail
13901705.335282028,1378085095.1919944,829.155145946913,34228780.9865009,61,6,9 28,fail
13913455.049567744,1378085095.1919944,829.155145946913,34228780.9865009,62,6,9 24,fail
13929904.649567742,1378085095.1919944,829.155145946913,34228780.9865009,63,6,9 20,fail
13954579.049567744,1378085095.1919944,829.155145946913,34228780.9865009,64,6,9 16,fail
13995703.049567744,1378085095.1919944,829.155145946913,34228780.9865009,65,6,9 12,fail
14077951.049567744,1378085095.1919944,829.155145946913,34228780.9865009,66,6,9 8,fail
13889578.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,67,7,10 48,fail
13893735.977586929,1666312043.2060063,1005.7726404264206,34547250.28095894,68,7,10 44,fail
13898724.923041472,1666312043.2060063,1005.7726404264206,34547250.28095894,69,7,10 40,fail
13904822.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,70,7,10 36,fail
13912444.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,71,7,10 32,fail
13922244.237327186,1666312043.2060063,1005.7726404264206,34547250.28095894,72,7,10 28,fail
13935310.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,73,7,10 24,fail
13953603.323041473,1666312043.2060063,1005.7726404264206,34547250.28095894,74,7,10 20,fail
13981042.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,75,7,10 16,fail
14026774.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,76,7,10 12,fail
14118238.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,77,7,10 8,fail
13889578.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,78,7,11 48,fail
13893735.977586929,1666312043.2060063,1005.7726404264206,34547250.28095894,79,7,11 44,fail
13898724.923041472,1666312043.2060063,1005.7726404264206,34547250.28095894,80,7,11 40,fail
13904822.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,81,7,11 36,fail
13912444.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,82,7,11 32,fail
13922244.237327186,1666312043.2060063,1005.7726404264206,34547250.28095894,83,7,11 28,fail
13935310.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,84,7,11 24,fail
13953603.323041473,1666312043.2060063,1005.7726404264206,34547250.28095894,85,7,11 20,fail
13981042.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,86,7,11 16,fail
14026774.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,87,7,11 12,fail
14118238.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,88,7,11 8,fail
13889578.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,89,7,12 48,fail
13893735.977586929,1666312043.2060063,1005.7726404264206,34547250.28095894,90,7,12 44,fail
13898724.923041472,1666312043.2060063,1005.7726404264206,34547250.28095894,91,7,12 40,fail
13904822.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,92,7,12 36,fail
13912444.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,93,7,12 32,fail
13922244.237327186,1666312043.2060063,1005.7726404264206,34547250.28095894,94,7,12 28,fail
13935310.523041476,1666312043.2060063,1005.7726404264206,34547250.28095894,95,7,12 24,fail
