latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
107411410.89983998,1322968.8,102762000000000.0,807605500.0,0,8,1024 64,pass
50108165.64927999,561934.5,6459620000000.0,50766633.333333336,1,3,256 16,pass
50108165.64927999,561934.5,8074520000000.0,63458133.333333336,2,3,256 20,pass
50108165.64927999,561934.5,9689420000000.0,76149700.0,3,3,256 24,pass
50108165.64927999,561934.5,11304300000000.0,88841233.33333333,4,3,256 28,pass
50108165.64927999,561934.5,12919200000000.0,101532333.33333331,5,3,256 32,pass
50108165.64927999,561934.5,14534100000000.0,114224333.33333331,6,3,256 36,pass
50108165.64927999,561934.5,16149000000000.0,126916000.0,7,3,256 40,pass
50108165.64927999,561934.5,17763900000000.0,139607333.33333334,8,3,256 44,pass
50108165.64927999,561934.5,19378800000000.0,152299000.0,9,3,256 48,pass
50108165.64927999,561934.5,20993700000000.0,164990333.33333334,10,3,256 52,pass
50108165.64927999,561934.5,22608600000000.0,177682000.0,11,3,256 56,pass
51221210.23167999,601470.3,6459620000000.0,50766600.0,12,4,256 16,pass
51221210.23167999,601470.3,8074520000000.0,63458100.0,13,4,256 20,pass
51221210.23167999,601470.3,9689420000000.0,76149650.0,14,4,256 24,pass
51221210.23167999,601470.3,11304300000000.0,88841175.0,15,4,256 28,pass
51221210.23167999,601470.3,12919200000000.0,101532500.0,16,4,256 32,pass
51221210.23167999,601470.3,14534100000000.0,114224250.0,17,4,256 36,pass
51221210.23167999,601470.3,16149000000000.0,126916000.0,18,4,256 40,pass
51221210.23167999,601470.3,17763900000000.0,139607250.0,19,4,256 44,pass
51221210.23167999,601470.3,19378800000000.0,152299000.0,20,4,256 48,pass
51221210.23167999,601470.3,20993700000000.0,164990250.0,21,4,256 52,pass
51221210.23167999,601470.3,22608600000000.0,177682000.0,22,4,256 56,pass
40832794.12927999,482297.0,6459620000000.0,50766750.0,23,2,256 16,pass
40832794.12927999,482297.0,8074520000000.0,63458250.0,24,2,256 20,pass
40832794.12927999,482297.0,9689420000000.0,76149800.0,25,2,256 24,pass
40832794.12927999,482297.0,11304300000000.0,88841350.0,26,2,256 28,pass
40832794.12927999,482297.0,12919200000000.0,101532500.0,27,2,256 32,pass
40832794.12927999,482297.0,14534100000000.0,114224500.0,28,2,256 36,pass
40832794.12927999,482297.0,16149000000000.0,126916000.0,29,2,256 40,pass
40832794.12927999,482297.0,17763900000000.0,139607500.0,30,2,256 44,pass
40832794.12927999,482297.0,19378800000000.0,152299000.0,31,2,256 48,pass
40832794.12927999,482297.0,20993700000000.0,164990500.0,32,2,256 52,pass
40832794.12927999,482297.0,22608600000000.0,177682000.0,33,2,256 56,pass
40832794.12927999,482297.0,6459620000000.0,50766750.0,34,2,256 16,pass
40832794.12927999,482297.0,8074520000000.0,63458250.0,35,2,256 20,pass
40832794.12927999,482297.0,9689420000000.0,76149800.0,36,2,256 24,pass
40832794.12927999,482297.0,11304300000000.0,88841350.0,37,2,256 28,pass
40832794.12927999,482297.0,12919200000000.0,101532500.0,38,2,256 32,pass
40832794.12927999,482297.0,14534100000000.0,114224500.0,39,2,256 36,pass
40832794.12927999,482297.0,16149000000000.0,126916000.0,40,2,256 40,pass
40832794.12927999,482297.0,17763900000000.0,139607500.0,41,2,256 44,pass
40832794.12927999,482297.0,19378800000000.0,152299000.0,42,2,256 48,pass
40832794.12927999,482297.0,20993700000000.0,164990500.0,43,2,256 52,pass
40832794.12927999,482297.0,22608600000000.0,177682000.0,44,2,256 56,pass
40832794.12927999,482297.0,6459620000000.0,50766750.0,45,2,256 16,pass
40832794.12927999,482297.0,8074520000000.0,63458250.0,46,2,256 20,pass
40832794.12927999,482297.0,9689420000000.0,76149800.0,47,2,256 24,pass
40832794.12927999,482297.0,11304300000000.0,88841350.0,48,2,256 28,pass
40832794.12927999,482297.0,12919200000000.0,101532500.0,49,2,256 32,pass
40832794.12927999,482297.0,14534100000000.0,114224500.0,50,2,256 36,pass
40832794.12927999,482297.0,16149000000000.0,126916000.0,51,2,256 40,pass
40832794.12927999,482297.0,17763900000000.0,139607500.0,52,2,256 44,pass
40832794.12927999,482297.0,19378800000000.0,152299000.0,53,2,256 48,pass
40832794.12927999,482297.0,20993700000000.0,164990500.0,54,2,256 52,pass
40832794.12927999,482297.0,22608600000000.0,177682000.0,55,2,256 56,pass
12116243.903359998,235793.5,6459620000000.0,50766750.0,56,2,256 16,pass
12116243.903359998,235793.5,8074520000000.0,63458250.0,57,2,256 20,pass
12116243.903359998,235793.5,9689420000000.0,76149800.0,58,2,256 24,pass
12116243.903359998,235793.5,11304300000000.0,88841350.0,59,2,256 28,pass
12116243.903359998,235793.5,12919200000000.0,101532500.0,60,2,256 32,pass
