DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,4 48,3,5,28157507010045.324,163630647414546.56,50108165,5345790,561934,30609250,6459620000000,279219855,pass
2,256 20,4 44,3,5,28157507010045.324,163667779218061.4,50108165,5347003,561934,30609250,8074520000000,279219855,pass
3,256 24,4 40,3,5,28157507010045.324,163712337382279.22,50108165,5348459,561934,30609250,9689420000000,279219855,pass
4,256 28,4 36,3,5,28157507010045.324,163766797360767.62,50108165,5350238,561934,30609250,11304300000000,279219855,pass
5,256 32,4 32,3,5,28157507010045.324,163834872333878.2,50108165,5352462,561934,30609250,12919200000000,279219855,pass
6,256 36,4 28,3,5,28157507010045.324,163922397299306.03,50108165,5355322,561934,30609250,14534100000000,279219855,pass
7,256 40,4 24,3,5,28157507010045.324,164039097253209.78,50108165,5359134,561934,30609250,16149000000000,279219855,pass
8,256 44,4 20,3,5,28157507010045.324,164202477188675.1,50108165,5364472,561934,30609250,17763900000000,279219855,pass
9,256 48,4 16,3,5,28157507010045.324,164447547091873.0,50108165,5372478,561934,30609250,19378800000000,279219855,pass
10,256 52,4 12,3,5,28157507010045.324,164855996930536.22,50108165,5385822,561934,30609250,20993700000000,279219855,pass
11,256 56,4 8,3,5,28157507010045.324,165672896607862.66,50108165,5412510,561934,30609250,22608600000000,279219855,pass
12,256 16,5 48,4,4,30808036684411.637,137339079167348.92,51221210,4830276,601470,28432964,6459620000000,441347514,pass
13,256 20,5 44,4,4,30808036684411.637,137350989994504.81,51221210,4830695,601470,28432964,8074520000000,441347514,pass
14,256 24,5 40,4,4,30808036684411.637,137365282987091.88,51221210,4831198,601470,28432964,9689420000000,441347514,pass
15,256 28,5 36,4,4,30808036684411.637,137382752200253.83,51221210,4831812,601470,28432964,11304300000000,441347514,pass
16,256 32,5 32,4,4,30808036684411.637,137404588716706.28,51221210,4832580,601470,28432964,12919200000000,441347514,pass
17,256 36,5 28,4,4,30808036684411.637,137432664237859.44,51221210,4833567,601470,28432964,14534100000000,441347514,pass
18,256 40,5 24,4,4,30808036684411.637,137470098266063.62,51221210,4834884,601470,28432964,16149000000000,441347514,pass
19,256 44,5 20,4,4,30808036684411.637,137522505905549.52,51221210,4836727,601470,28432964,17763900000000,441347514,pass
20,256 48,5 16,4,4,30808036684411.637,137601117364778.33,51221210,4839492,601470,28432964,19378800000000,441347514,pass
21,256 52,5 12,4,4,30808036684411.637,137732136463493.05,51221210,4844100,601470,28432964,20993700000000,441347514,pass
22,256 56,5 8,4,4,30808036684411.637,137994174660922.45,51221210,4853316,601470,28432964,22608600000000,441347514,pass
23,256 16,6 48,2,6,19693534110169.35,165866542641762.2,40832794,5363038,482297,30927719,6459620000000,567446803,pass
24,256 20,6 44,2,6,19693534110169.35,165917016680465.7,40832794,5364670,482297,30927719,8074520000000,567446803,pass
25,256 24,6 40,2,6,19693534110169.35,165977585526909.9,40832794,5366628,482297,30927719,9689420000000,567446803,pass
26,256 28,6 36,2,6,19693534110169.35,166051614117008.3,40832794,5369022,482297,30927719,11304300000000,567446803,pass
27,256 32,6 32,2,6,19693534110169.35,166144149854631.34,40832794,5372014,482297,30927719,12919200000000,567446803,pass
28,256 36,6 28,2,6,19693534110169.35,166263124374432.44,40832794,5375861,482297,30927719,14534100000000,567446803,pass
29,256 40,6 24,2,6,19693534110169.35,166421757067500.5,40832794,5380990,482297,30927719,16149000000000,567446803,pass
30,256 44,6 20,2,6,19693534110169.35,166643842837795.84,40832794,5388170,482297,30927719,17763900000000,567446803,pass
31,256 48,6 16,2,6,19693534110169.35,166976971493238.78,40832794,5398942,482297,30927719,19378800000000,567446803,pass
32,256 52,6 12,2,6,19693534110169.35,167532185918977.1,40832794,5416894,482297,30927719,20993700000000,567446803,pass
33,256 56,6 8,2,6,19693534110169.35,168642614770453.7,40832794,5452798,482297,30927719,22608600000000,567446803,pass
34,256 16,7 48,2,6,19693534110169.35,165866542641762.2,40832794,5363038,482297,30927719,6459620000000,567446803,pass
35,256 20,7 44,2,6,19693534110169.35,165917016680465.7,40832794,5364670,482297,30927719,8074520000000,567446803,pass
36,256 24,7 40,2,6,19693534110169.35,165977585526909.9,40832794,5366628,482297,30927719,9689420000000,567446803,pass
37,256 28,7 36,2,6,19693534110169.35,166051614117008.3,40832794,5369022,482297,30927719,11304300000000,567446803,pass
38,256 32,7 32,2,6,19693534110169.35,166144149854631.34,40832794,5372014,482297,30927719,12919200000000,567446803,pass
39,256 36,7 28,2,6,19693534110169.35,166263124374432.44,40832794,5375861,482297,30927719,14534100000000,567446803,pass
40,256 40,7 24,2,6,19693534110169.35,166421757067500.5,40832794,5380990,482297,30927719,16149000000000,567446803,pass
41,256 44,7 20,2,6,19693534110169.35,166643842837795.84,40832794,5388170,482297,30927719,17763900000000,567446803,pass
42,256 48,7 16,2,6,19693534110169.35,166976971493238.78,40832794,5398942,482297,30927719,19378800000000,567446803,pass
43,256 52,7 12,2,6,19693534110169.35,167532185918977.1,40832794,5416894,482297,30927719,20993700000000,567446803,pass
44,256 56,7 8,2,6,19693534110169.35,168642614770453.7,40832794,5452798,482297,30927719,22608600000000,567446803,pass
45,256 16,8 48,2,6,19693534110169.35,165866542641762.2,40832794,5363038,482297,30927719,6459620000000,567446803,pass
46,256 20,8 44,2,6,19693534110169.35,165917016680465.7,40832794,5364670,482297,30927719,8074520000000,567446803,pass
47,256 24,8 40,2,6,19693534110169.35,165977585526909.9,40832794,5366628,482297,30927719,9689420000000,567446803,pass
48,256 28,8 36,2,6,19693534110169.35,166051614117008.3,40832794,5369022,482297,30927719,11304300000000,567446803,pass
49,256 32,8 32,2,6,19693534110169.35,166144149854631.34,40832794,5372014,482297,30927719,12919200000000,567446803,pass
50,256 36,8 28,2,6,19693534110169.35,166263124374432.44,40832794,5375861,482297,30927719,14534100000000,567446803,pass
51,256 40,8 24,2,6,19693534110169.35,166421757067500.5,40832794,5380990,482297,30927719,16149000000000,567446803,pass
52,256 44,8 20,2,6,19693534110169.35,166643842837795.84,40832794,5388170,482297,30927719,17763900000000,567446803,pass
53,256 48,8 16,2,6,19693534110169.35,166976971493238.78,40832794,5398942,482297,30927719,19378800000000,567446803,pass
54,256 52,8 12,2,6,19693534110169.35,167532185918977.1,40832794,5416894,482297,30927719,20993700000000,567446803,pass
55,256 56,8 8,2,6,19693534110169.35,168642614770453.7,40832794,5452798,482297,30927719,22608600000000,567446803,pass
