DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,8,14032841.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,18 16,pass
1,0,0.0,0.0,0.0,0.0,4 12,pass
2,0,0.0,0.0,0.0,0.0,4 8,pass
3,0,0.0,0.0,0.0,0.0,5 12,pass
4,0,0.0,0.0,0.0,0.0,5 8,pass
5,0,0.0,0.0,0.0,0.0,6 12,pass
6,0,0.0,0.0,0.0,0.0,6 8,pass
7,0,0.0,0.0,0.0,0.0,7 12,pass
8,0,0.0,0.0,0.0,0.0,7 8,pass
9,0,0.0,0.0,0.0,0.0,8 12,pass
10,0,0.0,0.0,0.0,0.0,8 8,pass
11,3,3275173.507594781,1269999989.6867397,778.1956320708846,22760131.728260376,9 12,pass
12,3,3304357.507594781,1269999989.6867397,778.1956320708846,22760131.728260376,9 8,pass
13,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 12,fail
14,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 8,fail
15,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 12,fail
16,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 8,fail
17,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,12 12,fail
18,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,12 8,fail
19,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,13 12,fail
20,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,13 8,fail
21,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,14 12,fail
22,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,14 8,fail
23,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,15 12,fail
24,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,15 8,fail
25,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,16 12,fail
26,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,16 8,fail
27,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,17 12,fail
28,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,17 8,fail
29,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,18 12,fail
30,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,18 8,fail
31,0,0.0,0.0,0.0,0.0,4 12,pass
32,0,0.0,0.0,0.0,0.0,4 8,pass
33,0,0.0,0.0,0.0,0.0,5 12,pass
34,0,0.0,0.0,0.0,0.0,5 8,pass
35,0,0.0,0.0,0.0,0.0,6 12,pass
36,0,0.0,0.0,0.0,0.0,6 8,pass
37,0,0.0,0.0,0.0,0.0,7 12,pass
38,0,0.0,0.0,0.0,0.0,7 8,pass
39,0,0.0,0.0,0.0,0.0,8 12,pass
40,0,0.0,0.0,0.0,0.0,8 8,pass
41,3,3275173.507594781,1269999989.6867397,778.1956320708846,22760131.728260376,9 12,pass
42,3,3304357.507594781,1269999989.6867397,778.1956320708846,22760131.728260376,9 8,pass
43,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 12,fail
44,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 8,fail
45,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 12,fail
46,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 8,fail
47,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,12 12,fail
48,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,12 8,fail
49,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,13 12,fail
50,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,13 8,fail
51,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,14 12,fail
52,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,14 8,fail
53,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,15 12,fail
54,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,15 8,fail
55,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,16 12,fail
56,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,16 8,fail
57,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,17 12,fail
58,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,17 8,fail
59,8,14091629.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,18 12,fail
60,8,14209205.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,18 8,fail
