DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,4 48,3,5,1801753096322.806,409188639268709.1,3459713,13363712,520781,30619382,6459620000000,243191487,fail
2,256 20,4 44,3,5,1801753096322.806,409298033972687.3,3459713,13367285,520781,30619382,8074520000000,243191487,fail
3,256 24,4 40,3,5,1801753096322.806,409429307617461.1,3459713,13371572,520781,30619382,9689420000000,243191487,fail
4,256 28,4 36,3,5,1801753096322.806,409589753183296.0,3459713,13376812,520781,30619382,11304300000000,243191487,fail
5,256 32,4 32,3,5,1801753096322.806,409790310140589.44,3459713,13383362,520781,30619382,12919200000000,243191487,fail
6,256 36,4 28,3,5,1801753096322.806,410048169085681.06,3459713,13391784,520781,30619382,14534100000000,243191487,fail
7,256 40,4 24,3,5,1801753096322.806,410391981012469.8,3459713,13403012,520781,30619382,16149000000000,243191487,fail
8,256 44,4 20,3,5,1801753096322.806,410873317709974.06,3459713,13418732,520781,30619382,17763900000000,243191487,fail
9,256 48,4 16,3,5,1801753096322.806,411595322756230.56,3459713,13442312,520781,30619382,19378800000000,243191487,fail
10,256 52,4 12,3,5,1801753096322.806,412798664499991.25,3459713,13481612,520781,30619382,20993700000000,243191487,fail
11,256 56,4 8,3,5,1801753096322.806,415205347987512.7,3459713,13560212,520781,30619382,22608600000000,243191487,fail
12,256 16,5 48,4,4,3297209515466.2754,146375784394218.4,4430149,10170014,744266,14392878,6459620000000,441347514,pass
13,256 20,5 44,4,4,3297209515466.2754,146433235533140.8,4430149,10174005,744266,14392878,8074520000000,441347514,pass
14,256 24,5 40,4,4,3297209515466.2754,146502176899847.72,4430149,10178795,744266,14392878,9689420000000,441347514,pass
15,256 28,5 36,4,4,3297209515466.2754,146586438570267.38,4430149,10184650,744266,14392878,11304300000000,441347514,pass
16,256 32,5 32,4,4,3297209515466.2754,146691765658291.84,4430149,10191968,744266,14392878,12919200000000,441347514,pass
17,256 36,5 28,4,4,3297209515466.2754,146827186200037.62,4430149,10201377,744266,14392878,14534100000000,441347514,pass
18,256 40,5 24,4,4,3297209515466.2754,147007746922365.28,4430149,10213922,744266,14392878,16149000000000,441347514,pass
19,256 44,5 20,4,4,3297209515466.2754,147260531933623.97,4430149,10231485,744266,14392878,17763900000000,441347514,pass
20,256 48,5 16,4,4,3297209515466.2754,147639709450512.12,4430149,10257830,744266,14392878,19378800000000,441347514,pass
21,256 52,5 12,4,4,3297209515466.2754,148271671978659.0,4430149,10301738,744266,14392878,20993700000000,441347514,pass
22,256 56,5 8,4,4,3297209515466.2754,149535597034952.72,4430149,10389554,744266,14392878,22608600000000,441347514,pass
23,256 16,6 48,2,6,1248207522278.605,413978171254393.9,2875365,13380960,434104,30937852,6459620000000,531418435,fail
24,256 20,6 44,2,6,1248207522278.605,414101663909798.5,2875365,13384951,434104,30937852,8074520000000,531418435,fail
25,256 24,6 40,2,6,1248207522278.605,414249855096284.0,2875365,13389741,434104,30937852,9689420000000,531418435,fail
26,256 28,6 36,2,6,1248207522278.605,414430977657544.4,2875365,13395596,434104,30937852,11304300000000,531418435,fail
27,256 32,6 32,2,6,1248207522278.605,414657380859119.56,2875365,13402914,434104,30937852,12919200000000,531418435,fail
28,256 36,6 28,2,6,1248207522278.605,414948470689716.3,2875365,13412323,434104,30937852,14534100000000,531418435,fail
29,256 40,6 24,2,6,1248207522278.605,415336590463845.3,2875365,13424868,434104,30937852,16149000000000,531418435,fail
30,256 44,6 20,2,6,1248207522278.605,415879958147625.9,2875365,13442431,434104,30937852,17763900000000,531418435,fail
31,256 48,6 16,2,6,1248207522278.605,416695009673296.75,2875365,13468776,434104,30937852,19378800000000,531418435,fail
32,256 52,6 12,2,6,1248207522278.605,418053428882748.2,2875365,13512684,434104,30937852,20993700000000,531418435,fail
33,256 56,6 8,2,6,1248207522278.605,420770267301651.06,2875365,13600500,434104,30937852,22608600000000,531418435,fail
34,256 16,7 48,2,6,1248207522278.605,413978171254393.9,2875365,13380960,434104,30937852,6459620000000,531418435,fail
35,256 20,7 44,2,6,1248207522278.605,414101663909798.5,2875365,13384951,434104,30937852,8074520000000,531418435,fail
36,256 24,7 40,2,6,1248207522278.605,414249855096284.0,2875365,13389741,434104,30937852,9689420000000,531418435,fail
37,256 28,7 36,2,6,1248207522278.605,414430977657544.4,2875365,13395596,434104,30937852,11304300000000,531418435,fail
38,256 32,7 32,2,6,1248207522278.605,414657380859119.56,2875365,13402914,434104,30937852,12919200000000,531418435,fail
39,256 36,7 28,2,6,1248207522278.605,414948470689716.3,2875365,13412323,434104,30937852,14534100000000,531418435,fail
40,256 40,7 24,2,6,1248207522278.605,415336590463845.3,2875365,13424868,434104,30937852,16149000000000,531418435,fail
41,256 44,7 20,2,6,1248207522278.605,415879958147625.9,2875365,13442431,434104,30937852,17763900000000,531418435,fail
42,256 48,7 16,2,6,1248207522278.605,416695009673296.75,2875365,13468776,434104,30937852,19378800000000,531418435,fail
43,256 52,7 12,2,6,1248207522278.605,418053428882748.2,2875365,13512684,434104,30937852,20993700000000,531418435,fail
44,256 56,7 8,2,6,1248207522278.605,420770267301651.06,2875365,13600500,434104,30937852,22608600000000,531418435,fail
45,256 16,8 48,2,6,1248207522278.605,413978171254393.9,2875365,13380960,434104,30937852,6459620000000,531418435,fail
46,256 20,8 44,2,6,1248207522278.605,414101663909798.5,2875365,13384951,434104,30937852,8074520000000,531418435,fail
47,256 24,8 40,2,6,1248207522278.605,414249855096284.0,2875365,13389741,434104,30937852,9689420000000,531418435,fail
48,256 28,8 36,2,6,1248207522278.605,414430977657544.4,2875365,13395596,434104,30937852,11304300000000,531418435,fail
49,256 32,8 32,2,6,1248207522278.605,414657380859119.56,2875365,13402914,434104,30937852,12919200000000,531418435,fail
50,256 36,8 28,2,6,1248207522278.605,414948470689716.3,2875365,13412323,434104,30937852,14534100000000,531418435,fail
51,256 40,8 24,2,6,1248207522278.605,415336590463845.3,2875365,13424868,434104,30937852,16149000000000,531418435,fail
52,256 44,8 20,2,6,1248207522278.605,415879958147625.9,2875365,13442431,434104,30937852,17763900000000,531418435,fail
53,256 48,8 16,2,6,1248207522278.605,416695009673296.75,2875365,13468776,434104,30937852,19378800000000,531418435,fail
54,256 52,8 12,2,6,1248207522278.605,418053428882748.2,2875365,13512684,434104,30937852,20993700000000,531418435,fail
55,256 56,8 8,2,6,1248207522278.605,420770267301651.06,2875365,13600500,434104,30937852,22608600000000,531418435,fail
56,256 16,9 48,2,6,324253511224.3814,427080868541488.5,1085218,13390944,298791,31893259,6459620000000,1396099279,fail
57,256 20,9 44,2,6,324253511224.3814,427237122320246.8,1085218,13395843,298791,31893259,8074520000000,1396099279,fail
58,256 24,9 40,2,6,324253511224.3814,427424626854756.9,1085218,13401722,298791,31893259,9689420000000,1396099279,fail
59,256 28,9 36,2,6,324253511224.3814,427653799063602.6,1085218,13408908,298791,31893259,11304300000000,1396099279,fail
60,256 32,9 32,2,6,324253511224.3814,427940264324659.7,1085218,13417890,298791,31893259,12919200000000,1396099279,fail
61,256 36,9 28,2,6,324253511224.3814,428308576803161.6,1085218,13429438,298791,31893259,14534100000000,1396099279,fail
62,256 40,9 24,2,6,324253511224.3814,428799660107830.9,1085218,13444836,298791,31893259,16149000000000,1396099279,fail
63,256 44,9 20,2,6,324253511224.3814,429487176734367.75,1085218,13466393,298791,31893259,17763900000000,1396099279,fail
64,256 48,9 16,2,6,324253511224.3814,430518451674173.25,1085218,13498728,298791,31893259,19378800000000,1396099279,fail
65,256 52,9 12,2,6,324253511224.3814,432237243240515.56,1085218,13552620,298791,31893259,20993700000000,1396099279,fail
66,256 56,9 8,2,6,324253511224.3814,435674826373200.3,1085218,13660404,298791,31893259,22608600000000,1396099279,fail
67,256 16,10 48,1,7,106241552348.03712,431901044078150.94,500870,13408191,212114,32211729,6459620000000,1684326227,fail
68,256 20,10 44,1,7,106241552348.03712,432072351911061.25,500870,13413509,212114,32211729,8074520000000,1684326227,fail
69,256 24,10 40,1,7,106241552348.03712,432277921310553.5,500870,13419891,212114,32211729,9689420000000,1684326227,fail
70,256 28,10 36,1,7,106241552348.03712,432529172798822.06,500870,13427691,212114,32211729,11304300000000,1684326227,fail
71,256 32,10 32,1,7,106241552348.03712,432843237159157.56,500870,13437441,212114,32211729,12919200000000,1684326227,fail
72,256 36,10 28,1,7,106241552348.03712,433247034193874.7,500870,13449977,212114,32211729,14534100000000,1684326227,fail
73,256 40,10 24,1,7,106241552348.03712,433785430240164.2,500870,13466691,212114,32211729,16149000000000,1684326227,fail
74,256 44,10 20,1,7,106241552348.03712,434539184704969.44,500870,13490091,212114,32211729,17763900000000,1684326227,fail
75,256 48,10 16,1,7,106241552348.03712,435669816402177.5,500870,13525191,212114,32211729,19378800000000,1684326227,fail
