latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
13900568.996515209,1738368780.209509,1049.9270140462977,34626867.60457346,0,10,18 64,pass
13363712.84935493,243191487.3868225,139.2439886448716,30619382.792893574,1,5,4 48,fail
13367285.576627657,243191487.3868225,139.2439886448716,30619382.792893574,2,5,4 44,fail
13371572.849354926,243191487.3868225,139.2439886448716,30619382.792893574,3,5,4 40,fail
13376812.84935493,243191487.3868225,139.2439886448716,30619382.792893574,4,5,4 36,fail
13383362.84935493,243191487.3868225,139.2439886448716,30619382.792893574,5,5,4 32,fail
13391784.27792636,243191487.3868225,139.2439886448716,30619382.792893574,6,5,4 28,fail
13403012.84935493,243191487.3868225,139.2439886448716,30619382.792893574,7,5,4 24,fail
13418732.849354928,243191487.3868225,139.2439886448716,30619382.792893574,8,5,4 20,fail
13442312.84935493,243191487.3868225,139.2439886448716,30619382.792893574,9,5,4 16,fail
13481612.84935493,243191487.3868225,139.2439886448716,30619382.792893574,10,5,4 12,fail
13560212.84935493,243191487.3868225,139.2439886448716,30619382.792893574,11,5,4 8,fail
10170014.28870761,441347514.1464557,260.69178038825265,14392878.932013735,12,4,5 48,pass
10174005.925071243,441347514.1464557,260.69178038825265,14392878.932013735,13,4,5 44,pass
10178795.888707606,441347514.1464557,260.69178038825265,14392878.932013735,14,4,5 40,pass
10184650.28870761,441347514.1464557,260.69178038825265,14392878.932013735,15,4,5 36,pass
10191968.28870761,441347514.1464557,260.69178038825265,14392878.932013735,16,4,5 32,pass
10201377.145850468,441347514.1464557,260.69178038825265,14392878.932013735,17,4,5 28,pass
10213922.28870761,441347514.1464557,260.69178038825265,14392878.932013735,18,4,5 24,pass
10231485.488707608,441347514.1464557,260.69178038825265,14392878.932013735,19,4,5 20,pass
10257830.28870761,441347514.1464557,260.69178038825265,14392878.932013735,20,4,5 16,pass
10301738.28870761,441347514.1464557,260.69178038825265,14392878.932013735,21,4,5 12,pass
