latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
63499193.42592,1244910.0,102762000000000.0,807607500.0,0,8,1024 64,pass
54223821.90591999,1138581.9,6459620000000.0,50767800.0,1,7,256 16,pass
54223821.90591999,1138581.9,8074520000000.0,63459314.28571428,2,7,256 20,pass
54223821.90591999,1138581.9,9689420000000.0,76150842.85714285,3,7,256 24,pass
54223821.90591999,1138581.9,11304300000000.0,88842342.85714285,4,7,256 28,pass
54223821.90591999,1138581.9,12919200000000.0,101534000.0,5,7,256 32,pass
54223821.90591999,1138581.9,14534100000000.0,114225285.71428572,6,7,256 36,pass
54223821.90591999,1138581.9,16149000000000.0,126917285.71428572,7,7,256 40,pass
54223821.90591999,1138581.9,17763900000000.0,139608285.7142857,8,7,256 44,pass
54223821.90591999,1138581.9,19378800000000.0,152300285.7142857,9,7,256 48,pass
54223821.90591999,1138581.9,20993700000000.0,164991285.7142857,10,7,256 52,pass
54223821.90591999,1138581.9,22608600000000.0,177683285.7142857,11,7,256 56,pass
43037723.8528,530811.8,6459620000000.0,50768775.0,12,4,256 16,pass
43037723.8528,530811.8,8074520000000.0,63460275.0,13,4,256 20,pass
43037723.8528,530811.8,9689420000000.0,76151825.0,14,4,256 24,pass
43037723.8528,530811.8,11304300000000.0,88843325.0,15,4,256 28,pass
43037723.8528,530811.8,12919200000000.0,101534750.0,16,4,256 32,pass
43037723.8528,530811.8,14534100000000.0,114226250.0,17,4,256 36,pass
43037723.8528,530811.8,16149000000000.0,126918250.0,18,4,256 40,pass
43037723.8528,530811.8,17763900000000.0,139609250.0,19,4,256 44,pass
43037723.8528,530811.8,19378800000000.0,152301250.0,20,4,256 48,pass
43037723.8528,530811.8,20993700000000.0,164992250.0,21,4,256 52,pass
43037723.8528,530811.8,22608600000000.0,177684250.0,22,4,256 56,pass
37991921.74592,218791.3,6459620000000.0,50771100.0,23,2,256 16,pass
37991921.74592,218791.3,8074520000000.0,63462600.0,24,2,256 20,pass
37991921.74592,218791.3,9689420000000.0,76154150.0,25,2,256 24,pass
37991921.74592,218791.3,11304300000000.0,88845650.0,26,2,256 28,pass
37991921.74592,218791.3,12919200000000.0,101537000.0,27,2,256 32,pass
37991921.74592,218791.3,14534100000000.0,114228500.0,28,2,256 36,pass
37991921.74592,218791.3,16149000000000.0,126920500.0,29,2,256 40,pass
37991921.74592,218791.3,17763900000000.0,139611500.0,30,2,256 44,pass
37991921.74592,218791.3,19378800000000.0,152303500.0,31,2,256 48,pass
37991921.74592,218791.3,20993700000000.0,164994500.0,32,2,256 52,pass
37991921.74592,218791.3,22608600000000.0,177686500.0,33,2,256 56,pass
37991921.74592,218791.3,6459620000000.0,50771100.0,34,2,256 16,pass
37991921.74592,218791.3,8074520000000.0,63462600.0,35,2,256 20,pass
37991921.74592,218791.3,9689420000000.0,76154150.0,36,2,256 24,pass
37991921.74592,218791.3,11304300000000.0,88845650.0,37,2,256 28,pass
37991921.74592,218791.3,12919200000000.0,101537000.0,38,2,256 32,pass
37991921.74592,218791.3,14534100000000.0,114228500.0,39,2,256 36,pass
37991921.74592,218791.3,16149000000000.0,126920500.0,40,2,256 40,pass
37991921.74592,218791.3,17763900000000.0,139611500.0,41,2,256 44,pass
37991921.74592,218791.3,19378800000000.0,152303500.0,42,2,256 48,pass
37991921.74592,218791.3,20993700000000.0,164994500.0,43,2,256 52,pass
37991921.74592,218791.3,22608600000000.0,177686500.0,44,2,256 56,pass
37991921.74592,218791.3,6459620000000.0,50771100.0,45,2,256 16,pass
