DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,4 48,7,1,61738262170904.0,5492790708.3629,54223821,17247,1138581,318469,6459620000000,288226948,pass
2,256 20,4 44,7,1,61738262170904.0,5626200390.986778,54223821,17666,1138581,318469,8074520000000,288226948,pass
3,256 24,4 40,7,1,61738262170904.0,5786292010.135433,54223821,18169,1138581,318469,9689420000000,288226948,pass
4,256 28,4 36,7,1,61738262170904.0,5981959544.650454,54223821,18783,1138581,318469,11304300000000,288226948,pass
5,256 32,4 32,7,1,61738262170904.0,6226543962.794231,54223821,19551,1138581,318469,12919200000000,288226948,pass
6,256 36,4 28,7,1,61738262170904.0,6541009643.264802,54223821,20538,1138581,318469,14534100000000,288226948,pass
7,256 40,4 24,7,1,61738262170904.0,6960297217.225563,54223821,21855,1138581,318469,16149000000000,288226948,pass
8,256 44,4 20,7,1,61738262170904.0,7547299820.770629,54223821,23698,1138581,318469,17763900000000,288226948,pass
9,256 48,4 16,7,1,61738262170904.0,8427803726.088226,54223821,26463,1138581,318469,19378800000000,288226948,pass
10,256 52,4 12,7,1,61738262170904.0,9895310234.95089,54223821,31071,1138581,318469,20993700000000,288226948,pass
11,256 56,4 8,7,1,61738262170904.0,12830323252.676216,54223821,40287,1138581,318469,22608600000000,288226948,pass
12,256 16,5 48,4,4,22844931666207.703,137339079167348.92,43037723,4830276,530811,28432964,6459620000000,441347514,pass
13,256 20,5 44,4,4,22844931666207.703,137350989994504.81,43037723,4830695,530811,28432964,8074520000000,441347514,pass
14,256 24,5 40,4,4,22844931666207.703,137365282987091.88,43037723,4831198,530811,28432964,9689420000000,441347514,pass
15,256 28,5 36,4,4,22844931666207.703,137382752200253.83,43037723,4831812,530811,28432964,11304300000000,441347514,pass
16,256 32,5 32,4,4,22844931666207.703,137404588716706.28,43037723,4832580,530811,28432964,12919200000000,441347514,pass
17,256 36,5 28,4,4,22844931666207.703,137432664237859.44,43037723,4833567,530811,28432964,14534100000000,441347514,pass
18,256 40,5 24,4,4,22844931666207.703,137470098266063.62,43037723,4834884,530811,28432964,16149000000000,441347514,pass
19,256 44,5 20,4,4,22844931666207.703,137522505905549.52,43037723,4836727,530811,28432964,17763900000000,441347514,pass
20,256 48,5 16,4,4,22844931666207.703,137601117364778.33,43037723,4839492,530811,28432964,19378800000000,441347514,pass
21,256 52,5 12,4,4,22844931666207.703,137732136463493.05,43037723,4844100,530811,28432964,20993700000000,441347514,pass
22,256 56,5 8,4,4,22844931666207.703,137994174660922.45,43037723,4853316,530811,28432964,22608600000000,441347514,pass
23,256 16,6 48,2,6,8312301948288.106,165866542641762.2,37991921,5363038,218791,30927719,6459620000000,567446803,pass
24,256 20,6 44,2,6,8312301948288.106,165917016680465.7,37991921,5364670,218791,30927719,8074520000000,567446803,pass
25,256 24,6 40,2,6,8312301948288.106,165977585526909.9,37991921,5366628,218791,30927719,9689420000000,567446803,pass
26,256 28,6 36,2,6,8312301948288.106,166051614117008.3,37991921,5369022,218791,30927719,11304300000000,567446803,pass
27,256 32,6 32,2,6,8312301948288.106,166144149854631.34,37991921,5372014,218791,30927719,12919200000000,567446803,pass
28,256 36,6 28,2,6,8312301948288.106,166263124374432.44,37991921,5375861,218791,30927719,14534100000000,567446803,pass
29,256 40,6 24,2,6,8312301948288.106,166421757067500.5,37991921,5380990,218791,30927719,16149000000000,567446803,pass
30,256 44,6 20,2,6,8312301948288.106,166643842837795.84,37991921,5388170,218791,30927719,17763900000000,567446803,pass
31,256 48,6 16,2,6,8312301948288.106,166976971493238.78,37991921,5398942,218791,30927719,19378800000000,567446803,pass
32,256 52,6 12,2,6,8312301948288.106,167532185918977.1,37991921,5416894,218791,30927719,20993700000000,567446803,pass
33,256 56,6 8,2,6,8312301948288.106,168642614770453.7,37991921,5452798,218791,30927719,22608600000000,567446803,pass
34,256 16,7 48,2,6,8312301948288.106,165866542641762.2,37991921,5363038,218791,30927719,6459620000000,567446803,pass
35,256 20,7 44,2,6,8312301948288.106,165917016680465.7,37991921,5364670,218791,30927719,8074520000000,567446803,pass
36,256 24,7 40,2,6,8312301948288.106,165977585526909.9,37991921,5366628,218791,30927719,9689420000000,567446803,pass
37,256 28,7 36,2,6,8312301948288.106,166051614117008.3,37991921,5369022,218791,30927719,11304300000000,567446803,pass
38,256 32,7 32,2,6,8312301948288.106,166144149854631.34,37991921,5372014,218791,30927719,12919200000000,567446803,pass
39,256 36,7 28,2,6,8312301948288.106,166263124374432.44,37991921,5375861,218791,30927719,14534100000000,567446803,pass
40,256 40,7 24,2,6,8312301948288.106,166421757067500.5,37991921,5380990,218791,30927719,16149000000000,567446803,pass
