latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
13900568.996515209,1738368780.209509,1049.9270140462977,34626867.60457346,0,10,18 64,pass
17247.473473730908,288226948.01401186,176.61749447950768,318469.2944580433,1,1,4 48,pass
17666.38256464,288226948.01401186,176.61749447950768,318469.2944580433,2,1,4 44,pass
18169.07347373091,288226948.01401186,176.61749447950768,318469.2944580433,3,1,4 40,pass
18783.473473730908,288226948.01401186,176.61749447950768,318469.2944580433,4,1,4 36,pass
19551.473473730908,288226948.01401186,176.61749447950768,318469.2944580433,5,1,4 32,pass
20538.90204515948,288226948.01401186,176.61749447950768,318469.2944580433,6,1,4 28,pass
21855.473473730908,288226948.01401186,176.61749447950768,318469.2944580433,7,1,4 24,pass
23698.67347373091,288226948.01401186,176.61749447950768,318469.2944580433,8,1,4 20,pass
26463.473473730908,288226948.01401186,176.61749447950768,318469.2944580433,9,1,4 16,pass
31071.473473730908,288226948.01401186,176.61749447950768,318469.2944580433,10,1,4 12,pass
40287.473473730905,288226948.01401186,176.61749447950768,318469.2944580433,11,1,4 8,pass
4830276.524655306,441347514.1464557,270.40870329794024,28432964.13079572,12,4,5 48,pass
4830695.433746215,441347514.1464557,270.40870329794024,28432964.13079572,13,4,5 44,pass
4831198.124655306,441347514.1464557,270.40870329794024,28432964.13079572,14,4,5 40,pass
4831812.524655306,441347514.1464557,270.40870329794024,28432964.13079572,15,4,5 36,pass
4832580.524655306,441347514.1464557,270.40870329794024,28432964.13079572,16,4,5 32,pass
4833567.953226735,441347514.1464557,270.40870329794024,28432964.13079572,17,4,5 28,pass
4834884.524655306,441347514.1464557,270.40870329794024,28432964.13079572,18,4,5 24,pass
4836727.724655306,441347514.1464557,270.40870329794024,28432964.13079572,19,4,5 20,pass
4839492.524655306,441347514.1464557,270.40870329794024,28432964.13079572,20,4,5 16,pass
4844100.524655306,441347514.1464557,270.40870329794024,28432964.13079572,21,4,5 12,pass
4853316.524655306,441347514.1464557,270.40870329794024,28432964.13079572,22,4,5 8,pass
5363038.198341851,567446803.9025857,342.15862992170474,30927719.793799896,23,6,6 48,pass
5364670.198341851,567446803.9025857,342.15862992170474,30927719.793799896,24,6,6 44,pass
5366628.598341852,567446803.9025857,342.15862992170474,30927719.793799896,25,6,6 40,pass
5369022.198341851,567446803.9025857,342.15862992170474,30927719.793799896,26,6,6 36,pass
5372014.198341851,567446803.9025857,342.15862992170474,30927719.793799896,27,6,6 32,pass
5375861.055484709,567446803.9025857,342.15862992170474,30927719.793799896,28,6,6 28,pass
5380990.198341851,567446803.9025857,342.15862992170474,30927719.793799896,29,6,6 24,pass
5388170.998341852,567446803.9025857,342.15862992170474,30927719.793799896,30,6,6 20,pass
5398942.198341851,567446803.9025857,342.15862992170474,30927719.793799896,31,6,6 16,pass
5416894.198341851,567446803.9025857,342.15862992170474,30927719.793799896,32,6,6 12,pass
5452798.198341851,567446803.9025857,342.15862992170474,30927719.793799896,33,6,6 8,pass
5363038.198341851,567446803.9025857,342.15862992170474,30927719.793799896,34,6,7 48,pass
5364670.198341851,567446803.9025857,342.15862992170474,30927719.793799896,35,6,7 44,pass
5366628.598341852,567446803.9025857,342.15862992170474,30927719.793799896,36,6,7 40,pass
5369022.198341851,567446803.9025857,342.15862992170474,30927719.793799896,37,6,7 36,pass
5372014.198341851,567446803.9025857,342.15862992170474,30927719.793799896,38,6,7 32,pass
5375861.055484709,567446803.9025857,342.15862992170474,30927719.793799896,39,6,7 28,pass
5380990.198341851,567446803.9025857,342.15862992170474,30927719.793799896,40,6,7 24,pass
5388170.998341852,567446803.9025857,342.15862992170474,30927719.793799896,41,6,7 20,pass
5398942.198341851,567446803.9025857,342.15862992170474,30927719.793799896,42,6,7 16,pass
5416894.198341851,567446803.9025857,342.15862992170474,30927719.793799896,43,6,7 12,pass
5452798.198341851,567446803.9025857,342.15862992170474,30927719.793799896,44,6,7 8,pass
5363038.198341851,567446803.9025857,342.15862992170474,30927719.793799896,45,6,8 48,pass
5364670.198341851,567446803.9025857,342.15862992170474,30927719.793799896,46,6,8 44,pass
5366628.598341852,567446803.9025857,342.15862992170474,30927719.793799896,47,6,8 40,pass
5369022.198341851,567446803.9025857,342.15862992170474,30927719.793799896,48,6,8 36,pass
5372014.198341851,567446803.9025857,342.15862992170474,30927719.793799896,49,6,8 32,pass
5375861.055484709,567446803.9025857,342.15862992170474,30927719.793799896,50,6,8 28,pass
5380990.198341851,567446803.9025857,342.15862992170474,30927719.793799896,51,6,8 24,pass
