DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,8,3150292.5,788262.17,25690900000000.0,201903250.0,1024 16,pass
1,3,214245.0,291315.9,1214280000000.0,9543130.0,192 4,fail
2,3,214245.0,291315.9,2428530000000.0,19086000.0,192 8,fail
3,3,214245.0,291315.9,1214280000000.0,9543130.0,192 4,fail
4,3,214245.0,291315.9,2428530000000.0,19086000.0,192 8,fail
5,3,214245.0,291315.9,1214280000000.0,9543130.0,192 4,fail
6,3,214245.0,291315.9,2428530000000.0,19086000.0,192 8,fail
7,3,214245.0,291315.9,1214280000000.0,9543130.0,192 4,fail
8,3,214245.0,291315.9,2428530000000.0,19086000.0,192 8,fail
9,3,214245.0,291315.9,1214280000000.0,9543130.0,192 4,fail
10,3,214245.0,291315.9,2428530000000.0,19086000.0,192 8,fail
11,2,50325.0,120850.9,1214280000000.0,9543130.0,192 4,fail
12,2,50325.0,120850.9,2428530000000.0,19086000.0,192 8,fail
13,0,0.0,0.0,1214280000000.0,,192 4,fail
14,0,0.0,0.0,2428530000000.0,,192 8,fail
15,0,0.0,0.0,1214280000000.0,,192 4,fail
16,0,0.0,0.0,2428530000000.0,,192 8,fail
17,0,0.0,0.0,1214280000000.0,,192 4,fail
18,0,0.0,0.0,2428530000000.0,,192 8,fail
19,0,0.0,0.0,1214280000000.0,,192 4,fail
20,0,0.0,0.0,2428530000000.0,,192 8,fail
21,0,0.0,0.0,1214280000000.0,,192 4,fail
22,0,0.0,0.0,2428530000000.0,,192 8,fail
23,0,0.0,0.0,1214280000000.0,,192 4,fail
24,0,0.0,0.0,2428530000000.0,,192 8,fail
25,0,0.0,0.0,1214280000000.0,,192 4,fail
26,0,0.0,0.0,2428530000000.0,,192 8,fail
27,0,0.0,0.0,1214280000000.0,,192 4,fail
28,0,0.0,0.0,2428530000000.0,,192 8,fail
29,3,58477.5,266126.7,4419630000000.0,34733100.0,704 4,fail
30,3,58477.5,266126.7,8839010000000.0,69465100.0,704 8,fail
31,3,58477.5,266126.7,4419630000000.0,34733100.0,704 4,fail
32,3,58477.5,266126.7,8839010000000.0,69465100.0,704 8,fail
33,3,58477.5,266126.7,4419630000000.0,34733100.0,704 4,fail
34,3,58477.5,266126.7,8839010000000.0,69465100.0,704 8,fail
35,3,58477.5,266126.7,4419630000000.0,34733100.0,704 4,fail
36,3,58477.5,266126.7,8839010000000.0,69465100.0,704 8,fail
37,3,58477.5,266126.7,4419630000000.0,34733100.0,704 4,fail
38,3,58477.5,266126.7,8839010000000.0,69465100.0,704 8,fail
39,2,13717.5,112872.7,4419630000000.0,34733100.0,704 4,fail
40,2,13717.5,112872.7,8839010000000.0,69465100.0,704 8,fail
41,0,0.0,0.0,4419630000000.0,,704 4,fail
42,0,0.0,0.0,8839010000000.0,,704 8,fail
43,0,0.0,0.0,4419630000000.0,,704 4,fail
44,0,0.0,0.0,8839010000000.0,,704 8,fail
45,0,0.0,0.0,4419630000000.0,,704 4,fail
46,0,0.0,0.0,8839010000000.0,,704 8,fail
47,0,0.0,0.0,4419630000000.0,,704 4,fail
48,0,0.0,0.0,8839010000000.0,,704 8,fail
49,0,0.0,0.0,4419630000000.0,,704 4,fail
50,0,0.0,0.0,8839010000000.0,,704 8,fail
51,0,0.0,0.0,4419630000000.0,,704 4,fail
52,0,0.0,0.0,8839010000000.0,,704 8,fail
53,0,0.0,0.0,4419630000000.0,,704 4,fail
54,0,0.0,0.0,8839010000000.0,,704 8,fail
55,0,0.0,0.0,4419630000000.0,,704 4,fail
56,0,0.0,0.0,8839010000000.0,,704 8,fail
