DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,8,13900568.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,40 64,pass
1,5,13845099.576094013,225177303.13594675,122.68516802888225,32954903.80866872,4 48,fail
2,5,13847511.57609401,225177303.13594675,122.68516802888225,32954903.80866872,4 44,fail
3,5,13850405.97609401,225177303.13594675,122.68516802888225,32954903.80866872,4 40,fail
4,5,13853943.576094013,225177303.13594675,122.68516802888225,32954903.80866872,4 36,fail
5,5,13858365.576094013,225177303.13594675,122.68516802888225,32954903.80866872,4 32,fail
6,5,13864051.004665442,225177303.13594675,122.68516802888225,32954903.80866872,4 28,fail
7,5,13871631.576094013,225177303.13594675,122.68516802888225,32954903.80866872,4 24,fail
8,5,13882244.37609401,225177303.13594675,122.68516802888225,32954903.80866872,4 20,fail
9,5,13898163.576094013,225177303.13594675,122.68516802888225,32954903.80866872,4 16,fail
10,5,13845099.576094013,225177303.13594675,122.68516802888225,32954903.80866872,5 48,fail
11,5,13847511.57609401,225177303.13594675,122.68516802888225,32954903.80866872,5 44,fail
12,5,13850405.97609401,225177303.13594675,122.68516802888225,32954903.80866872,5 40,fail
13,5,13853943.576094013,225177303.13594675,122.68516802888225,32954903.80866872,5 36,fail
14,5,13858365.576094013,225177303.13594675,122.68516802888225,32954903.80866872,5 32,fail
15,5,13864051.004665442,225177303.13594675,122.68516802888225,32954903.80866872,5 28,fail
16,5,13871631.576094013,225177303.13594675,122.68516802888225,32954903.80866872,5 24,fail
17,5,13882244.37609401,225177303.13594675,122.68516802888225,32954903.80866872,5 20,fail
18,5,13898163.576094013,225177303.13594675,122.68516802888225,32954903.80866872,5 16,fail
19,5,13845099.576094013,225177303.13594675,122.68516802888225,32954903.80866872,6 48,fail
20,5,13847511.57609401,225177303.13594675,122.68516802888225,32954903.80866872,6 44,fail
21,5,13850405.97609401,225177303.13594675,122.68516802888225,32954903.80866872,6 40,fail
22,5,13853943.576094013,225177303.13594675,122.68516802888225,32954903.80866872,6 36,fail
23,5,13858365.576094013,225177303.13594675,122.68516802888225,32954903.80866872,6 32,fail
24,5,13864051.004665442,225177303.13594675,122.68516802888225,32954903.80866872,6 28,fail
25,5,13871631.576094013,225177303.13594675,122.68516802888225,32954903.80866872,6 24,fail
26,5,13882244.37609401,225177303.13594675,122.68516802888225,32954903.80866872,6 20,fail
27,5,13898163.576094013,225177303.13594675,122.68516802888225,32954903.80866872,6 16,fail
28,5,13845099.576094013,225177303.13594675,122.68516802888225,32954903.80866872,7 48,fail
29,5,13847511.57609401,225177303.13594675,122.68516802888225,32954903.80866872,7 44,fail
30,5,13850405.97609401,225177303.13594675,122.68516802888225,32954903.80866872,7 40,fail
31,5,13853943.576094013,225177303.13594675,122.68516802888225,32954903.80866872,7 36,fail
32,5,13858365.576094013,225177303.13594675,122.68516802888225,32954903.80866872,7 32,fail
33,5,13864051.004665442,225177303.13594675,122.68516802888225,32954903.80866872,7 28,fail
34,5,13871631.576094013,225177303.13594675,122.68516802888225,32954903.80866872,7 24,fail
35,5,13882244.37609401,225177303.13594675,122.68516802888225,32954903.80866872,7 20,fail
36,5,13898163.576094013,225177303.13594675,122.68516802888225,32954903.80866872,7 16,fail
37,5,13845099.576094013,225177303.13594675,122.68516802888225,32954903.80866872,8 48,fail
38,5,13847511.57609401,225177303.13594675,122.68516802888225,32954903.80866872,8 44,fail
39,5,13850405.97609401,225177303.13594675,122.68516802888225,32954903.80866872,8 40,fail
40,5,13853943.576094013,225177303.13594675,122.68516802888225,32954903.80866872,8 36,fail
41,5,13858365.576094013,225177303.13594675,122.68516802888225,32954903.80866872,8 32,fail
42,5,13864051.004665442,225177303.13594675,122.68516802888225,32954903.80866872,8 28,fail
43,5,13871631.576094013,225177303.13594675,122.68516802888225,32954903.80866872,8 24,fail
44,5,13882244.37609401,225177303.13594675,122.68516802888225,32954903.80866872,8 20,fail
45,5,13898163.576094013,225177303.13594675,122.68516802888225,32954903.80866872,8 16,fail
46,6,13872331.049567744,1378085095.1919942,829.155145946913,34228780.9865009,9 48,fail
47,6,13876069.595022287,1378085095.1919942,829.155145946913,34228780.9865009,9 44,fail
48,6,13880555.84956774,1378085095.1919942,829.155145946913,34228780.9865009,9 40,fail
49,6,13886039.049567744,1378085095.1919942,829.155145946913,34228780.9865009,9 36,fail
50,6,13892893.049567744,1378085095.1919942,829.155145946913,34228780.9865009,9 32,fail
51,6,13901705.33528203,1378085095.1919942,829.155145946913,34228780.9865009,9 28,fail
52,6,13913455.049567744,1378085095.1919942,829.155145946913,34228780.9865009,9 24,fail
53,6,13929904.64956774,1378085095.1919942,829.155145946913,34228780.9865009,9 20,fail
54,6,13954579.049567744,1378085095.1919942,829.155145946913,34228780.9865009,9 16,fail
55,8,13915265.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 48,fail
56,8,13920610.360151568,1738368780.209509,1049.9270140462977,34626867.60457345,10 44,fail
57,8,13927023.596515205,1738368780.209509,1049.9270140462977,34626867.60457345,10 40,fail
58,8,13934861.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 36,fail
59,8,13944659.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 32,fail
60,8,13957257.425086634,1738368780.209509,1049.9270140462977,34626867.60457345,10 28,fail
61,8,13974053.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 24,fail
62,8,13997569.196515204,1738368780.209509,1049.9270140462977,34626867.60457345,10 20,fail
63,8,14032841.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 16,fail
64,8,13915265.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 48,fail
65,8,13920610.360151568,1738368780.209509,1049.9270140462977,34626867.60457345,11 44,fail
66,8,13927023.596515205,1738368780.209509,1049.9270140462977,34626867.60457345,11 40,fail
67,8,13934861.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 36,fail
68,8,13944659.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 32,fail
69,8,13957257.425086634,1738368780.209509,1049.9270140462977,34626867.60457345,11 28,fail
70,8,13974053.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 24,fail
71,8,13997569.196515204,1738368780.209509,1049.9270140462977,34626867.60457345,11 20,fail
72,8,14032841.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 16,fail
73,8,13915265.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,12 48,fail
74,8,13920610.360151568,1738368780.209509,1049.9270140462977,34626867.60457345,12 44,fail
75,8,13927023.596515205,1738368780.209509,1049.9270140462977,34626867.60457345,12 40,fail
76,8,13934861.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,12 36,fail
