DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,8,3150292.5,788262.17,102762000000000.0,807605500.0,1024 64,pass
1,3,160560.0,282620.0,6459620000000.0,50766400.0,256 16,fail
2,3,160560.0,282620.0,8074520000000.0,63457900.0,256 20,fail
3,3,160560.0,282620.0,9689420000000.0,76149500.0,256 24,fail
4,3,160560.0,282620.0,11304300000000.0,88841000.0,256 28,fail
5,3,160560.0,282620.0,12919200000000.0,101532000.0,256 32,fail
6,3,160560.0,282620.0,14534100000000.0,114224000.0,256 36,fail
7,3,160560.0,282620.0,16149000000000.0,126916000.0,256 40,fail
8,3,160560.0,282620.0,17763900000000.0,139607000.0,256 44,fail
9,3,160560.0,282620.0,19378800000000.0,152299000.0,256 48,fail
10,3,160560.0,282620.0,6459620000000.0,50766400.0,256 16,fail
11,3,160560.0,282620.0,8074520000000.0,63457900.0,256 20,fail
12,3,160560.0,282620.0,9689420000000.0,76149500.0,256 24,fail
13,3,160560.0,282620.0,11304300000000.0,88841000.0,256 28,fail
14,3,160560.0,282620.0,12919200000000.0,101532000.0,256 32,fail
15,3,160560.0,282620.0,14534100000000.0,114224000.0,256 36,fail
16,3,160560.0,282620.0,16149000000000.0,126916000.0,256 40,fail
17,3,160560.0,282620.0,17763900000000.0,139607000.0,256 44,fail
18,3,160560.0,282620.0,19378800000000.0,152299000.0,256 48,fail
19,3,160560.0,282620.0,6459620000000.0,50766400.0,256 16,fail
20,3,160560.0,282620.0,8074520000000.0,63457900.0,256 20,fail
21,3,160560.0,282620.0,9689420000000.0,76149500.0,256 24,fail
22,3,160560.0,282620.0,11304300000000.0,88841000.0,256 28,fail
23,3,160560.0,282620.0,12919200000000.0,101532000.0,256 32,fail
24,3,160560.0,282620.0,14534100000000.0,114224000.0,256 36,fail
25,3,160560.0,282620.0,16149000000000.0,126916000.0,256 40,fail
26,3,160560.0,282620.0,17763900000000.0,139607000.0,256 44,fail
27,3,160560.0,282620.0,19378800000000.0,152299000.0,256 48,fail
28,3,160560.0,282620.0,6459620000000.0,50766400.0,256 16,fail
29,3,160560.0,282620.0,8074520000000.0,63457900.0,256 20,fail
30,3,160560.0,282620.0,9689420000000.0,76149500.0,256 24,fail
31,3,160560.0,282620.0,11304300000000.0,88841000.0,256 28,fail
32,3,160560.0,282620.0,12919200000000.0,101532000.0,256 32,fail
33,3,160560.0,282620.0,14534100000000.0,114224000.0,256 36,fail
34,3,160560.0,282620.0,16149000000000.0,126916000.0,256 40,fail
35,3,160560.0,282620.0,17763900000000.0,139607000.0,256 44,fail
36,3,160560.0,282620.0,19378800000000.0,152299000.0,256 48,fail
37,3,160560.0,282620.0,6459620000000.0,50766400.0,256 16,fail
38,3,160560.0,282620.0,8074520000000.0,63457900.0,256 20,fail
39,3,160560.0,282620.0,9689420000000.0,76149500.0,256 24,fail
40,3,160560.0,282620.0,11304300000000.0,88841000.0,256 28,fail
41,3,160560.0,282620.0,12919200000000.0,101532000.0,256 32,fail
42,3,160560.0,282620.0,14534100000000.0,114224000.0,256 36,fail
43,3,160560.0,282620.0,16149000000000.0,126916000.0,256 40,fail
44,3,160560.0,282620.0,17763900000000.0,139607000.0,256 44,fail
45,3,160560.0,282620.0,19378800000000.0,152299000.0,256 48,fail
46,2,37680.0,118083.0,6459620000000.0,50766400.0,256 16,fail
47,2,37680.0,118083.0,8074520000000.0,63457900.0,256 20,fail
48,2,37680.0,118083.0,9689420000000.0,76149500.0,256 24,fail
49,2,37680.0,118083.0,11304300000000.0,88841000.0,256 28,fail
50,2,37680.0,118083.0,12919200000000.0,101532000.0,256 32,fail
51,2,37680.0,118083.0,14534100000000.0,114224000.0,256 36,fail
52,2,37680.0,118083.0,16149000000000.0,126916000.0,256 40,fail
53,2,37680.0,118083.0,17763900000000.0,139607000.0,256 44,fail
54,2,37680.0,118083.0,19378800000000.0,152299000.0,256 48,fail
55,0,0.0,0.0,6459620000000.0,,256 16,fail
56,0,0.0,0.0,8074520000000.0,,256 20,fail
57,0,0.0,0.0,9689420000000.0,,256 24,fail
