DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,4 48,3,5,45377467200.0,456263924751618.25,160560,13845099,282620,32954903,6459620000000,225177303,fail
2,256 20,4 44,3,5,45377467200.0,456343411979604.75,160560,13847511,282620,32954903,8074520000000,225177303,fail
3,256 24,4 40,3,5,45377467200.0,456438796653188.5,160560,13850405,282620,32954903,9689420000000,225177303,fail
4,256 28,4 36,3,5,45377467200.0,456555377920902.1,160560,13853943,282620,32954903,11304300000000,225177303,fail
5,256 32,4 32,3,5,45377467200.0,456701104505544.06,160560,13858365,282620,32954903,12919200000000,225177303,fail
6,256 36,4 28,3,5,45377467200.0,456888467257226.56,160560,13864051,282620,32954903,14534100000000,225177303,fail
7,256 40,4 24,3,5,45377467200.0,457138284259469.9,160560,13871631,282620,32954903,16149000000000,225177303,fail
8,256 44,4 20,3,5,45377467200.0,457488028062610.44,160560,13882244,282620,32954903,17763900000000,225177303,fail
9,256 48,4 16,3,5,45377467200.0,458012643767321.5,160560,13898163,282620,32954903,19378800000000,225177303,fail
10,256 16,5 48,3,5,45377467200.0,456263924751618.25,160560,13845099,282620,32954903,6459620000000,225177303,fail
11,256 20,5 44,3,5,45377467200.0,456343411979604.75,160560,13847511,282620,32954903,8074520000000,225177303,fail
12,256 24,5 40,3,5,45377467200.0,456438796653188.5,160560,13850405,282620,32954903,9689420000000,225177303,fail
13,256 28,5 36,3,5,45377467200.0,456555377920902.1,160560,13853943,282620,32954903,11304300000000,225177303,fail
14,256 32,5 32,3,5,45377467200.0,456701104505544.06,160560,13858365,282620,32954903,12919200000000,225177303,fail
15,256 36,5 28,3,5,45377467200.0,456888467257226.56,160560,13864051,282620,32954903,14534100000000,225177303,fail
16,256 40,5 24,3,5,45377467200.0,457138284259469.9,160560,13871631,282620,32954903,16149000000000,225177303,fail
17,256 44,5 20,3,5,45377467200.0,457488028062610.44,160560,13882244,282620,32954903,17763900000000,225177303,fail
18,256 48,5 16,3,5,45377467200.0,458012643767321.5,160560,13898163,282620,32954903,19378800000000,225177303,fail
19,256 16,6 48,3,5,45377467200.0,456263924751618.25,160560,13845099,282620,32954903,6459620000000,225177303,fail
20,256 20,6 44,3,5,45377467200.0,456343411979604.75,160560,13847511,282620,32954903,8074520000000,225177303,fail
21,256 24,6 40,3,5,45377467200.0,456438796653188.5,160560,13850405,282620,32954903,9689420000000,225177303,fail
22,256 28,6 36,3,5,45377467200.0,456555377920902.1,160560,13853943,282620,32954903,11304300000000,225177303,fail
23,256 32,6 32,3,5,45377467200.0,456701104505544.06,160560,13858365,282620,32954903,12919200000000,225177303,fail
24,256 36,6 28,3,5,45377467200.0,456888467257226.56,160560,13864051,282620,32954903,14534100000000,225177303,fail
25,256 40,6 24,3,5,45377467200.0,457138284259469.9,160560,13871631,282620,32954903,16149000000000,225177303,fail
26,256 44,6 20,3,5,45377467200.0,457488028062610.44,160560,13882244,282620,32954903,17763900000000,225177303,fail
27,256 48,6 16,3,5,45377467200.0,458012643767321.5,160560,13898163,282620,32954903,19378800000000,225177303,fail
28,256 16,7 48,3,5,45377467200.0,456263924751618.25,160560,13845099,282620,32954903,6459620000000,225177303,fail
29,256 20,7 44,3,5,45377467200.0,456343411979604.75,160560,13847511,282620,32954903,8074520000000,225177303,fail
30,256 24,7 40,3,5,45377467200.0,456438796653188.5,160560,13850405,282620,32954903,9689420000000,225177303,fail
31,256 28,7 36,3,5,45377467200.0,456555377920902.1,160560,13853943,282620,32954903,11304300000000,225177303,fail
32,256 32,7 32,3,5,45377467200.0,456701104505544.06,160560,13858365,282620,32954903,12919200000000,225177303,fail
33,256 36,7 28,3,5,45377467200.0,456888467257226.56,160560,13864051,282620,32954903,14534100000000,225177303,fail
34,256 40,7 24,3,5,45377467200.0,457138284259469.9,160560,13871631,282620,32954903,16149000000000,225177303,fail
35,256 44,7 20,3,5,45377467200.0,457488028062610.44,160560,13882244,282620,32954903,17763900000000,225177303,fail
36,256 48,7 16,3,5,45377467200.0,458012643767321.5,160560,13898163,282620,32954903,19378800000000,225177303,fail
37,256 16,8 48,3,5,45377467200.0,456263924751618.25,160560,13845099,282620,32954903,6459620000000,225177303,fail
38,256 20,8 44,3,5,45377467200.0,456343411979604.75,160560,13847511,282620,32954903,8074520000000,225177303,fail
39,256 24,8 40,3,5,45377467200.0,456438796653188.5,160560,13850405,282620,32954903,9689420000000,225177303,fail
40,256 28,8 36,3,5,45377467200.0,456555377920902.1,160560,13853943,282620,32954903,11304300000000,225177303,fail
41,256 32,8 32,3,5,45377467200.0,456701104505544.06,160560,13858365,282620,32954903,12919200000000,225177303,fail
42,256 36,8 28,3,5,45377467200.0,456888467257226.56,160560,13864051,282620,32954903,14534100000000,225177303,fail
43,256 40,8 24,3,5,45377467200.0,457138284259469.9,160560,13871631,282620,32954903,16149000000000,225177303,fail
44,256 44,8 20,3,5,45377467200.0,457488028062610.44,160560,13882244,282620,32954903,17763900000000,225177303,fail
45,256 48,8 16,3,5,45377467200.0,458012643767321.5,160560,13898163,282620,32954903,19378800000000,225177303,fail
46,256 16,9 48,2,6,4449367440.0,474832981267890.44,37680,13872331,118083,34228780,6459620000000,1378085095,fail
47,256 20,9 44,2,6,4449367440.0,474960947121462.06,37680,13876069,118083,34228780,8074520000000,1378085095,fail
48,256 24,9 40,2,6,4449367440.0,475114506145748.06,37680,13880555,118083,34228780,9689420000000,1378085095,fail
49,256 28,9 36,2,6,4449367440.0,475302189397653.4,37680,13886039,118083,34228780,11304300000000,1378085095,fail
50,256 32,9 32,2,6,4449367440.0,475536793462534.9,37680,13892893,118083,34228780,12919200000000,1378085095,fail
51,256 36,9 28,2,6,4449367440.0,475838427260239.6,37680,13901705,118083,34228780,14534100000000,1378085095,fail
52,256 40,9 24,2,6,4449367440.0,476240605657179.3,37680,13913455,118083,34228780,16149000000000,1378085095,fail
53,256 44,9 20,2,6,4449367440.0,476803655412894.7,37680,13929904,118083,34228780,17763900000000,1378085095,fail
