DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,8,13900568.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,18 64,pass
1,5,13845099.576094013,225177303.13594675,122.68516802888225,32954903.80866872,4 48,fail
2,5,13847511.57609401,225177303.13594675,122.68516802888225,32954903.80866872,4 44,fail
3,5,13850405.97609401,225177303.13594675,122.68516802888225,32954903.80866872,4 40,fail
4,5,13853943.576094013,225177303.13594675,122.68516802888225,32954903.80866872,4 36,fail
5,5,13858365.576094013,225177303.13594675,122.68516802888225,32954903.80866872,4 32,fail
6,5,13864051.004665442,225177303.13594675,122.68516802888225,32954903.80866872,4 28,fail
7,5,13871631.576094013,225177303.13594675,122.68516802888225,32954903.80866872,4 24,fail
8,5,13882244.37609401,225177303.13594675,122.68516802888225,32954903.80866872,4 20,fail
9,5,13898163.576094013,225177303.13594675,122.68516802888225,32954903.80866872,4 16,fail
10,5,13845099.576094013,225177303.13594675,122.68516802888225,32954903.80866872,5 48,fail
11,5,13847511.57609401,225177303.13594675,122.68516802888225,32954903.80866872,5 44,fail
12,5,13850405.97609401,225177303.13594675,122.68516802888225,32954903.80866872,5 40,fail
13,5,13853943.576094013,225177303.13594675,122.68516802888225,32954903.80866872,5 36,fail
14,5,13858365.576094013,225177303.13594675,122.68516802888225,32954903.80866872,5 32,fail
15,5,13864051.004665442,225177303.13594675,122.68516802888225,32954903.80866872,5 28,fail
16,5,13871631.576094013,225177303.13594675,122.68516802888225,32954903.80866872,5 24,fail
17,5,13882244.37609401,225177303.13594675,122.68516802888225,32954903.80866872,5 20,fail
18,5,13898163.576094013,225177303.13594675,122.68516802888225,32954903.80866872,5 16,fail
19,5,13845099.576094013,225177303.13594675,122.68516802888225,32954903.80866872,6 48,fail
20,5,13847511.57609401,225177303.13594675,122.68516802888225,32954903.80866872,6 44,fail
21,5,13850405.97609401,225177303.13594675,122.68516802888225,32954903.80866872,6 40,fail
22,5,13853943.576094013,225177303.13594675,122.68516802888225,32954903.80866872,6 36,fail
23,5,13858365.576094013,225177303.13594675,122.68516802888225,32954903.80866872,6 32,fail
24,5,13864051.004665442,225177303.13594675,122.68516802888225,32954903.80866872,6 28,fail
25,5,13871631.576094013,225177303.13594675,122.68516802888225,32954903.80866872,6 24,fail
26,5,13882244.37609401,225177303.13594675,122.68516802888225,32954903.80866872,6 20,fail
27,5,13898163.576094013,225177303.13594675,122.68516802888225,32954903.80866872,6 16,fail
28,5,13845099.576094013,225177303.13594675,122.68516802888225,32954903.80866872,7 48,fail
29,5,13847511.57609401,225177303.13594675,122.68516802888225,32954903.80866872,7 44,fail
30,5,13850405.97609401,225177303.13594675,122.68516802888225,32954903.80866872,7 40,fail
31,5,13853943.576094013,225177303.13594675,122.68516802888225,32954903.80866872,7 36,fail
