DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,4 48,8,0,60865143224664.01,0.0,56045040,0,1086004,0,6459620000000,0,pass
2,256 20,4 44,8,0,60865143224664.01,0.0,56045040,0,1086004,0,8074520000000,0,pass
3,256 24,4 40,8,0,60865143224664.01,0.0,56045040,0,1086004,0,9689420000000,0,pass
4,256 28,4 36,8,0,60865143224664.01,0.0,56045040,0,1086004,0,11304300000000,0,pass
5,256 32,4 32,8,0,60865143224664.01,0.0,56045040,0,1086004,0,12919200000000,0,pass
6,256 36,4 28,8,0,60865143224664.01,0.0,56045040,0,1086004,0,14534100000000,0,pass
7,256 40,4 24,8,0,60865143224664.01,0.0,56045040,0,1086004,0,16149000000000,0,pass
8,256 44,4 20,8,0,60865143224664.01,0.0,56045040,0,1086004,0,17763900000000,0,pass
9,256 48,4 16,8,0,60865143224664.01,0.0,56045040,0,1086004,0,19378800000000,0,pass
10,256 16,5 48,8,0,60865143224664.01,0.0,56045040,0,1086004,0,6459620000000,0,pass
11,256 20,5 44,8,0,60865143224664.01,0.0,56045040,0,1086004,0,8074520000000,0,pass
12,256 24,5 40,8,0,60865143224664.01,0.0,56045040,0,1086004,0,9689420000000,0,pass
13,256 28,5 36,8,0,60865143224664.01,0.0,56045040,0,1086004,0,11304300000000,0,pass
14,256 32,5 32,8,0,60865143224664.01,0.0,56045040,0,1086004,0,12919200000000,0,pass
15,256 36,5 28,8,0,60865143224664.01,0.0,56045040,0,1086004,0,14534100000000,0,pass
16,256 40,5 24,8,0,60865143224664.01,0.0,56045040,0,1086004,0,16149000000000,0,pass
17,256 44,5 20,8,0,60865143224664.01,0.0,56045040,0,1086004,0,17763900000000,0,pass
18,256 48,5 16,8,0,60865143224664.01,0.0,56045040,0,1086004,0,19378800000000,0,pass
19,256 16,6 48,8,0,60865143224664.01,0.0,56045040,0,1086004,0,6459620000000,0,pass
20,256 20,6 44,8,0,60865143224664.01,0.0,56045040,0,1086004,0,8074520000000,0,pass
21,256 24,6 40,8,0,60865143224664.01,0.0,56045040,0,1086004,0,9689420000000,0,pass
22,256 28,6 36,8,0,60865143224664.01,0.0,56045040,0,1086004,0,11304300000000,0,pass
23,256 32,6 32,8,0,60865143224664.01,0.0,56045040,0,1086004,0,12919200000000,0,pass
24,256 36,6 28,8,0,60865143224664.01,0.0,56045040,0,1086004,0,14534100000000,0,pass
25,256 40,6 24,8,0,60865143224664.01,0.0,56045040,0,1086004,0,16149000000000,0,pass
26,256 44,6 20,8,0,60865143224664.01,0.0,56045040,0,1086004,0,17763900000000,0,pass
27,256 48,6 16,8,0,60865143224664.01,0.0,56045040,0,1086004,0,19378800000000,0,pass
28,256 16,7 48,8,0,60865143224664.01,0.0,56045040,0,1086004,0,6459620000000,0,pass
29,256 20,7 44,8,0,60865143224664.01,0.0,56045040,0,1086004,0,8074520000000,0,pass
30,256 24,7 40,8,0,60865143224664.01,0.0,56045040,0,1086004,0,9689420000000,0,pass
31,256 28,7 36,8,0,60865143224664.01,0.0,56045040,0,1086004,0,11304300000000,0,pass
32,256 32,7 32,8,0,60865143224664.01,0.0,56045040,0,1086004,0,12919200000000,0,pass
33,256 36,7 28,8,0,60865143224664.01,0.0,56045040,0,1086004,0,14534100000000,0,pass
34,256 40,7 24,8,0,60865143224664.01,0.0,56045040,0,1086004,0,16149000000000,0,pass
35,256 44,7 20,8,0,60865143224664.01,0.0,56045040,0,1086004,0,17763900000000,0,pass
36,256 48,7 16,8,0,60865143224664.01,0.0,56045040,0,1086004,0,19378800000000,0,pass
37,256 16,8 48,8,0,60865143224664.01,0.0,56045040,0,1086004,0,6459620000000,0,pass
38,256 20,8 44,8,0,60865143224664.01,0.0,56045040,0,1086004,0,8074520000000,0,pass
39,256 24,8 40,8,0,60865143224664.01,0.0,56045040,0,1086004,0,9689420000000,0,pass
40,256 28,8 36,8,0,60865143224664.01,0.0,56045040,0,1086004,0,11304300000000,0,pass
41,256 32,8 32,8,0,60865143224664.01,0.0,56045040,0,1086004,0,12919200000000,0,pass
42,256 36,8 28,8,0,60865143224664.01,0.0,56045040,0,1086004,0,14534100000000,0,pass
43,256 40,8 24,8,0,60865143224664.01,0.0,56045040,0,1086004,0,16149000000000,0,pass
44,256 44,8 20,8,0,60865143224664.01,0.0,56045040,0,1086004,0,17763900000000,0,pass
