DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,8,13900568.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,18 64,pass
1,0,0.0,0.0,0.0,0.0,4 48,pass
2,0,0.0,0.0,0.0,0.0,4 44,pass
3,0,0.0,0.0,0.0,0.0,4 40,pass
4,0,0.0,0.0,0.0,0.0,4 36,pass
5,0,0.0,0.0,0.0,0.0,4 32,pass
6,0,0.0,0.0,0.0,0.0,4 28,pass
7,0,0.0,0.0,0.0,0.0,4 24,pass
8,0,0.0,0.0,0.0,0.0,4 20,pass
9,0,0.0,0.0,0.0,0.0,4 16,pass
10,0,0.0,0.0,0.0,0.0,5 48,pass
11,0,0.0,0.0,0.0,0.0,5 44,pass
12,0,0.0,0.0,0.0,0.0,5 40,pass
13,0,0.0,0.0,0.0,0.0,5 36,pass
14,0,0.0,0.0,0.0,0.0,5 32,pass
15,0,0.0,0.0,0.0,0.0,5 28,pass
16,0,0.0,0.0,0.0,0.0,5 24,pass
17,0,0.0,0.0,0.0,0.0,5 20,pass
18,0,0.0,0.0,0.0,0.0,5 16,pass
19,0,0.0,0.0,0.0,0.0,6 48,pass
20,0,0.0,0.0,0.0,0.0,6 44,pass
21,0,0.0,0.0,0.0,0.0,6 40,pass
22,0,0.0,0.0,0.0,0.0,6 36,pass
23,0,0.0,0.0,0.0,0.0,6 32,pass
24,0,0.0,0.0,0.0,0.0,6 28,pass
25,0,0.0,0.0,0.0,0.0,6 24,pass
26,0,0.0,0.0,0.0,0.0,6 20,pass
27,0,0.0,0.0,0.0,0.0,6 16,pass
28,0,0.0,0.0,0.0,0.0,7 48,pass
29,0,0.0,0.0,0.0,0.0,7 44,pass
30,0,0.0,0.0,0.0,0.0,7 40,pass
31,0,0.0,0.0,0.0,0.0,7 36,pass
32,0,0.0,0.0,0.0,0.0,7 32,pass
33,0,0.0,0.0,0.0,0.0,7 28,pass
34,0,0.0,0.0,0.0,0.0,7 24,pass
35,0,0.0,0.0,0.0,0.0,7 20,pass
36,0,0.0,0.0,0.0,0.0,7 16,pass
37,0,0.0,0.0,0.0,0.0,8 48,pass
38,0,0.0,0.0,0.0,0.0,8 44,pass
39,0,0.0,0.0,0.0,0.0,8 40,pass
40,0,0.0,0.0,0.0,0.0,8 36,pass
41,0,0.0,0.0,0.0,0.0,8 32,pass
42,0,0.0,0.0,0.0,0.0,8 28,pass
43,0,0.0,0.0,0.0,0.0,8 24,pass
44,0,0.0,0.0,0.0,0.0,8 20,pass
45,0,0.0,0.0,0.0,0.0,8 16,pass
46,3,3231397.507594781,1269999989.6867397,778.1956320708846,22760131.728260376,9 48,pass
47,3,3232724.053049327,1269999989.6867397,778.1956320708846,22760131.728260376,9 44,pass
48,3,3234315.9075947814,1269999989.6867397,778.1956320708846,22760131.728260376,9 40,pass
49,3,3236261.507594781,1269999989.6867397,778.1956320708846,22760131.728260376,9 36,pass
50,3,3238693.507594781,1269999989.6867397,778.1956320708846,22760131.728260376,9 32,pass
51,3,3241820.3647376387,1269999989.6867397,778.1956320708846,22760131.728260376,9 28,pass
52,3,3245989.507594781,1269999989.6867397,778.1956320708846,22760131.728260376,9 24,pass
53,3,3251826.3075947813,1269999989.6867397,778.1956320708846,22760131.728260376,9 20,pass
54,3,3260581.507594781,1269999989.6867397,778.1956320708846,22760131.728260376,9 16,pass
55,8,13915265.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 48,fail
56,8,13920610.360151568,1738368780.209509,1049.9270140462977,34626867.60457345,10 44,fail
57,8,13927023.596515205,1738368780.209509,1049.9270140462977,34626867.60457345,10 40,fail
58,8,13934861.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 36,fail
59,8,13944659.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 32,fail
60,8,13957257.425086634,1738368780.209509,1049.9270140462977,34626867.60457345,10 28,fail
61,8,13974053.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 24,fail
62,8,13997569.196515204,1738368780.209509,1049.9270140462977,34626867.60457345,10 20,fail
63,8,14032841.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,10 16,fail
64,8,13915265.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 48,fail
65,8,13920610.360151568,1738368780.209509,1049.9270140462977,34626867.60457345,11 44,fail
66,8,13927023.596515205,1738368780.209509,1049.9270140462977,34626867.60457345,11 40,fail
67,8,13934861.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 36,fail
68,8,13944659.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 32,fail
69,8,13957257.425086634,1738368780.209509,1049.9270140462977,34626867.60457345,11 28,fail
70,8,13974053.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 24,fail
71,8,13997569.196515204,1738368780.209509,1049.9270140462977,34626867.60457345,11 20,fail
72,8,14032841.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,11 16,fail
73,8,13915265.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,12 48,fail
74,8,13920610.360151568,1738368780.209509,1049.9270140462977,34626867.60457345,12 44,fail
75,8,13927023.596515205,1738368780.209509,1049.9270140462977,34626867.60457345,12 40,fail
76,8,13934861.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,12 36,fail
77,8,13944659.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,12 32,fail
78,8,13957257.425086634,1738368780.209509,1049.9270140462977,34626867.60457345,12 28,fail
79,8,13974053.996515209,1738368780.209509,1049.9270140462977,34626867.60457345,12 24,fail
80,8,13997569.196515204,1738368780.209509,1049.9270140462977,34626867.60457345,12 20,fail
