DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,8,5562375.0,1166277.2000000002,102762000000000.0,807605500.0,1024 64,pass
1,8,6003420.0,1175198.2000000002,6459620000000.0,50766550.0,256 16,pass
2,8,6003420.0,1175198.2000000002,8074520000000.0,63458050.0,256 20,pass
3,8,6003420.0,1175198.2000000002,9689420000000.0,76149587.5,256 24,pass
4,8,6003420.0,1175198.2000000002,11304300000000.0,88841087.5,256 28,pass
5,8,6003420.0,1175198.2000000002,12919200000000.0,101532625.0,256 32,pass
6,8,6003420.0,1175198.2000000002,14534100000000.0,114224125.0,256 36,pass
7,8,6003420.0,1175198.2000000002,16149000000000.0,126916000.0,256 40,pass
8,8,6003420.0,1175198.2000000002,17763900000000.0,139607125.0,256 44,pass
9,8,6003420.0,1175198.2000000002,19378800000000.0,152299000.0,256 48,pass
10,8,6003420.0,1175198.2000000002,6459620000000.0,50766550.0,256 16,pass
11,8,6003420.0,1175198.2000000002,8074520000000.0,63458050.0,256 20,pass
12,8,6003420.0,1175198.2000000002,9689420000000.0,76149587.5,256 24,pass
13,8,6003420.0,1175198.2000000002,11304300000000.0,88841087.5,256 28,pass
14,8,6003420.0,1175198.2000000002,12919200000000.0,101532625.0,256 32,pass
15,8,6003420.0,1175198.2000000002,14534100000000.0,114224125.0,256 36,pass
16,8,6003420.0,1175198.2000000002,16149000000000.0,126916000.0,256 40,pass
17,8,6003420.0,1175198.2000000002,17763900000000.0,139607125.0,256 44,pass
18,8,6003420.0,1175198.2000000002,19378800000000.0,152299000.0,256 48,pass
19,8,6003420.0,1175198.2000000002,6459620000000.0,50766550.0,256 16,pass
20,8,6003420.0,1175198.2000000002,8074520000000.0,63458050.0,256 20,pass
21,8,6003420.0,1175198.2000000002,9689420000000.0,76149587.5,256 24,pass
22,8,6003420.0,1175198.2000000002,11304300000000.0,88841087.5,256 28,pass
23,8,6003420.0,1175198.2000000002,12919200000000.0,101532625.0,256 32,pass
24,8,6003420.0,1175198.2000000002,14534100000000.0,114224125.0,256 36,pass
25,8,6003420.0,1175198.2000000002,16149000000000.0,126916000.0,256 40,pass
26,8,6003420.0,1175198.2000000002,17763900000000.0,139607125.0,256 44,pass
27,8,6003420.0,1175198.2000000002,19378800000000.0,152299000.0,256 48,pass
28,8,6003420.0,1175198.2000000002,6459620000000.0,50766550.0,256 16,pass
29,8,6003420.0,1175198.2000000002,8074520000000.0,63458050.0,256 20,pass
30,8,6003420.0,1175198.2000000002,9689420000000.0,76149587.5,256 24,pass
31,8,6003420.0,1175198.2000000002,11304300000000.0,88841087.5,256 28,pass
32,8,6003420.0,1175198.2000000002,12919200000000.0,101532625.0,256 32,pass
33,8,6003420.0,1175198.2000000002,14534100000000.0,114224125.0,256 36,pass
34,8,6003420.0,1175198.2000000002,16149000000000.0,126916000.0,256 40,pass
35,8,6003420.0,1175198.2000000002,17763900000000.0,139607125.0,256 44,pass
36,8,6003420.0,1175198.2000000002,19378800000000.0,152299000.0,256 48,pass
37,8,6003420.0,1175198.2000000002,6459620000000.0,50766550.0,256 16,pass
38,8,6003420.0,1175198.2000000002,8074520000000.0,63458050.0,256 20,pass
39,8,6003420.0,1175198.2000000002,9689420000000.0,76149587.5,256 24,pass
40,8,6003420.0,1175198.2000000002,11304300000000.0,88841087.5,256 28,pass
41,8,6003420.0,1175198.2000000002,12919200000000.0,101532625.0,256 32,pass
42,8,6003420.0,1175198.2000000002,14534100000000.0,114224125.0,256 36,pass
43,8,6003420.0,1175198.2000000002,16149000000000.0,126916000.0,256 40,pass
44,8,6003420.0,1175198.2000000002,17763900000000.0,139607125.0,256 44,pass
45,8,6003420.0,1175198.2000000002,19378800000000.0,152299000.0,256 48,pass
46,4,1453440.0,492821.4,6459620000000.0,50766475.0,256 16,pass
47,4,1453440.0,492821.4,8074520000000.0,63457975.0,256 20,pass
48,4,1453440.0,492821.4,9689420000000.0,76149525.0,256 24,pass
49,4,1453440.0,492821.4,11304300000000.0,88841025.0,256 28,pass
50,4,1453440.0,492821.4,12919200000000.0,101532500.0,256 32,pass
51,4,1453440.0,492821.4,14534100000000.0,114224000.0,256 36,pass
52,4,1453440.0,492821.4,16149000000000.0,126916000.0,256 40,pass
53,4,1453440.0,492821.4,17763900000000.0,139607000.0,256 44,pass
54,4,1453440.0,492821.4,19378800000000.0,152299000.0,256 48,pass
55,0,0.0,0.0,6459620000000.0,,256 16,fail
56,0,0.0,0.0,8074520000000.0,,256 20,fail
57,0,0.0,0.0,9689420000000.0,,256 24,fail
58,0,0.0,0.0,11304300000000.0,,256 28,fail
59,0,0.0,0.0,12919200000000.0,,256 32,fail
60,0,0.0,0.0,14534100000000.0,,256 36,fail
61,0,0.0,0.0,16149000000000.0,,256 40,fail
62,0,0.0,0.0,17763900000000.0,,256 44,fail
63,0,0.0,0.0,19378800000000.0,,256 48,fail
64,0,0.0,0.0,6459620000000.0,,256 16,fail
65,0,0.0,0.0,8074520000000.0,,256 20,fail
66,0,0.0,0.0,9689420000000.0,,256 24,fail
67,0,0.0,0.0,11304300000000.0,,256 28,fail
68,0,0.0,0.0,12919200000000.0,,256 32,fail
69,0,0.0,0.0,14534100000000.0,,256 36,fail
70,0,0.0,0.0,16149000000000.0,,256 40,fail
71,0,0.0,0.0,17763900000000.0,,256 44,fail
72,0,0.0,0.0,19378800000000.0,,256 48,fail
73,0,0.0,0.0,6459620000000.0,,256 16,fail
74,0,0.0,0.0,8074520000000.0,,256 20,fail
75,0,0.0,0.0,9689420000000.0,,256 24,fail
76,0,0.0,0.0,11304300000000.0,,256 28,fail
77,0,0.0,0.0,12919200000000.0,,256 32,fail
78,0,0.0,0.0,14534100000000.0,,256 36,fail
79,0,0.0,0.0,16149000000000.0,,256 40,fail
80,0,0.0,0.0,17763900000000.0,,256 44,fail
81,0,0.0,0.0,19378800000000.0,,256 48,fail
82,0,0.0,0.0,6459620000000.0,,256 16,fail
83,0,0.0,0.0,8074520000000.0,,256 20,fail
84,0,0.0,0.0,9689420000000.0,,256 24,fail
85,0,0.0,0.0,11304300000000.0,,256 28,fail
86,0,0.0,0.0,12919200000000.0,,256 32,fail
87,0,0.0,0.0,14534100000000.0,,256 36,fail
88,0,0.0,0.0,16149000000000.0,,256 40,fail
89,0,0.0,0.0,17763900000000.0,,256 44,fail
90,0,0.0,0.0,19378800000000.0,,256 48,fail
91,0,0.0,0.0,6459620000000.0,,256 16,fail
92,0,0.0,0.0,8074520000000.0,,256 20,fail
93,0,0.0,0.0,9689420000000.0,,256 24,fail
94,0,0.0,0.0,11304300000000.0,,256 28,fail
95,0,0.0,0.0,12919200000000.0,,256 32,fail
96,0,0.0,0.0,14534100000000.0,,256 36,fail
97,0,0.0,0.0,16149000000000.0,,256 40,fail
98,0,0.0,0.0,17763900000000.0,,256 44,fail
99,0,0.0,0.0,19378800000000.0,,256 48,fail
100,0,0.0,0.0,6459620000000.0,,256 16,fail
101,0,0.0,0.0,8074520000000.0,,256 20,fail
102,0,0.0,0.0,9689420000000.0,,256 24,fail
103,0,0.0,0.0,11304300000000.0,,256 28,fail
104,0,0.0,0.0,12919200000000.0,,256 32,fail
105,0,0.0,0.0,14534100000000.0,,256 36,fail
106,0,0.0,0.0,16149000000000.0,,256 40,fail
107,0,0.0,0.0,17763900000000.0,,256 44,fail
