DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,8,5562375.0,1166277.2000000002,410461000000000.0,3225771250.0,4096 64,pass
1,8,5562375.0,1166277.2000000002,25690900000000.0,201903250.0,1024 16,pass
2,8,5562375.0,1166277.2000000002,32113400000000.0,252378250.0,1024 20,pass
3,8,5562375.0,1166277.2000000002,38536000000000.0,302853375.0,1024 24,pass
4,8,5562375.0,1166277.2000000002,44958600000000.0,353328500.0,1024 28,pass
5,8,5562375.0,1166277.2000000002,51381200000000.0,403803875.0,1024 32,pass
6,8,5562375.0,1166277.2000000002,57803700000000.0,454279250.0,1024 36,pass
7,8,5562375.0,1166277.2000000002,64226300000000.0,504754250.0,1024 40,pass
8,8,5562375.0,1166277.2000000002,70648900000000.0,555229375.0,1024 44,pass
9,8,5562375.0,1166277.2000000002,77071500000000.0,605704500.0,1024 48,pass
10,8,5562375.0,1166277.2000000002,25690900000000.0,201903250.0,1024 16,pass
11,8,5562375.0,1166277.2000000002,32113400000000.0,252378250.0,1024 20,pass
12,8,5562375.0,1166277.2000000002,38536000000000.0,302853375.0,1024 24,pass
13,8,5562375.0,1166277.2000000002,44958600000000.0,353328500.0,1024 28,pass
14,8,5562375.0,1166277.2000000002,51381200000000.0,403803875.0,1024 32,pass
15,8,5562375.0,1166277.2000000002,57803700000000.0,454279250.0,1024 36,pass
16,8,5562375.0,1166277.2000000002,64226300000000.0,504754250.0,1024 40,pass
17,8,5562375.0,1166277.2000000002,70648900000000.0,555229375.0,1024 44,pass
18,8,5562375.0,1166277.2000000002,77071500000000.0,605704500.0,1024 48,pass
19,8,5562375.0,1166277.2000000002,25690900000000.0,201903250.0,1024 16,pass
20,8,5562375.0,1166277.2000000002,32113400000000.0,252378250.0,1024 20,pass
21,8,5562375.0,1166277.2000000002,38536000000000.0,302853375.0,1024 24,pass
22,8,5562375.0,1166277.2000000002,44958600000000.0,353328500.0,1024 28,pass
23,8,5562375.0,1166277.2000000002,51381200000000.0,403803875.0,1024 32,pass
24,8,5562375.0,1166277.2000000002,57803700000000.0,454279250.0,1024 36,pass
25,8,5562375.0,1166277.2000000002,64226300000000.0,504754250.0,1024 40,pass
26,8,5562375.0,1166277.2000000002,70648900000000.0,555229375.0,1024 44,pass
27,8,5562375.0,1166277.2000000002,77071500000000.0,605704500.0,1024 48,pass
28,8,5562375.0,1166277.2000000002,25690900000000.0,201903250.0,1024 16,pass
29,8,5562375.0,1166277.2000000002,32113400000000.0,252378250.0,1024 20,pass
30,8,5562375.0,1166277.2000000002,38536000000000.0,302853375.0,1024 24,pass
31,8,5562375.0,1166277.2000000002,44958600000000.0,353328500.0,1024 28,pass
32,8,5562375.0,1166277.2000000002,51381200000000.0,403803875.0,1024 32,pass
33,8,5562375.0,1166277.2000000002,57803700000000.0,454279250.0,1024 36,pass
34,8,5562375.0,1166277.2000000002,64226300000000.0,504754250.0,1024 40,pass
35,8,5562375.0,1166277.2000000002,70648900000000.0,555229375.0,1024 44,pass
36,8,5562375.0,1166277.2000000002,77071500000000.0,605704500.0,1024 48,pass
37,8,5562375.0,1166277.2000000002,25690900000000.0,201903250.0,1024 16,pass
38,8,5562375.0,1166277.2000000002,32113400000000.0,252378250.0,1024 20,pass
39,8,5562375.0,1166277.2000000002,38536000000000.0,302853375.0,1024 24,pass
40,8,5562375.0,1166277.2000000002,44958600000000.0,353328500.0,1024 28,pass
41,8,5562375.0,1166277.2000000002,51381200000000.0,403803875.0,1024 32,pass
42,8,5562375.0,1166277.2000000002,57803700000000.0,454279250.0,1024 36,pass
43,8,5562375.0,1166277.2000000002,64226300000000.0,504754250.0,1024 40,pass
44,8,5562375.0,1166277.2000000002,70648900000000.0,555229375.0,1024 44,pass
45,8,5562375.0,1166277.2000000002,77071500000000.0,605704500.0,1024 48,pass
46,5,1600455.0,525707.2,25690900000000.0,201903400.0,1024 16,pass
47,5,1600455.0,525707.2,32113400000000.0,252378400.0,1024 20,pass
48,5,1600455.0,525707.2,38536000000000.0,302853600.0,1024 24,pass
49,5,1600455.0,525707.2,44958600000000.0,353328800.0,1024 28,pass
50,5,1600455.0,525707.2,51381200000000.0,403804000.0,1024 32,pass
51,5,1600455.0,525707.2,57803700000000.0,454279400.0,1024 36,pass
52,5,1600455.0,525707.2,64226300000000.0,504754400.0,1024 40,pass
53,5,1600455.0,525707.2,70648900000000.0,555229600.0,1024 44,pass
54,5,1600455.0,525707.2,77071500000000.0,605704800.0,1024 48,pass
55,0,0.0,0.0,25690900000000.0,,1024 16,fail
56,0,0.0,0.0,32113400000000.0,,1024 20,fail
57,0,0.0,0.0,38536000000000.0,,1024 24,fail
58,0,0.0,0.0,44958600000000.0,,1024 28,fail
59,0,0.0,0.0,51381200000000.0,,1024 32,fail
