DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,8,52577280.0,1244910.0,410461000000000.0,3225780000.0,4096 64,pass
1,8,52577280.0,1244910.0,25690900000000.0,201905250.0,1024 16,pass
2,8,52577280.0,1244910.0,32113400000000.0,252380250.0,1024 20,pass
3,8,52577280.0,1244910.0,38536000000000.0,302855375.0,1024 24,pass
4,8,52577280.0,1244910.0,44958600000000.0,353330500.0,1024 28,pass
5,8,52577280.0,1244910.0,51381200000000.0,403805875.0,1024 32,pass
6,8,52577280.0,1244910.0,57803700000000.0,454281250.0,1024 36,pass
7,8,52577280.0,1244910.0,64226300000000.0,504756250.0,1024 40,pass
8,8,52577280.0,1244910.0,70648900000000.0,555231375.0,1024 44,pass
9,8,52577280.0,1244910.0,77071500000000.0,605706500.0,1024 48,pass
10,8,52577280.0,1244910.0,25690900000000.0,201905250.0,1024 16,pass
11,8,52577280.0,1244910.0,32113400000000.0,252380250.0,1024 20,pass
12,8,52577280.0,1244910.0,38536000000000.0,302855375.0,1024 24,pass
13,8,52577280.0,1244910.0,44958600000000.0,353330500.0,1024 28,pass
14,8,52577280.0,1244910.0,51381200000000.0,403805875.0,1024 32,pass
15,8,52577280.0,1244910.0,57803700000000.0,454281250.0,1024 36,pass
16,8,52577280.0,1244910.0,64226300000000.0,504756250.0,1024 40,pass
17,8,52577280.0,1244910.0,70648900000000.0,555231375.0,1024 44,pass
18,8,52577280.0,1244910.0,77071500000000.0,605706500.0,1024 48,pass
19,8,52577280.0,1244910.0,25690900000000.0,201905250.0,1024 16,pass
20,8,52577280.0,1244910.0,32113400000000.0,252380250.0,1024 20,pass
21,8,52577280.0,1244910.0,38536000000000.0,302855375.0,1024 24,pass
22,8,52577280.0,1244910.0,44958600000000.0,353330500.0,1024 28,pass
23,8,52577280.0,1244910.0,51381200000000.0,403805875.0,1024 32,pass
24,8,52577280.0,1244910.0,57803700000000.0,454281250.0,1024 36,pass
25,8,52577280.0,1244910.0,64226300000000.0,504756250.0,1024 40,pass
26,8,52577280.0,1244910.0,70648900000000.0,555231375.0,1024 44,pass
