latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
1865663.0826199995,381035.967,102762000000000.0,807605000.0,0,63,1024 64,pass
40708.826615,17651.401,6459620000000.0,50766490.0,1,10,256 16,pass
40708.826615,17651.401,8074520000000.0,63457990.0,2,10,256 20,pass
40708.826615,17651.401,9689420000000.0,76149500.0,3,10,256 24,pass
40708.826615,17651.401,11304300000000.0,88841000.0,4,10,256 28,pass
40708.826615,17651.401,12919200000000.0,101532900.0,5,10,256 32,pass
40708.826615,17651.401,14534100000000.0,114224000.0,6,10,256 36,pass
40708.826615,17651.401,16149000000000.0,126916000.0,7,10,256 40,pass
40708.826615,17651.401,17763900000000.0,139607000.0,8,10,256 44,pass
40708.826615,17651.401,19378800000000.0,152299000.0,9,10,256 48,pass
40708.826615,17651.401,20993700000000.0,164990000.0,10,10,256 52,pass
40708.826615,17651.401,22608600000000.0,177682000.0,11,10,256 56,pass
31904.470054999994,14258.221,6459620000000.0,50766488.88888889,12,9,256 16,pass
31904.470054999994,14258.221,8074520000000.0,63457988.88888889,13,9,256 20,pass
31904.470054999994,14258.221,9689420000000.0,76149500.0,14,9,256 24,pass
31904.470054999994,14258.221,11304300000000.0,88841000.0,15,9,256 28,pass
31904.470054999994,14258.221,12919200000000.0,101532888.8888889,16,9,256 32,pass
31904.470054999994,14258.221,14534100000000.0,114224000.0,17,9,256 36,pass
31904.470054999994,14258.221,16149000000000.0,126916000.0,18,9,256 40,pass
31904.470054999994,14258.221,17763900000000.0,139607000.0,19,9,256 44,pass
31904.470054999994,14258.221,19378800000000.0,152299000.0,20,9,256 48,pass
31904.470054999994,14258.221,20993700000000.0,164990000.0,21,9,256 52,pass
31904.470054999994,14258.221,22608600000000.0,177682000.0,22,9,256 56,pass
14295.756935,7471.861,6459620000000.0,50766483.333333336,23,6,256 16,pass
14295.756935,7471.861,8074520000000.0,63457983.333333336,24,6,256 20,pass
14295.756935,7471.861,9689420000000.0,76149500.0,25,6,256 24,pass
14295.756935,7471.861,11304300000000.0,88841000.0,26,6,256 28,pass
14295.756935,7471.861,12919200000000.0,101532833.33333331,27,6,256 32,pass
14295.756935,7471.861,14534100000000.0,114224000.0,28,6,256 36,pass
14295.756935,7471.861,16149000000000.0,126916000.0,29,6,256 40,pass
14295.756935,7471.861,17763900000000.0,139607000.0,30,6,256 44,pass
14295.756935,7471.861,19378800000000.0,152299000.0,31,6,256 48,pass
14295.756935,7471.861,20993700000000.0,164990000.0,32,6,256 52,pass
14295.756935,7471.861,22608600000000.0,177682000.0,33,6,256 56,pass
6225.096754999999,3673.931000000001,6459620000000.0,50766475.0,34,4,256 16,fail
6225.096754999999,3673.931000000001,8074520000000.0,63457975.0,35,4,256 20,fail
6225.096754999999,3673.931000000001,9689420000000.0,76149500.0,36,4,256 24,fail
6225.096754999999,3673.931000000001,11304300000000.0,88841000.0,37,4,256 28,fail
6225.096754999999,3673.931000000001,12919200000000.0,101532750.0,38,4,256 32,fail
6225.096754999999,3673.931000000001,14534100000000.0,114224000.0,39,4,256 36,fail
6225.096754999999,3673.931000000001,16149000000000.0,126916000.0,40,4,256 40,fail
6225.096754999999,3673.931000000001,17763900000000.0,139607000.0,41,4,256 44,fail
6225.096754999999,3673.931000000001,19378800000000.0,152299000.0,42,4,256 48,fail
6225.096754999999,3673.931000000001,20993700000000.0,164990000.0,43,4,256 52,fail
6225.096754999999,3673.931000000001,22608600000000.0,177682000.0,44,4,256 56,fail
6225.096754999999,3673.931000000001,6459620000000.0,50766475.0,45,4,256 16,fail
6225.096754999999,3673.931000000001,8074520000000.0,63457975.0,46,4,256 20,fail
6225.096754999999,3673.931000000001,9689420000000.0,76149500.0,47,4,256 24,fail
6225.096754999999,3673.931000000001,11304300000000.0,88841000.0,48,4,256 28,fail
6225.096754999999,3673.931000000001,12919200000000.0,101532750.0,49,4,256 32,fail
6225.096754999999,3673.931000000001,14534100000000.0,114224000.0,50,4,256 36,fail
6225.096754999999,3673.931000000001,16149000000000.0,126916000.0,51,4,256 40,fail
6225.096754999999,3673.931000000001,17763900000000.0,139607000.0,52,4,256 44,fail
6225.096754999999,3673.931000000001,19378800000000.0,152299000.0,53,4,256 48,fail
6225.096754999999,3673.931000000001,20993700000000.0,164990000.0,54,4,256 52,fail
6225.096754999999,3673.931000000001,22608600000000.0,177682000.0,55,4,256 56,fail
4187.051254999999,2488.3010000000004,6459620000000.0,50766466.66666666,56,3,256 16,fail
4187.051254999999,2488.3010000000004,8074520000000.0,63457966.66666666,57,3,256 20,fail
4187.051254999999,2488.3010000000004,9689420000000.0,76149500.0,58,3,256 24,fail
4187.051254999999,2488.3010000000004,11304300000000.0,88841000.0,59,3,256 28,fail
4187.051254999999,2488.3010000000004,12919200000000.0,101532666.66666669,60,3,256 32,fail
4187.051254999999,2488.3010000000004,14534100000000.0,114224000.0,61,3,256 36,fail
4187.051254999999,2488.3010000000004,16149000000000.0,126916000.0,62,3,256 40,fail
4187.051254999999,2488.3010000000004,17763900000000.0,139607000.0,63,3,256 44,fail
4187.051254999999,2488.3010000000004,19378800000000.0,152299000.0,64,3,256 48,fail
4187.051254999999,2488.3010000000004,20993700000000.0,164990000.0,65,3,256 52,fail
4187.051254999999,2488.3010000000004,22608600000000.0,177682000.0,66,3,256 56,fail
4187.051254999999,2488.3010000000004,6459620000000.0,50766466.66666666,67,3,256 16,fail
4187.051254999999,2488.3010000000004,8074520000000.0,63457966.66666666,68,3,256 20,fail
4187.051254999999,2488.3010000000004,9689420000000.0,76149500.0,69,3,256 24,fail
4187.051254999999,2488.3010000000004,11304300000000.0,88841000.0,70,3,256 28,fail
4187.051254999999,2488.3010000000004,12919200000000.0,101532666.66666669,71,3,256 32,fail
4187.051254999999,2488.3010000000004,14534100000000.0,114224000.0,72,3,256 36,fail
4187.051254999999,2488.3010000000004,16149000000000.0,126916000.0,73,3,256 40,fail
4187.051254999999,2488.3010000000004,17763900000000.0,139607000.0,74,3,256 44,fail
4187.051254999999,2488.3010000000004,19378800000000.0,152299000.0,75,3,256 48,fail
4187.051254999999,2488.3010000000004,20993700000000.0,164990000.0,76,3,256 52,fail
4187.051254999999,2488.3010000000004,22608600000000.0,177682000.0,77,3,256 56,fail
2149.005755,1302.671,6459620000000.0,50766450.0,78,2,256 16,fail
2149.005755,1302.671,8074520000000.0,63457950.0,79,2,256 20,fail
2149.005755,1302.671,9689420000000.0,76149500.0,80,2,256 24,fail
2149.005755,1302.671,11304300000000.0,88841000.0,81,2,256 28,fail
2149.005755,1302.671,12919200000000.0,101532500.0,82,2,256 32,fail
2149.005755,1302.671,14534100000000.0,114224000.0,83,2,256 36,fail
2149.005755,1302.671,16149000000000.0,126916000.0,84,2,256 40,fail
2149.005755,1302.671,17763900000000.0,139607000.0,85,2,256 44,fail
2149.005755,1302.671,19378800000000.0,152299000.0,86,2,256 48,fail
2149.005755,1302.671,20993700000000.0,164990000.0,87,2,256 52,fail
2149.005755,1302.671,22608600000000.0,177682000.0,88,2,256 56,fail
110.960255,117.041,6459620000000.0,50766400.0,89,1,256 16,fail
110.960255,117.041,8074520000000.0,63457900.0,90,1,256 20,fail
110.960255,117.041,9689420000000.0,76149500.0,91,1,256 24,fail
110.960255,117.041,11304300000000.0,88841000.0,92,1,256 28,fail
110.960255,117.041,12919200000000.0,101532000.0,93,1,256 32,fail
110.960255,117.041,14534100000000.0,114224000.0,94,1,256 36,fail
110.960255,117.041,16149000000000.0,126916000.0,95,1,256 40,fail
110.960255,117.041,17763900000000.0,139607000.0,96,1,256 44,fail
110.960255,117.041,19378800000000.0,152299000.0,97,1,256 48,fail
110.960255,117.041,20993700000000.0,164990000.0,98,1,256 52,fail
110.960255,117.041,22608600000000.0,177682000.0,99,1,256 56,fail
110.960255,117.041,6459620000000.0,50766400.0,100,1,256 16,fail
110.960255,117.041,8074520000000.0,63457900.0,101,1,256 20,fail
110.960255,117.041,9689420000000.0,76149500.0,102,1,256 24,fail
110.960255,117.041,11304300000000.0,88841000.0,103,1,256 28,fail
110.960255,117.041,12919200000000.0,101532000.0,104,1,256 32,fail
110.960255,117.041,14534100000000.0,114224000.0,105,1,256 36,fail
110.960255,117.041,16149000000000.0,126916000.0,106,1,256 40,fail
110.960255,117.041,17763900000000.0,139607000.0,107,1,256 44,fail
110.960255,117.041,19378800000000.0,152299000.0,108,1,256 48,fail
110.960255,117.041,20993700000000.0,164990000.0,109,1,256 52,fail
110.960255,117.041,22608600000000.0,177682000.0,110,1,256 56,fail
110.960255,117.041,6459620000000.0,50766400.0,111,1,256 16,fail
110.960255,117.041,8074520000000.0,63457900.0,112,1,256 20,fail
110.960255,117.041,9689420000000.0,76149500.0,113,1,256 24,fail
110.960255,117.041,11304300000000.0,88841000.0,114,1,256 28,fail
110.960255,117.041,12919200000000.0,101532000.0,115,1,256 32,fail
110.960255,117.041,14534100000000.0,114224000.0,116,1,256 36,fail
110.960255,117.041,16149000000000.0,126916000.0,117,1,256 40,fail
110.960255,117.041,17763900000000.0,139607000.0,118,1,256 44,fail
110.960255,117.041,19378800000000.0,152299000.0,119,1,256 48,fail
110.960255,117.041,20993700000000.0,164990000.0,120,1,256 52,fail
110.960255,117.041,22608600000000.0,177682000.0,121,1,256 56,fail
110.960255,117.041,6459620000000.0,50766400.0,122,1,256 16,fail
110.960255,117.041,8074520000000.0,63457900.0,123,1,256 20,fail
110.960255,117.041,9689420000000.0,76149500.0,124,1,256 24,fail
110.960255,117.041,11304300000000.0,88841000.0,125,1,256 28,fail
110.960255,117.041,12919200000000.0,101532000.0,126,1,256 32,fail
110.960255,117.041,14534100000000.0,114224000.0,127,1,256 36,fail
110.960255,117.041,16149000000000.0,126916000.0,128,1,256 40,fail
110.960255,117.041,17763900000000.0,139607000.0,129,1,256 44,fail
110.960255,117.041,19378800000000.0,152299000.0,130,1,256 48,fail
110.960255,117.041,20993700000000.0,164990000.0,131,1,256 52,fail
110.960255,117.041,22608600000000.0,177682000.0,132,1,256 56,fail
110.960255,117.041,6459620000000.0,50766400.0,133,1,256 16,fail
110.960255,117.041,8074520000000.0,63457900.0,134,1,256 20,fail
110.960255,117.041,9689420000000.0,76149500.0,135,1,256 24,fail
110.960255,117.041,11304300000000.0,88841000.0,136,1,256 28,fail
110.960255,117.041,12919200000000.0,101532000.0,137,1,256 32,fail
110.960255,117.041,14534100000000.0,114224000.0,138,1,256 36,fail
110.960255,117.041,16149000000000.0,126916000.0,139,1,256 40,fail
110.960255,117.041,17763900000000.0,139607000.0,140,1,256 44,fail
110.960255,117.041,19378800000000.0,152299000.0,141,1,256 48,fail
110.960255,117.041,20993700000000.0,164990000.0,142,1,256 52,fail
110.960255,117.041,22608600000000.0,177682000.0,143,1,256 56,fail
110.960255,117.041,6459620000000.0,50766400.0,144,1,256 16,fail
110.960255,117.041,8074520000000.0,63457900.0,145,1,256 20,fail
110.960255,117.041,9689420000000.0,76149500.0,146,1,256 24,fail
110.960255,117.041,11304300000000.0,88841000.0,147,1,256 28,fail
110.960255,117.041,12919200000000.0,101532000.0,148,1,256 32,fail
110.960255,117.041,14534100000000.0,114224000.0,149,1,256 36,fail
110.960255,117.041,16149000000000.0,126916000.0,150,1,256 40,fail
110.960255,117.041,17763900000000.0,139607000.0,151,1,256 44,fail
110.960255,117.041,19378800000000.0,152299000.0,152,1,256 48,fail
110.960255,117.041,20993700000000.0,164990000.0,153,1,256 52,fail
110.960255,117.041,22608600000000.0,177682000.0,154,1,256 56,fail
110.960255,117.041,6459620000000.0,50766400.0,155,1,256 16,fail
110.960255,117.041,8074520000000.0,63457900.0,156,1,256 20,fail
110.960255,117.041,9689420000000.0,76149500.0,157,1,256 24,fail
110.960255,117.041,11304300000000.0,88841000.0,158,1,256 28,fail
110.960255,117.041,12919200000000.0,101532000.0,159,1,256 32,fail
110.960255,117.041,14534100000000.0,114224000.0,160,1,256 36,fail
110.960255,117.041,16149000000000.0,126916000.0,161,1,256 40,fail
110.960255,117.041,17763900000000.0,139607000.0,162,1,256 44,fail
110.960255,117.041,19378800000000.0,152299000.0,163,1,256 48,fail
110.960255,117.041,20993700000000.0,164990000.0,164,1,256 52,fail
110.960255,117.041,22608600000000.0,177682000.0,165,1,256 56,fail
110.960255,117.041,6459620000000.0,50766400.0,166,1,256 16,fail
110.960255,117.041,8074520000000.0,63457900.0,167,1,256 20,fail
110.960255,117.041,9689420000000.0,76149500.0,168,1,256 24,fail
110.960255,117.041,11304300000000.0,88841000.0,169,1,256 28,fail
110.960255,117.041,12919200000000.0,101532000.0,170,1,256 32,fail
110.960255,117.041,14534100000000.0,114224000.0,171,1,256 36,fail
110.960255,117.041,16149000000000.0,126916000.0,172,1,256 40,fail
110.960255,117.041,17763900000000.0,139607000.0,173,1,256 44,fail
110.960255,117.041,19378800000000.0,152299000.0,174,1,256 48,fail
110.960255,117.041,20993700000000.0,164990000.0,175,1,256 52,fail
110.960255,117.041,22608600000000.0,177682000.0,176,1,256 56,fail
110.960255,117.041,6459620000000.0,50766400.0,177,1,256 16,fail
110.960255,117.041,8074520000000.0,63457900.0,178,1,256 20,fail
110.960255,117.041,9689420000000.0,76149500.0,179,1,256 24,fail
110.960255,117.041,11304300000000.0,88841000.0,180,1,256 28,fail
110.960255,117.041,12919200000000.0,101532000.0,181,1,256 32,fail
110.960255,117.041,14534100000000.0,114224000.0,182,1,256 36,fail
110.960255,117.041,16149000000000.0,126916000.0,183,1,256 40,fail
110.960255,117.041,17763900000000.0,139607000.0,184,1,256 44,fail
110.960255,117.041,19378800000000.0,152299000.0,185,1,256 48,fail
110.960255,117.041,20993700000000.0,164990000.0,186,1,256 52,fail
110.960255,117.041,22608600000000.0,177682000.0,187,1,256 56,fail
110.960255,117.041,6459620000000.0,50766400.0,188,1,256 16,fail
110.960255,117.041,8074520000000.0,63457900.0,189,1,256 20,fail
110.960255,117.041,9689420000000.0,76149500.0,190,1,256 24,fail
