DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,192 4,6 12,20,43,1112670487,232882871954762112,48573,207967745,22906,1119802841,1214280000000,19182682450,pass
2,192 8,6 8,20,43,1112670487,232907812203654752,48573,207990017,22906,1119802841,2428530000000,19182682450,pass
3,192 4,7 12,18,45,651959596,279800809494678976,35403,211261897,18414,1324426279,1214280000000,20077211683,pass
4,192 8,7 8,18,45,651959596,280428396833937888,35403,211735753,18414,1324426279,2428530000000,20077211683,pass
5,192 4,8 12,15,48,242151621,341412164742534976,20823,216835492,11628,1574521592,1214280000000,21170525191,pass
6,192 8,8 8,15,48,242151621,342158261246503808,20823,217309348,11628,1574521592,2428530000000,21170525191,pass
7,192 4,9 12,13,50,94051440,372470578706113984,13111,220573861,7172,1688643321,1214280000000,21667485876,fail
8,192 8,9 8,13,50,94051440,373270752475694848,13111,221047717,7172,1688643321,2428530000000,21667485876,fail
9,192 4,10 12,13,50,94051440,372470578706113984,13111,220573861,7172,1688643321,1214280000000,21667485876,fail
10,192 8,10 8,13,50,94051440,373270752475694848,13111,221047717,7172,1688643321,2428530000000,21667485876,fail
11,192 4,11 12,12,51,65876005,402194288214662976,11002,221038888,5987,1819563478,1214280000000,23953505028,fail
12,192 8,11 8,12,51,65876005,403056499286564224,11002,221512744,5987,1819563478,2428530000000,23953505028,fail
13,192 4,12 12,11,52,42702447,432039760330288896,8893,221503914,4801,1950483636,1214280000000,26239524180,fail
14,192 8,12 8,11,52,42702447,432964008704510464,8893,221977770,4801,1950483636,2428530000000,26239524180,fail
15,192 4,13 12,10,53,24530765,462006995052991488,6783,221968940,3616,2081403794,1214280000000,28525543332,fail
16,192 8,13 8,10,53,24530765,462993280729533376,6783,222442796,3616,2081403794,2428530000000,28525543332,fail
17,192 4,14 12,0,63,0,479516805201665088,0,224771982,0,2133347757,1214280000000,29420072566,fail
18,192 8,14 8,0,63,0,482096969846720576,0,225981426,0,2133347757,2428530000000,29420072566,fail
19,192 4,15 12,0,63,0,479516805201665088,0,224771982,0,2133347757,1214280000000,29420072566,fail
20,192 8,15 8,0,63,0,482096969846720576,0,225981426,0,2133347757,2428530000000,29420072566,fail
21,192 4,16 12,0,63,0,479516805201665088,0,224771982,0,2133347757,1214280000000,29420072566,fail
22,192 8,16 8,0,63,0,482096969846720576,0,225981426,0,2133347757,2428530000000,29420072566,fail
23,192 4,17 12,0,63,0,479516805201665088,0,224771982,0,2133347757,1214280000000,29420072566,fail
24,192 8,17 8,0,63,0,482096969846720576,0,225981426,0,2133347757,2428530000000,29420072566,fail
25,192 4,18 12,0,63,0,479516805201665088,0,224771982,0,2133347757,1214280000000,29420072566,fail
26,192 8,18 8,0,63,0,482096969846720576,0,225981426,0,2133347757,2428530000000,29420072566,fail
27,192 4,19 12,0,63,0,479516805201665088,0,224771982,0,2133347757,1214280000000,29420072566,fail
28,192 8,19 8,0,63,0,482096969846720576,0,225981426,0,2133347757,2428530000000,29420072566,fail
29,192 4,20 12,0,63,0,479516805201665088,0,224771982,0,2133347757,1214280000000,29420072566,fail
30,192 8,20 8,0,63,0,482096969846720576,0,225981426,0,2133347757,2428530000000,29420072566,fail
31,192 4,21 12,0,63,0,479516805201665088,0,224771982,0,2133347757,1214280000000,29420072566,fail
32,192 8,21 8,0,63,0,482096969846720576,0,225981426,0,2133347757,2428530000000,29420072566,fail
33,192 4,22 12,0,63,0,479516805201665088,0,224771982,0,2133347757,1214280000000,29420072566,fail
34,192 8,22 8,0,63,0,482096969846720576,0,225981426,0,2133347757,2428530000000,29420072566,fail
35,192 4,23 12,0,63,0,479516805201665088,0,224771982,0,2133347757,1214280000000,29420072566,fail
36,192 8,23 8,0,63,0,482096969846720576,0,225981426,0,2133347757,2428530000000,29420072566,fail
37,192 4,24 12,0,63,0,479516805201665088,0,224771982,0,2133347757,1214280000000,29420072566,fail
38,192 8,24 8,0,63,0,482096969846720576,0,225981426,0,2133347757,2428530000000,29420072566,fail
39,704 4,6 12,17,46,329330653,237156354998072768,17820,213142402,18480,1112666236,4419630000000,19149551737,pass
40,704 8,6 8,17,46,329330653,237683598570139840,17820,213616258,18480,1112666236,8839010000000,19149551737,pass
41,704 4,7 12,15,48,180895122,277447523539662784,12960,216858132,13957,1279396445,4419630000000,19878427409,pass
42,704 8,7 8,15,48,180895122,278053773221536480,12960,217331988,13957,1279396445,8839010000000,19878427409,pass
43,704 4,8 12,14,49,111253630,324578888439933760,10530,218715997,10565,1484019883,4419630000000,20772956643,pass
44,704 8,8 8,14,49,111253630,325282100165660992,10530,219189853,10565,1484019883,8839010000000,20772956643,pass
45,704 4,9 12,11,52,33218691,374106914611735744,5160,221542885,6437,1688643321,4419630000000,21667485876,fail
46,704 8,9 8,11,52,33218691,375447238097735488,5160,222336613,6437,1688643321,8839010000000,21667485876,fail
47,704 4,10 12,11,52,33218691,374106914611735744,5160,221542885,6437,1688643321,4419630000000,21667485876,fail
48,704 8,10 8,11,52,33218691,375447238097735488,5160,222336613,6437,1688643321,8839010000000,21667485876,fail
49,704 4,11 12,10,53,22669380,403957488895329728,4316,222007912,5252,1819563478,4419630000000,23953505028,fail
50,704 8,11 8,10,53,22669380,405401727376383040,4316,222801640,5252,1819563478,8839010000000,23953505028,fail
51,704 4,12 12,9,54,14120820,433929825786000448,3472,222472938,4066,1950483636,4419630000000,26239524180,fail
52,704 8,12 8,9,54,14120820,435477979262107456,3472,223266666,4066,1950483636,8839010000000,26239524180,fail
53,704 4,13 12,8,55,7573010,464023925283747968,2628,222937964,2880,2081403794,4419630000000,28525543332,fail
54,704 8,13 8,8,55,7573010,465675993754908544,2628,223731692,2880,2081403794,8839010000000,28525543332,fail
55,704 4,14 12,0,63,0,479516805201665088,0,224771982,0,2133347757,4419630000000,29420072566,fail
56,704 8,14 8,0,63,0,482096969846720576,0,225981426,0,2133347757,8839010000000,29420072566,fail
57,704 4,15 12,0,63,0,479516805201665088,0,224771982,0,2133347757,4419630000000,29420072566,fail
58,704 8,15 8,0,63,0,482096969846720576,0,225981426,0,2133347757,8839010000000,29420072566,fail
59,704 4,16 12,0,63,0,479516805201665088,0,224771982,0,2133347757,4419630000000,29420072566,fail
60,704 8,16 8,0,63,0,482096969846720576,0,225981426,0,2133347757,8839010000000,29420072566,fail
61,704 4,17 12,0,63,0,479516805201665088,0,224771982,0,2133347757,4419630000000,29420072566,fail
62,704 8,17 8,0,63,0,482096969846720576,0,225981426,0,2133347757,8839010000000,29420072566,fail
63,704 4,18 12,0,63,0,479516805201665088,0,224771982,0,2133347757,4419630000000,29420072566,fail
64,704 8,18 8,0,63,0,482096969846720576,0,225981426,0,2133347757,8839010000000,29420072566,fail
65,704 4,19 12,0,63,0,479516805201665088,0,224771982,0,2133347757,4419630000000,29420072566,fail
66,704 8,19 8,0,63,0,482096969846720576,0,225981426,0,2133347757,8839010000000,29420072566,fail
67,704 4,20 12,0,63,0,479516805201665088,0,224771982,0,2133347757,4419630000000,29420072566,fail
68,704 8,20 8,0,63,0,482096969846720576,0,225981426,0,2133347757,8839010000000,29420072566,fail
69,704 4,21 12,0,63,0,479516805201665088,0,224771982,0,2133347757,4419630000000,29420072566,fail
70,704 8,21 8,0,63,0,482096969846720576,0,225981426,0,2133347757,8839010000000,29420072566,fail
71,704 4,22 12,0,63,0,479516805201665088,0,224771982,0,2133347757,4419630000000,29420072566,fail
72,704 8,22 8,0,63,0,482096969846720576,0,225981426,0,2133347757,8839010000000,29420072566,fail
73,704 4,23 12,0,63,0,479516805201665088,0,224771982,0,2133347757,4419630000000,29420072566,fail
74,704 8,23 8,0,63,0,482096969846720576,0,225981426,0,2133347757,8839010000000,29420072566,fail
75,704 4,24 12,0,63,0,479516805201665088,0,224771982,0,2133347757,4419630000000,29420072566,fail
76,704 8,24 8,0,63,0,482096969846720576,0,225981426,0,2133347757,8839010000000,29420072566,fail
