DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,63,224167260.69564432,29420072566.30082,12159.589269055636,2133347757.362454,24 16,pass
1,43,207967745.0896856,19182682450.324524,7834.064977102417,1119802841.8028572,6 12,pass
2,43,207990017.0896856,19182682450.324524,7834.064977102417,1119802841.8028572,6 8,pass
3,45,211261897.8905368,20077211683.759342,8212.023410379883,1324426279.8379996,7 12,pass
4,45,211735753.8905368,20077211683.759342,8212.023410379883,1324426279.8379996,7 8,pass
5,48,216835492.2930905,21170525191.29079,8673.972606607897,1574521592.9920623,8 12,pass
6,48,217309348.2930905,21170525191.29079,8673.972606607897,1574521592.9920623,8 8,pass
7,50,220573861.8947931,21667485876.53236,8883.949513984266,1688643321.1373472,9 12,fail
8,50,221047717.8947931,21667485876.53236,8883.949513984266,1688643321.1373472,9 8,fail
9,50,220573861.8947931,21667485876.53236,8883.949513984266,1688643321.1373472,10 12,fail
10,50,221047717.8947931,21667485876.53236,8883.949513984266,1688643321.1373472,10 8,fail
11,51,221038888.0950059,23953505028.64357,9849.843287915568,1819563478.991958,11 12,fail
12,51,221512744.0950059,23953505028.64357,9849.843287915568,1819563478.991958,11 8,fail
13,52,221503914.2952187,26239524180.754784,10815.73706184687,1950483636.8465688,12 12,fail
14,52,221977770.2952187,26239524180.754784,10815.73706184687,1950483636.8465688,12 8,fail
15,53,221968940.4954315,28525543332.866,11781.63083577817,2081403794.7011795,13 12,fail
16,53,222442796.4954315,28525543332.866,11781.63083577817,2081403794.7011795,13 8,fail
17,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 12,fail
18,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 8,fail
19,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,15 12,fail
20,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,15 8,fail
21,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,16 12,fail
22,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,16 8,fail
23,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,17 12,fail
24,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,17 8,fail
25,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,18 12,fail
26,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,18 8,fail
27,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,19 12,fail
28,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,19 8,fail
29,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,20 12,fail
30,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,20 8,fail
31,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,21 12,fail
32,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,21 8,fail
33,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,22 12,fail
34,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,22 8,fail
35,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,23 12,fail
36,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,23 8,fail
37,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,24 12,fail
38,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,24 8,fail
39,46,213142402.69138807,19149551737.975086,7820.066516610659,1112666236.297687,6 12,pass
40,46,213616258.69138807,19149551737.975086,7820.066516610659,1112666236.297687,6 8,pass
41,48,216858132.2930905,19878427409.66272,8128.032647429335,1279396445.0670624,7 12,pass
42,48,217331988.2930905,19878427409.66272,8128.032647429335,1279396445.0670624,7 8,pass
43,49,218715997.09394184,20772956643.09754,8505.9910807068,1484019883.1022048,8 12,pass
44,49,219189853.09394184,20772956643.09754,8505.9910807068,1484019883.1022048,8 8,pass
45,52,221542885.8947931,21667485876.53236,8883.949513984266,1688643321.1373472,9 12,fail
46,52,222336613.8947931,21667485876.53236,8883.949513984266,1688643321.1373472,9 8,fail
47,52,221542885.8947931,21667485876.53236,8883.949513984266,1688643321.1373472,10 12,fail
48,52,222336613.8947931,21667485876.53236,8883.949513984266,1688643321.1373472,10 8,fail
49,53,222007912.0950059,23953505028.64357,9849.843287915568,1819563478.991958,11 12,fail
50,53,222801640.0950059,23953505028.64357,9849.843287915568,1819563478.991958,11 8,fail
51,54,222472938.2952187,26239524180.754784,10815.73706184687,1950483636.8465688,12 12,fail
52,54,223266666.2952187,26239524180.754784,10815.73706184687,1950483636.8465688,12 8,fail
53,55,222937964.4954315,28525543332.866,11781.63083577817,2081403794.7011795,13 12,fail
54,55,223731692.4954315,28525543332.866,11781.63083577817,2081403794.7011795,13 8,fail
55,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 12,fail
56,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 8,fail
57,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,15 12,fail
58,63,225981426.69564432,29420072566.30082,12159.589269055636,2133347757.362454,15 8,fail
59,63,224771982.69564432,29420072566.30082,12159.589269055636,2133347757.362454,16 12,fail
