DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,20,43,1083644973.2193751,2.3284546158142317e+17,47308,207934337,22906,1119802841,6459620000000,19182682450,pass
2,256 20,6 44,20,43,1083644973.2193751,2.3284659522910013e+17,47308,207935349,22906,1119802841,8074520000000,19182682450,pass
3,256 24,6 40,20,43,1083644973.2193751,2.3284795560631245e+17,47308,207936564,22906,1119802841,9689420000000,19182682450,pass
4,256 28,6 36,20,43,1083644973.2193751,2.3284961828957194e+17,47308,207938049,22906,1119802841,11304300000000,19182682450,pass
5,256 32,6 32,20,43,1083644973.2193751,2.3285169664364634e+17,47308,207939905,22906,1119802841,12919200000000,19182682450,pass
6,256 36,6 28,20,43,1083644973.2193751,2.328543688131705e+17,47308,207942291,22906,1119802841,14534100000000,19182682450,pass
7,256 40,6 24,20,43,1083644973.2193751,2.3285793170586947e+17,47308,207945473,22906,1119802841,16149000000000,19182682450,pass
8,256 44,6 20,20,43,1083644973.2193751,2.32862919755648e+17,47308,207949927,22906,1119802841,17763900000000,19182682450,pass
9,256 48,6 16,20,43,1083644973.2193751,2.328704018303158e+17,47308,207956609,22906,1119802841,19378800000000,19182682450,pass
10,256 16,7 48,18,45,628628548.629375,2.788594284857906e+17,34138,210551113,18414,1324426279,6459620000000,20077211683,pass
11,256 20,7 44,18,45,628628548.629375,2.7888795518302963e+17,34138,210572652,18414,1324426279,8074520000000,20077211683,pass
12,256 24,7 40,18,45,628628548.629375,2.789221872197165e+17,34138,210598499,18414,1324426279,9689420000000,20077211683,pass
13,256 28,7 36,18,45,628628548.629375,2.7896402637566707e+17,34138,210630089,18414,1324426279,11304300000000,20077211683,pass
14,256 32,7 32,18,45,628628548.629375,2.790163253206053e+17,34138,210669577,18414,1324426279,12919200000000,20077211683,pass
15,256 36,7 28,18,45,628628548.629375,2.7908356682124026e+17,34138,210720348,18414,1324426279,14534100000000,20077211683,pass
16,256 40,7 24,18,45,628628548.629375,2.7917322215542006e+17,34138,210788041,18414,1324426279,16149000000000,20077211683,pass
17,256 44,7 20,18,45,628628548.629375,2.7929873962327187e+17,34138,210882813,18414,1324426279,17763900000000,20077211683,pass
18,256 48,7 16,18,45,628628548.629375,2.794870158250495e+17,34138,211024969,18414,1324426279,19378800000000,20077211683,pass
19,256 16,8 48,15,48,227420058.59437492,3.402930199865817e+17,19558,216124708,11627,1574521592,6459620000000,21170525191,pass
20,256 20,8 44,15,48,227420058.59437492,3.403269334640349e+17,19558,216146247,11627,1574521592,8074520000000,21170525191,pass
21,256 24,8 40,15,48,227420058.59437492,3.403676296369786e+17,19558,216172093,11627,1574521592,9689420000000,21170525191,pass
22,256 28,8 36,15,48,227420058.59437492,3.404173694039099e+17,19558,216203684,11627,1574521592,11304300000000,21170525191,pass
23,256 32,8 32,15,48,227420058.59437492,3.4047954411257395e+17,19558,216243172,11627,1574521592,12919200000000,21170525191,pass
24,256 36,8 28,15,48,227420058.59437492,3.4055948302371354e+17,19558,216293942,11627,1574521592,14534100000000,21170525191,pass
25,256 40,8 24,15,48,227420058.59437492,3.4066606823856614e+17,19558,216361636,11627,1574521592,16149000000000,21170525191,pass
26,256 44,8 20,15,48,227420058.59437492,3.4081528753935994e+17,19558,216456407,11627,1574521592,17763900000000,21170525191,pass
27,256 48,8 16,15,48,227420058.59437492,3.410391164905506e+17,19558,216598564,11627,1574521592,19378800000000,21170525191,pass
28,256 16,9 48,12,51,56505753.19125001,3.835097302343045e+17,10023,220333524,5637,1740587283,6459620000000,22562015109,fail
29,256 20,9 44,12,51,56505753.19125001,3.8354722058557504e+17,10023,220355063,5637,1740587283,8074520000000,22562015109,fail
30,256 24,9 40,12,51,56505753.19125001,3.835922090070997e+17,10023,220380909,5637,1740587283,9689420000000,22562015109,fail
31,256 28,9 36,12,51,56505753.19125001,3.836471948556298e+17,10023,220412500,5637,1740587283,11304300000000,22562015109,fail
32,256 32,9 32,12,51,56505753.19125001,3.837159271662925e+17,10023,220451988,5637,1740587283,12919200000000,22562015109,fail
33,256 36,9 28,12,51,56505753.19125001,3.838042972800016e+17,10023,220502758,5637,1740587283,14534100000000,22562015109,fail
34,256 40,9 24,12,51,56505753.19125001,3.839221240982804e+17,10023,220570452,5637,1740587283,16149000000000,22562015109,fail
35,256 44,9 20,12,51,56505753.19125001,3.8408708164387066e+17,10023,220665223,5637,1740587283,17763900000000,22562015109,fail
36,256 48,9 16,12,51,56505753.19125001,3.843345179622562e+17,10023,220807380,5637,1740587283,19378800000000,22562015109,fail
37,256 16,10 48,12,51,56505753.19125001,3.835097302343045e+17,10023,220333524,5637,1740587283,6459620000000,22562015109,fail
38,256 20,10 44,12,51,56505753.19125001,3.8354722058557504e+17,10023,220355063,5637,1740587283,8074520000000,22562015109,fail
39,256 24,10 40,12,51,56505753.19125001,3.835922090070997e+17,10023,220380909,5637,1740587283,9689420000000,22562015109,fail
40,256 28,10 36,12,51,56505753.19125001,3.836471948556298e+17,10023,220412500,5637,1740587283,11304300000000,22562015109,fail
41,256 32,10 32,12,51,56505753.19125001,3.837159271662925e+17,10023,220451988,5637,1740587283,12919200000000,22562015109,fail
42,256 36,10 28,12,51,56505753.19125001,3.838042972800016e+17,10023,220502758,5637,1740587283,14534100000000,22562015109,fail
43,256 40,10 24,12,51,56505753.19125001,3.839221240982804e+17,10023,220570452,5637,1740587283,16149000000000,22562015109,fail
44,256 44,10 20,12,51,56505753.19125001,3.8408708164387066e+17,10023,220665223,5637,1740587283,17763900000000,22562015109,fail
45,256 48,10 16,12,51,56505753.19125001,3.843345179622562e+17,10023,220807380,5637,1740587283,19378800000000,22562015109,fail
46,256 16,11 48,11,52,37109292.041250005,4.132261299837474e+17,8336,220798550,4451,1871507441,6459620000000,24848034262,fail
47,256 20,11 44,11,52,37109292.041250005,4.1326644021239616e+17,8336,220820089,4451,1871507441,8074520000000,24848034262,fail
48,256 24,11 40,11,52,37109292.041250005,4.133148124867746e+17,8336,220845935,4451,1871507441,9689420000000,24848034262,fail
49,256 28,11 36,11,52,37109292.041250005,4.133739341554594e+17,8336,220877526,4451,1871507441,11304300000000,24848034262,fail
50,256 32,11 32,11,52,37109292.041250005,4.134478362413154e+17,8336,220917014,4451,1871507441,12919200000000,24848034262,fail
51,256 36,11 28,11,52,37109292.041250005,4.135428532088446e+17,8336,220967784,4451,1871507441,14534100000000,24848034262,fail
52,256 40,11 24,11,52,37109292.041250005,4.1366954249888346e+17,8336,221035478,4451,1871507441,16149000000000,24848034262,fail
53,256 44,11 20,11,52,37109292.041250005,4.138469075049378e+17,8336,221130249,4451,1871507441,17763900000000,24848034262,fail
54,256 48,11 16,11,52,37109292.041250005,4.1411295501401946e+17,8336,221272406,4451,1871507441,19378800000000,24848034262,fail
55,256 16,12 48,11,52,37109292.041250005,4.132261299837474e+17,8336,220798550,4451,1871507441,6459620000000,24848034262,fail
