latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
222806636.1956443,29420138882.86182,12159.602000202136,2133347757.3624527,0,63,24 64,pass
211751517.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,1,53,6 48,pass
211805958.0723549,19315271616.28328,7890.071550215949,1150559465.5634542,2,53,6 44,pass
211871286.2905368,19315271616.28328,7890.071550215949,1150559465.5634542,3,53,6 40,pass
211951131.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,4,53,6 36,pass
212050938.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,5,53,6 32,pass
212179262.17625108,19315271616.28328,7890.071550215949,1150559465.5634542,6,53,6 28,pass
212350359.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,7,53,6 24,pass
212589896.6905368,19315271616.28328,7890.071550215949,1150559465.5634542,8,53,6 20,pass
212949201.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,9,53,6 16,pass
213548043.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,10,53,6 12,pass
214745727.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,11,53,6 8,pass
213609382.691388,20209800849.718098,8268.029983493416,1355182903.5985966,12,54,7 48,pass
213663822.87320617,20209800849.718098,8268.029983493416,1355182903.5985966,13,54,7 44,pass
213729151.091388,20209800849.718098,8268.029983493416,1355182903.5985966,14,54,7 40,pass
213808996.691388,20209800849.718098,8268.029983493416,1355182903.5985966,15,54,7 36,pass
213908803.691388,20209800849.718098,8268.029983493416,1355182903.5985966,16,54,7 32,pass
214037126.9771023,20209800849.718098,8268.029983493416,1355182903.5985966,17,54,7 28,pass
214208224.691388,20209800849.718098,8268.029983493416,1355182903.5985966,18,54,7 24,pass
214447761.491388,20209800849.718098,8268.029983493416,1355182903.5985966,19,54,7 20,pass
214807066.691388,20209800849.718098,8268.029983493416,1355182903.5985966,20,54,7 16,pass
215405908.691388,20209800849.718098,8268.029983493416,1355182903.5985966,21,54,7 12,pass
216603592.691388,20209800849.718098,8268.029983493416,1355182903.5985966,22,54,7 8,pass
219182977.0939418,21303114357.249542,8729.97917972143,1605278216.752659,23,57,8 48,pass
219237417.27576,21303114357.249542,8729.97917972143,1605278216.752659,24,57,8 44,pass
219302745.4939418,21303114357.249542,8729.97917972143,1605278216.752659,25,57,8 40,pass
219382591.0939418,21303114357.249542,8729.97917972143,1605278216.752659,26,57,8 36,pass
219482398.0939418,21303114357.249542,8729.97917972143,1605278216.752659,27,57,8 32,pass
219610721.3796561,21303114357.249542,8729.97917972143,1605278216.752659,28,57,8 28,pass
219781819.0939418,21303114357.249542,8729.97917972143,1605278216.752659,29,57,8 24,pass
220021355.8939418,21303114357.249542,8729.97917972143,1605278216.752659,30,57,8 20,pass
220380661.0939418,21303114357.249542,8729.97917972143,1605278216.752659,31,57,8 16,pass
220979503.0939418,21303114357.249542,8729.97917972143,1605278216.752659,32,57,8 12,pass
222177187.0939418,21303114357.249542,8729.97917972143,1605278216.752659,33,57,8 8,pass
221511288.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,34,59,9 48,fail
221565728.2768241,22562081426.528187,9261.920678408233,1740587283.7986214,35,59,9 44,fail
221631056.49500588,22562081426.528187,9261.920678408233,1740587283.7986214,36,59,9 40,fail
221710902.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,37,59,9 36,fail
221810709.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,38,59,9 32,fail
221939032.38072017,22562081426.528187,9261.920678408233,1740587283.7986214,39,59,9 28,fail
222110130.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,40,59,9 24,fail
222349666.89500585,22562081426.528187,9261.920678408233,1740587283.7986214,41,59,9 20,fail
222708972.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,42,59,9 16,fail
223307814.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,43,59,9 12,fail
224505498.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,44,59,9 8,fail
221511288.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,45,59,10 48,fail
221565728.2768241,22562081426.528187,9261.920678408233,1740587283.7986214,46,59,10 44,fail
221631056.49500588,22562081426.528187,9261.920678408233,1740587283.7986214,47,59,10 40,fail
221710902.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,48,59,10 36,fail
221810709.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,49,59,10 32,fail
221939032.38072017,22562081426.528187,9261.920678408233,1740587283.7986214,50,59,10 28,fail
222110130.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,51,59,10 24,fail
222349666.89500585,22562081426.528187,9261.920678408233,1740587283.7986214,52,59,10 20,fail
222708972.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,53,59,10 16,fail
223307814.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,54,59,10 12,fail
224505498.09500587,22562081426.528187,9261.920678408233,1740587283.7986214,55,59,10 8,fail
221976314.29521868,24848100578.6394,10227.814452339531,1871507441.653232,56,60,11 48,fail
