latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
49973708.99416,2897883.105,102762000000000.0,807605000.0,0,63,1024 64,pass
882464.6435199999,13631.923,6459620000000.0,50766490.0,1,10,256 16,pass
882464.6435199999,13631.923,8074520000000.0,63457990.0,2,10,256 20,pass
882464.6435199999,13631.923,9689420000000.0,76149500.0,3,10,256 24,pass
882464.6435199999,13631.923,11304300000000.0,88841000.0,4,10,256 28,pass
882464.6435199999,13631.923,12919200000000.0,101532900.0,5,10,256 32,pass
882464.6435199999,13631.923,14534100000000.0,114224000.0,6,10,256 36,pass
882464.6435199999,13631.923,16149000000000.0,126916000.0,7,10,256 40,pass
882464.6435199999,13631.923,17763900000000.0,139607000.0,8,10,256 44,pass
882464.6435199999,13631.923,19378800000000.0,152299000.0,9,10,256 48,pass
882464.6435199999,13631.923,20993700000000.0,164990000.0,10,10,256 52,pass
882464.6435199999,13631.923,22608600000000.0,177682000.0,11,10,256 56,pass
741594.9385599999,11103.963,6459620000000.0,50766488.88888889,12,9,256 16,pass
741594.9385599999,11103.963,8074520000000.0,63457988.88888889,13,9,256 20,pass
741594.9385599999,11103.963,9689420000000.0,76149500.0,14,9,256 24,pass
741594.9385599999,11103.963,11304300000000.0,88841000.0,15,9,256 28,pass
741594.9385599999,11103.963,12919200000000.0,101532888.8888889,16,9,256 32,pass
741594.9385599999,11103.963,14534100000000.0,114224000.0,17,9,256 36,pass
741594.9385599999,11103.963,16149000000000.0,126916000.0,18,9,256 40,pass
741594.9385599999,11103.963,17763900000000.0,139607000.0,19,9,256 44,pass
741594.9385599999,11103.963,19378800000000.0,152299000.0,20,9,256 48,pass
741594.9385599999,11103.963,20993700000000.0,164990000.0,21,9,256 52,pass
741594.9385599999,11103.963,22608600000000.0,177682000.0,22,9,256 56,pass
459855.52864,6047.732999999999,6459620000000.0,50766483.333333336,23,6,256 16,pass
459855.52864,6047.732999999999,8074520000000.0,63457983.333333336,24,6,256 20,pass
459855.52864,6047.732999999999,9689420000000.0,76149500.0,25,6,256 24,pass
459855.52864,6047.732999999999,11304300000000.0,88841000.0,26,6,256 28,pass
459855.52864,6047.732999999999,12919200000000.0,101532833.33333331,27,6,256 32,pass
459855.52864,6047.732999999999,14534100000000.0,114224000.0,28,6,256 36,pass
459855.52864,6047.732999999999,16149000000000.0,126916000.0,29,6,256 40,pass
459855.52864,6047.732999999999,17763900000000.0,139607000.0,30,6,256 44,pass
459855.52864,6047.732999999999,19378800000000.0,152299000.0,31,6,256 48,pass
459855.52864,6047.732999999999,20993700000000.0,164990000.0,32,6,256 52,pass
459855.52864,6047.732999999999,22608600000000.0,177682000.0,33,6,256 56,pass
643768.7545599999,10200.451,6459620000000.0,50766487.5,34,8,256 16,pass
643768.7545599999,10200.451,8074520000000.0,63457987.5,35,8,256 20,pass
643768.7545599999,10200.451,9689420000000.0,76149500.0,36,8,256 24,pass
643768.7545599999,10200.451,11304300000000.0,88841000.0,37,8,256 28,pass
643768.7545599999,10200.451,12919200000000.0,101532875.0,38,8,256 32,pass
643768.7545599999,10200.451,14534100000000.0,114224000.0,39,8,256 36,pass
643768.7545599999,10200.451,16149000000000.0,126916000.0,40,8,256 40,pass
643768.7545599999,10200.451,17763900000000.0,139607000.0,41,8,256 44,pass
643768.7545599999,10200.451,19378800000000.0,152299000.0,42,8,256 48,pass
643768.7545599999,10200.451,20993700000000.0,164990000.0,43,8,256 52,pass
643768.7545599999,10200.451,22608600000000.0,177682000.0,44,8,256 56,pass
318985.82368,5514.590999999999,6459620000000.0,50766480.0,45,5,256 16,fail
318985.82368,5514.590999999999,8074520000000.0,63457980.0,46,5,256 20,fail
318985.82368,5514.590999999999,9689420000000.0,76149500.0,47,5,256 24,fail
318985.82368,5514.590999999999,11304300000000.0,88841000.0,48,5,256 28,fail
318985.82368,5514.590999999999,12919200000000.0,101532800.0,49,5,256 32,fail
318985.82368,5514.590999999999,14534100000000.0,114224000.0,50,5,256 36,fail
318985.82368,5514.590999999999,16149000000000.0,126916000.0,51,5,256 40,fail
318985.82368,5514.590999999999,17763900000000.0,139607000.0,52,5,256 44,fail
318985.82368,5514.590999999999,19378800000000.0,152299000.0,53,5,256 48,fail
