DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,26,37,165440192423.55002,9.761057260304245e+16,1281390,140402318,129109,695220517,6459620000000,18718852477,pass
2,256 20,6 44,26,37,165440192423.55002,9.761127641901344e+16,1281390,140403331,129109,695220517,8074520000000,18718852477,pass
3,256 24,6 40,26,37,165440192423.55002,9.761212099817862e+16,1281390,140404545,129109,695220517,9689420000000,18718852477,pass
4,256 28,6 36,26,37,165440192423.55002,9.761315326160272e+16,1281390,140406030,129109,695220517,11304300000000,18718852477,pass
5,256 32,6 32,26,37,165440192423.55002,9.761444359088285e+16,1281390,140407886,129109,695220517,12919200000000,18718852477,pass
6,256 36,6 28,26,37,165440192423.55002,9.76161025856716e+16,1281390,140410272,129109,695220517,14534100000000,18718852477,pass
7,256 40,6 24,26,37,165440192423.55002,9.761831457872325e+16,1281390,140413454,129109,695220517,16149000000000,18718852477,pass
8,256 44,6 20,26,37,165440192423.55002,9.762141136899558e+16,1281390,140417909,129109,695220517,17763900000000,18718852477,pass
9,256 48,6 16,26,37,165440192423.55002,9.762605655440405e+16,1281390,140424590,129109,695220517,19378800000000,18718852477,pass
10,256 16,7 48,21,42,26478286679.249996,2.2477582664609066e+17,799650,185083877,33112,1214453842,6459620000000,19944688834,pass
11,256 20,7 44,21,42,26478286679.249996,2.247770561149988e+17,799650,185084890,33112,1214453842,8074520000000,19944688834,pass
12,256 24,7 40,21,42,26478286679.249996,2.2477853147768848e+17,799650,185086105,33112,1214453842,9689420000000,19944688834,pass
13,256 28,7 36,21,42,26478286679.249996,2.2478033469875357e+17,799650,185087589,33112,1214453842,11304300000000,19944688834,pass
14,256 32,7 32,21,42,26478286679.249996,2.2478258872508502e+17,799650,185089445,33112,1214453842,12919200000000,19944688834,pass
15,256 36,7 28,21,42,26478286679.249996,2.247854867589398e+17,799650,185091832,33112,1214453842,14534100000000,19944688834,pass
