DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,63,222806636.19564432,29420072566.30082,12159.589269055636,2133347757.362454,24 64,pass
1,37,140402318.64882362,18718852477.432392,7663.37144243532,695220517.313446,6 48,pass
2,37,140403331.01246,18718852477.432392,7663.37144243532,695220517.313446,6 44,pass
3,37,140404545.84882364,18718852477.432392,7663.37144243532,695220517.313446,6 40,pass
4,37,140406030.64882362,18718852477.432392,7663.37144243532,695220517.313446,6 36,pass
5,37,140407886.64882362,18718852477.432392,7663.37144243532,695220517.313446,6 32,pass
6,37,140410272.93453792,18718852477.432392,7663.37144243532,695220517.313446,6 28,pass
7,37,140413454.64882362,18718852477.432392,7663.37144243532,695220517.313446,6 24,pass
8,37,140417909.04882362,18718852477.432392,7663.37144243532,695220517.313446,6 20,pass
9,37,140424590.64882362,18718852477.432392,7663.37144243532,695220517.313446,6 16,pass
10,42,185083877.8735105,19944688834.361595,8165.947531638641,1214453842.380082,7 48,pass
11,42,185084890.2371469,19944688834.361595,8165.947531638641,1214453842.380082,7 44,pass
12,42,185086105.07351056,19944688834.361595,8165.947531638641,1214453842.380082,7 40,pass
13,42,185087589.8735105,19944688834.361595,8165.947531638641,1214453842.380082,7 36,pass
14,42,185089445.8735105,19944688834.361595,8165.947531638641,1214453842.380082,7 32,pass
15,42,185091832.15922484,19944688834.361595,8165.947531638641,1214453842.380082,7 28,pass
16,42,185095013.8735105,19944688834.361595,8165.947531638641,1214453842.380082,7 24,pass
17,42,185099468.2735105,19944688834.361595,8165.947531638641,1214453842.380082,7 20,pass
18,42,185106149.8735105,19944688834.361595,8165.947531638641,1214453842.380082,7 16,pass
19,42,185083877.8735105,19944688834.361595,8165.947531638641,1214453842.380082,8 48,pass
20,42,185084890.2371469,19944688834.361595,8165.947531638641,1214453842.380082,8 44,pass
21,42,185086105.07351056,19944688834.361595,8165.947531638641,1214453842.380082,8 40,pass
22,42,185087589.8735105,19944688834.361595,8165.947531638641,1214453842.380082,8 36,pass
23,42,185089445.8735105,19944688834.361595,8165.947531638641,1214453842.380082,8 32,pass
24,42,185091832.15922484,19944688834.361595,8165.947531638641,1214453842.380082,8 28,pass
25,42,185095013.8735105,19944688834.361595,8165.947531638641,1214453842.380082,8 24,pass
26,42,185099468.2735105,19944688834.361595,8165.947531638641,1214453842.380082,8 20,pass
27,42,185106149.8735105,19944688834.361595,8165.947531638641,1214453842.380082,8 16,pass
28,43,185548904.0737233,22230707986.472805,9131.841305569942,1345374000.2346928,9 48,pass
29,43,185549916.4373597,22230707986.472805,9131.841305569942,1345374000.2346928,9 44,pass
30,43,185551131.27372336,22230707986.472805,9131.841305569942,1345374000.2346928,9 40,pass
31,43,185552616.0737233,22230707986.472805,9131.841305569942,1345374000.2346928,9 36,pass
