latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
4795810.91686,1588201.53,102762000000000.0,807605000.0,0,63,1024 64,pass
1784748.14728,447498.58,6459620000000.0,50766430.55555555,1,36,256 16,pass
1784748.14728,447498.58,8074520000000.0,63457930.55555555,2,36,256 20,pass
1784748.14728,447498.58,9689420000000.0,76149500.0,3,36,256 24,pass
1784748.14728,447498.58,11304300000000.0,88841000.0,4,36,256 28,pass
1784748.14728,447498.58,12919200000000.0,101532305.55555557,5,36,256 32,pass
1784748.14728,447498.58,14534100000000.0,114224000.0,6,36,256 36,pass
1784748.14728,447498.58,16149000000000.0,126916000.0,7,36,256 40,pass
1784748.14728,447498.58,17763900000000.0,139607000.0,8,36,256 44,pass
1784748.14728,447498.58,19378800000000.0,152299000.0,9,36,256 48,pass
1784748.14728,447498.58,20993700000000.0,164990000.0,10,36,256 52,pass
1784748.14728,447498.58,22608600000000.0,177682000.0,11,36,256 56,pass
1431740.55072,361905.038,6459620000000.0,50766429.03225806,12,31,256 16,pass
1431740.55072,361905.038,8074520000000.0,63457929.03225806,13,31,256 20,pass
1431740.55072,361905.038,9689420000000.0,76149500.0,14,31,256 24,pass
1431740.55072,361905.038,11304300000000.0,88841000.0,15,31,256 28,pass
1431740.55072,361905.038,12919200000000.0,101532290.32258064,16,31,256 32,pass
1431740.55072,361905.038,14534100000000.0,114224000.0,17,31,256 36,pass
1431740.55072,361905.038,16149000000000.0,126916000.0,18,31,256 40,pass
1431740.55072,361905.038,17763900000000.0,139607000.0,19,31,256 44,pass
1431740.55072,361905.038,19378800000000.0,152299000.0,20,31,256 48,pass
1431740.55072,361905.038,20993700000000.0,164990000.0,21,31,256 52,pass
1431740.55072,361905.038,22608600000000.0,177682000.0,22,31,256 56,pass
1225472.23016,384329.452,6459620000000.0,50766422.222222224,23,27,256 16,pass
1225472.23016,384329.452,8074520000000.0,63457922.222222224,24,27,256 20,pass
1225472.23016,384329.452,9689420000000.0,76149500.0,25,27,256 24,pass
1225472.23016,384329.452,11304300000000.0,88841000.0,26,27,256 28,pass
