DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,44,19,2786189534499.0015,5.701300143730465e+16,2516430,87309741,1107199,652997027,6459620000000,18122499655,pass
2,256 20,6 44,44,19,2786189534499.0015,5.701366250774989e+16,2516430,87310753,1107199,652997027,8074520000000,18122499655,pass
3,256 24,6 40,44,19,2786189534499.0015,5.701445579228418e+16,2516430,87311968,1107199,652997027,9689420000000,18122499655,pass
4,256 28,6 36,44,19,2786189534499.0015,5.7015425362270536e+16,2516430,87313453,1107199,652997027,11304300000000,18122499655,pass
5,256 32,6 32,44,19,2786189534499.0015,5.701663732475348e+16,2516430,87315309,1107199,652997027,12919200000000,18122499655,pass
6,256 36,6 28,44,19,2786189534499.0015,5.7018195562231544e+16,2516430,87317695,1107199,652997027,14534100000000,18122499655,pass
7,256 40,6 24,44,19,2786189534499.0015,5.70202732122023e+16,2516430,87320877,1107199,652997027,16149000000000,18122499655,pass
8,256 44,6 20,44,19,2786189534499.0015,5.702318192216138e+16,2516430,87325331,1107199,652997027,17763900000000,18122499655,pass
9,256 48,6 16,44,19,2786189534499.0015,5.702754498709997e+16,2516430,87332013,1107199,652997027,19378800000000,18122499655,pass
10,256 16,7 48,30,33,564350741793.3,1.933797365157341e+17,1224930,161017824,460720,1200983410,6459620000000,19646512423,pass
11,256 20,7 44,30,33,564350741793.3,1.9338095234766688e+17,1224930,161018837,460720,1200983410,8074520000000,19646512423,pass
12,256 24,7 40,30,33,564350741793.3,1.933824113459862e+17,1224930,161020052,460720,1200983410,9689420000000,19646512423,pass
13,256 28,7 36,30,33,564350741793.3,1.9338419456615424e+17,1224930,161021536,460720,1200983410,11304300000000,19646512423,pass
14,256 32,7 32,30,33,564350741793.3,1.933864235913643e+17,1224930,161023392,460720,1200983410,12919200000000,19646512423,pass
15,256 36,7 28,30,33,564350741793.3,1.933892894809201e+17,1224930,161025779,460720,1200983410,14534100000000,19646512423,pass
16,256 40,7 24,30,33,564350741793.3,1.9339311066699446e+17,1224930,161028960,460720,1200983410,16149000000000,19646512423,pass
17,256 44,7 20,30,33,564350741793.3,1.9339846032749862e+17,1224930,161033415,460720,1200983410,17763900000000,19646512423,pass
