latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
222806636.1956443,29420138882.86182,12159.602000202136,2133347757.3624527,0,63,24 64,pass
211692815.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,1,53,6 48,pass
211744369.5269004,19315271616.28328,7890.071550215949,1150559465.5634542,2,53,6 44,pass
211806233.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,3,53,6 40,pass
211881845.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,4,53,6 36,pass
211976360.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,5,53,6 32,pass
212097880.17625105,19315271616.28328,7890.071550215949,1150559465.5634542,6,53,6 28,pass
212259905.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,7,53,6 24,pass
212486741.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,8,53,6 20,pass
212826995.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,9,53,6 16,pass
213394085.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,10,53,6 12,pass
214528265.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,11,53,6 8,pass
213550680.691388,20209800849.718098,8268.029983493416,1355182903.5985966,12,54,7 48,pass
213602234.3277516,20209800849.718098,8268.029983493416,1355182903.5985966,13,54,7 44,pass
213664098.691388,20209800849.718098,8268.029983493416,1355182903.5985966,14,54,7 40,pass
213739710.691388,20209800849.718098,8268.029983493416,1355182903.5985966,15,54,7 36,pass
213834225.691388,20209800849.718098,8268.029983493416,1355182903.5985966,16,54,7 32,pass
213955744.9771023,20209800849.718098,8268.029983493416,1355182903.5985966,17,54,7 28,pass
214117770.691388,20209800849.718098,8268.029983493416,1355182903.5985966,18,54,7 24,pass
214344606.691388,20209800849.718098,8268.029983493416,1355182903.5985966,19,54,7 20,pass
214684860.691388,20209800849.718098,8268.029983493416,1355182903.5985966,20,54,7 16,pass
215251950.691388,20209800849.718098,8268.029983493416,1355182903.5985966,21,54,7 12,pass
216386130.691388,20209800849.718098,8268.029983493416,1355182903.5985966,22,54,7 8,pass
219124275.0939418,21303114357.249542,8729.97917972143,1605278216.752659,23,57,8 48,pass
219175828.73030543,21303114357.249542,8729.97917972143,1605278216.752659,24,57,8 44,pass
219237693.0939418,21303114357.249542,8729.97917972143,1605278216.752659,25,57,8 40,pass
219313305.0939418,21303114357.249542,8729.97917972143,1605278216.752659,26,57,8 36,pass
219407820.0939418,21303114357.249542,8729.97917972143,1605278216.752659,27,57,8 32,pass
219529339.3796561,21303114357.249542,8729.97917972143,1605278216.752659,28,57,8 28,pass
219691365.0939418,21303114357.249542,8729.97917972143,1605278216.752659,29,57,8 24,pass
219918201.0939417,21303114357.249542,8729.97917972143,1605278216.752659,30,57,8 20,pass
220258455.0939418,21303114357.249542,8729.97917972143,1605278216.752659,31,57,8 16,pass
220825545.0939418,21303114357.249542,8729.97917972143,1605278216.752659,32,57,8 12,pass
221959725.0939418,21303114357.249542,8729.97917972143,1605278216.752659,33,57,8 8,pass
214015706.8916008,22495820001.829308,9233.923757424716,1486103061.453207,34,55,9 48,pass
214067260.5279644,22495820001.829308,9233.923757424716,1486103061.453207,35,55,9 44,pass
214129124.8916008,22495820001.829308,9233.923757424716,1486103061.453207,36,55,9 40,pass
214204736.8916008,22495820001.829308,9233.923757424716,1486103061.453207,37,55,9 36,pass
214299251.8916008,22495820001.829308,9233.923757424716,1486103061.453207,38,55,9 32,pass
214420771.17731512,22495820001.829308,9233.923757424716,1486103061.453207,39,55,9 28,pass
214582796.8916008,22495820001.829308,9233.923757424716,1486103061.453207,40,55,9 24,pass
214809632.8916008,22495820001.829308,9233.923757424716,1486103061.453207,41,55,9 20,pass
215149886.8916008,22495820001.829308,9233.923757424716,1486103061.453207,42,55,9 16,pass
215716976.8916008,22495820001.829308,9233.923757424716,1486103061.453207,43,55,9 12,pass
216851156.8916008,22495820001.829308,9233.923757424716,1486103061.453207,44,55,9 8,pass
219566661.2941546,23821048495.806824,9793.862177095036,1788806855.231361,45,58,10 48,fail
219618214.93051824,23821048495.806824,9793.862177095036,1788806855.231361,46,58,10 44,fail
219680079.2941546,23821048495.806824,9793.862177095036,1788806855.231361,47,58,10 40,fail
219755691.2941546,23821048495.806824,9793.862177095036,1788806855.231361,48,58,10 36,fail
219850206.2941546,23821048495.806824,9793.862177095036,1788806855.231361,49,58,10 32,fail
219971725.5798689,23821048495.806824,9793.862177095036,1788806855.231361,50,58,10 28,fail
220133751.2941546,23821048495.806824,9793.862177095036,1788806855.231361,51,58,10 24,fail
220360587.2941546,23821048495.806824,9793.862177095036,1788806855.231361,52,58,10 20,fail
220700841.2941546,23821048495.806824,9793.862177095036,1788806855.231361,53,58,10 16,fail
221267931.2941546,23821048495.806824,9793.862177095036,1788806855.231361,54,58,10 12,fail
222402111.2941546,23821048495.806824,9793.862177095036,1788806855.231361,55,58,10 8,fail
205939980.7337268,25212538414.48321,10436.39716619941,1745855415.9976366,56,45,11 48,pass
205967934.1882721,25212538414.48321,10436.39716619941,1745855415.9976366,57,45,11 44,pass
206001478.3337268,25212538414.48321,10436.39716619941,1745855415.9976366,58,45,11 40,pass
206042476.7337268,25212538414.48321,10436.39716619941,1745855415.9976366,59,45,11 36,pass
206093724.7337268,25212538414.48321,10436.39716619941,1745855415.9976366,60,45,11 32,pass
206159615.01944104,25212538414.48321,10436.39716619941,1745855415.9976366,61,45,11 28,pass
206247468.7337268,25212538414.48321,10436.39716619941,1745855415.9976366,62,45,11 24,pass
206370463.9337267,25212538414.48321,10436.39716619941,1745855415.9976366,63,45,11 20,pass
206554956.7337268,25212538414.48321,10436.39716619941,1745855415.9976366,64,45,11 16,pass
206862444.7337268,25212538414.48321,10436.39716619941,1745855415.9976366,65,45,11 12,pass
207477420.7337268,25212538414.48321,10436.39716619941,1745855415.9976366,66,45,11 8,pass
213065254.4911752,26935335456.653984,11109.717463320289,1717186753.4018316,67,56,12 48,fail
213116808.12753883,26935335456.653984,11109.717463320289,1717186753.4018316,68,56,12 44,fail
213178672.4911752,26935335456.653984,11109.717463320289,1717186753.4018316,69,56,12 40,fail
213254284.4911752,26935335456.653984,11109.717463320289,1717186753.4018316,70,56,12 36,fail
213348799.4911752,26935335456.653984,11109.717463320289,1717186753.4018316,71,56,12 32,fail
213470318.7768895,26935335456.653984,11109.717463320289,1717186753.4018316,72,56,12 28,fail
213632344.4911752,26935335456.653984,11109.717463320289,1717186753.4018316,73,56,12 24,fail
213859180.4911752,26935335456.653984,11109.717463320289,1717186753.4018316,74,56,12 20,fail
214199434.4911752,26935335456.653984,11109.717463320289,1717186753.4018316,75,56,12 16,fail
214766524.4911752,26935335456.653984,11109.717463320289,1717186753.4018316,76,56,12 12,fail
215900704.4911752,26935335456.653984,11109.717463320289,1717186753.4018316,77,56,12 8,fail
222377218.49543148,28525609649.427,11781.643566924671,2081403794.701179,78,61,13 48,fail
222428772.1317951,28525609649.427,11781.643566924671,2081403794.701179,79,61,13 44,fail
222490636.49543148,28525609649.427,11781.643566924671,2081403794.701179,80,61,13 40,fail
222566248.49543148,28525609649.427,11781.643566924671,2081403794.701179,81,61,13 36,fail
222660763.49543148,28525609649.427,11781.643566924671,2081403794.701179,82,61,13 32,fail
222782282.7811457,28525609649.427,11781.643566924671,2081403794.701179,83,61,13 28,fail
222944308.49543148,28525609649.427,11781.643566924671,2081403794.701179,84,61,13 24,fail
223171144.49543145,28525609649.427,11781.643566924671,2081403794.701179,85,61,13 20,fail
223511398.49543148,28525609649.427,11781.643566924671,2081403794.701179,86,61,13 16,fail
224078488.49543148,28525609649.427,11781.643566924671,2081403794.701179,87,61,13 12,fail
225212668.49543148,28525609649.427,11781.643566924671,2081403794.701179,88,61,13 8,fail
222847664.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,89,62,14 48,fail
222899218.3320079,29420138882.86182,12159.602000202136,2133347757.3624527,90,62,14 44,fail
222961082.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,91,62,14 40,fail
223036694.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,92,62,14 36,fail
223131209.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,93,62,14 32,fail
223252728.98135865,29420138882.86182,12159.602000202136,2133347757.3624527,94,62,14 28,fail
223414754.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,95,62,14 24,fail
223641590.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,96,62,14 20,fail
223981844.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,97,62,14 16,fail
224548934.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,98,62,14 12,fail
225683114.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,99,62,14 8,fail
222847664.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,100,62,15 48,fail
222899218.3320079,29420138882.86182,12159.602000202136,2133347757.3624527,101,62,15 44,fail
222961082.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,102,62,15 40,fail
223036694.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,103,62,15 36,fail
223131209.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,104,62,15 32,fail
223252728.98135865,29420138882.86182,12159.602000202136,2133347757.3624527,105,62,15 28,fail
223414754.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,106,62,15 24,fail
223641590.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,107,62,15 20,fail
223981844.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,108,62,15 16,fail
224548934.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,109,62,15 12,fail
225683114.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,110,62,15 8,fail
222847664.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,111,62,16 48,fail
222899218.3320079,29420138882.86182,12159.602000202136,2133347757.3624527,112,62,16 44,fail
222961082.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,113,62,16 40,fail
223036694.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,114,62,16 36,fail
223131209.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,115,62,16 32,fail
223252728.98135865,29420138882.86182,12159.602000202136,2133347757.3624527,116,62,16 28,fail
223414754.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,117,62,16 24,fail
223641590.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,118,62,16 20,fail
223981844.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,119,62,16 16,fail
224548934.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,120,62,16 12,fail
225683114.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,121,62,16 8,fail
222847664.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,122,62,17 48,fail
222899218.3320079,29420138882.86182,12159.602000202136,2133347757.3624527,123,62,17 44,fail
222961082.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,124,62,17 40,fail
223036694.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,125,62,17 36,fail
223131209.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,126,62,17 32,fail
223252728.98135865,29420138882.86182,12159.602000202136,2133347757.3624527,127,62,17 28,fail
223414754.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,128,62,17 24,fail
223641590.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,129,62,17 20,fail
223981844.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,130,62,17 16,fail
224548934.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,131,62,17 12,fail
225683114.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,132,62,17 8,fail
222847664.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,133,62,18 48,fail
222899218.3320079,29420138882.86182,12159.602000202136,2133347757.3624527,134,62,18 44,fail
222961082.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,135,62,18 40,fail
223036694.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,136,62,18 36,fail
223131209.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,137,62,18 32,fail
223252728.98135865,29420138882.86182,12159.602000202136,2133347757.3624527,138,62,18 28,fail
223414754.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,139,62,18 24,fail
223641590.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,140,62,18 20,fail
223981844.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,141,62,18 16,fail
224548934.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,142,62,18 12,fail
225683114.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,143,62,18 8,fail
222847664.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,144,62,19 48,fail
222899218.3320079,29420138882.86182,12159.602000202136,2133347757.3624527,145,62,19 44,fail
222961082.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,146,62,19 40,fail
223036694.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,147,62,19 36,fail
223131209.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,148,62,19 32,fail
223252728.98135865,29420138882.86182,12159.602000202136,2133347757.3624527,149,62,19 28,fail
223414754.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,150,62,19 24,fail
223641590.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,151,62,19 20,fail
223981844.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,152,62,19 16,fail
224548934.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,153,62,19 12,fail
225683114.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,154,62,19 8,fail
222847664.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,155,62,20 48,fail
222899218.3320079,29420138882.86182,12159.602000202136,2133347757.3624527,156,62,20 44,fail
222961082.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,157,62,20 40,fail
223036694.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,158,62,20 36,fail
223131209.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,159,62,20 32,fail
223252728.98135865,29420138882.86182,12159.602000202136,2133347757.3624527,160,62,20 28,fail
223414754.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,161,62,20 24,fail
223641590.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,162,62,20 20,fail
223981844.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,163,62,20 16,fail
224548934.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,164,62,20 12,fail
225683114.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,165,62,20 8,fail
222847664.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,166,62,21 48,fail
222899218.3320079,29420138882.86182,12159.602000202136,2133347757.3624527,167,62,21 44,fail
222961082.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,168,62,21 40,fail
223036694.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,169,62,21 36,fail
223131209.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,170,62,21 32,fail
223252728.98135865,29420138882.86182,12159.602000202136,2133347757.3624527,171,62,21 28,fail
223414754.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,172,62,21 24,fail
223641590.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,173,62,21 20,fail
223981844.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,174,62,21 16,fail
224548934.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,175,62,21 12,fail
225683114.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,176,62,21 8,fail
222847664.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,177,62,22 48,fail
222899218.3320079,29420138882.86182,12159.602000202136,2133347757.3624527,178,62,22 44,fail
222961082.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,179,62,22 40,fail
223036694.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,180,62,22 36,fail
223131209.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,181,62,22 32,fail
223252728.98135865,29420138882.86182,12159.602000202136,2133347757.3624527,182,62,22 28,fail
223414754.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,183,62,22 24,fail
223641590.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,184,62,22 20,fail
223981844.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,185,62,22 16,fail
224548934.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,186,62,22 12,fail
225683114.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,187,62,22 8,fail
222847664.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,188,62,23 48,fail
222899218.3320079,29420138882.86182,12159.602000202136,2133347757.3624527,189,62,23 44,fail
222961082.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,190,62,23 40,fail
223036694.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,191,62,23 36,fail
223131209.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,192,62,23 32,fail
223252728.98135865,29420138882.86182,12159.602000202136,2133347757.3624527,193,62,23 28,fail
223414754.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,194,62,23 24,fail
223641590.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,195,62,23 20,fail
223981844.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,196,62,23 16,fail
224548934.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,197,62,23 12,fail
225683114.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,198,62,23 8,fail
222847664.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,199,62,24 48,fail
222899218.3320079,29420138882.86182,12159.602000202136,2133347757.3624527,200,62,24 44,fail
222961082.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,201,62,24 40,fail
223036694.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,202,62,24 36,fail
223131209.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,203,62,24 32,fail
223252728.98135865,29420138882.86182,12159.602000202136,2133347757.3624527,204,62,24 28,fail
223414754.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,205,62,24 24,fail
223641590.6956443,29420138882.86182,12159.602000202136,2133347757.3624527,206,62,24 20,fail
223981844.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,207,62,24 16,fail
224548934.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,208,62,24 12,fail
225683114.69564432,29420138882.86182,12159.602000202136,2133347757.3624527,209,62,24 8,fail
211692815.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,210,53,6 48,pass
211744369.5269004,19315271616.28328,7890.071550215949,1150559465.5634542,211,53,6 44,pass
211806233.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,212,53,6 40,pass
211881845.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,213,53,6 36,pass
211976360.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,214,53,6 32,pass
212097880.17625105,19315271616.28328,7890.071550215949,1150559465.5634542,215,53,6 28,pass
212259905.8905368,19315271616.28328,7890.071550215949,1150559465.5634542,216,53,6 24,pass
