Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
mobilenet_v2,L0,704,332667,5199.73,32,6.15417e+06,8.83901e+12,6.94652e+07,36,2.01144,36,1,36,670,54,1,1,150528,864,2.04729e+12,10645344,860.499,131.155,2.3115,6.94642e+07,10645344, 668277, 668277, 150528, 15.9295, 10645344, 864, 864, 864, 12321, 10645344, 10645344, 1577088, 394272, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 32, 16.5
mobilenet_v2,L1,704,108900,14231.8,32,2.24849e+06,8.83901e+12,6.94652e+07,64,10.8631,64,1,64,1214,54,1,1,401408,288,2.44861e+11,3484800,860.499,131.155,4.1883,6.94642e+07,3484800, 1182720, 1182720, 401408, 2.94643, 3484800, 288, 288, 288, 12100, 3484800, 3484800, 387200, 375100, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 32, 3
mobilenet_v2,L2,704,25088,11861,256,2.15834e+07,8.83901e+12,6.94651e+07,384,32.0191,384,1,384,790,6,1,1,401408,512,5.41484e+11,6422528,860.499,14.5728,2.7255,6.94642e+07,6422528, 802784, 802784, 401408, 8.00032, 6422528, 512, 512, 512, 12544, 6422528, 6422528, 200704, 200704, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 256, 11
mobilenet_v2,L3,704,112896,23994.8,170.667,7.11264e+06,8.83901e+12,6.94651e+07,192,16.0125,192,1,192,406,6,1,1,200704,1536,8.02989e+11,19267584,860.499,14.5728,1.4007,6.94642e+07,19267584, 1806208, 1806208, 200704, 10.6674, 19267584, 1536, 1536, 1536, 12544, 19267584, 19267584, 1204224, 1204224, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 170.667, 11
mobilenet_v2,L4,704,27225,18637,96,5.15105e+06,8.83901e+12,6.94652e+07,192,64.6136,192,1,192,3646,54,1,1,1204224,864,1.40237e+11,2613600,860.499,131.155,12.5787,6.94642e+07,2613600, 1758240, 1758240, 1204224, 1.48649, 2613600, 864, 864, 864, 3025, 2613600, 2613600, 1161600, 287375, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 96, 1.5
mobilenet_v2,L5,704,18816,11829.1,384,3.24623e+07,8.83901e+12,6.94651e+07,768,64.1565,768,1,768,1558,6,1,1,301056,2304,6.1081e+11,7225344,860.499,14.5728,5.3751,6.94642e+07,7225344, 1204096, 1204096, 301056, 6.00064, 7225344, 3072, 3072, 2304, 2352, 7225344, 7225344, 75264, 150528, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 512, 11
mobilenet_v2,L6,704,43904,18427.4,246.857,1.33962e+07,8.83901e+12,6.94651e+07,288,24.0716,288,1,288,598,6,1,1,75264,3456,5.88147e+11,10838016,860.499,14.5728,2.0631,6.94642e+07,10838016, 1053384, 1053384, 75264, 10.2888, 10838016, 3456, 3456, 3456, 3136, 10838016, 10838016, 451584, 451584, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 246.857, 11
mobilenet_v2,L7,704,26244,15666.8,144,9.19141e+06,8.83901e+12,6.94652e+07,288,49.8272,288,1,288,5470,54,1,1,451584,1296,2.41219e+11,3779136,860.499,131.155,18.8715,6.94642e+07,3779136, 1306368, 1306368, 451584, 2.89286, 3779136, 1296, 1296, 1296, 2916, 3779136, 3779136, 419904, 416988, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 144, 3
mobilenet_v2,L8,704,28224,17011.3,384,2.25732e+07,8.83901e+12,6.94651e+07,768,64.1587,768,1,768,1558,6,1,1,451584,3456,6.37106e+11,10838016,860.499,14.5728,5.3751,6.94642e+07,10838016, 1806208, 1806208, 451584, 6.00043, 10838016, 4608, 4608, 3456, 2352, 10838016, 10838016, 75264, 225792, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 512, 11
mobilenet_v2,L9,704,3136,1098.66,24,2.18448e+07,8.83901e+12,6.94651e+07,48,24.0077,48,1,48,142,6,1,1,75264,24,6.85053e+10,75264,860.499,14.5728,0.4899,6.94642e+07,75264, 75264, 75264, 75264, 1, 75264, 24, 24, 24, 3136, 75264, 75264, 75264, 72128, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 24, 1
