Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
mobilenet_v2,L0,1024,31968,47624.6,555,1.16536e+07,8.99166e+13,7.06655e+08,261,221.599,261,1,261,6918,54,1,1,150528,864,3.72543e+11,17742240,1251.64,190.771,23.8671,7.06653e+08,17742240, 7049257, 7049257, 150528, 2.5169, 17742240, 864, 864, 864, 20535, 17742240, 17742240, 1577088, 3924960, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 336, 2.48507
mobilenet_v2,L1,1024,31680,14188.5,110,7.75275e+06,8.99166e+13,7.06655e+08,111,36.6991,111,1,111,2218,54,1,1,401408,288,2.45607e+11,3484800,1251.64,190.771,7.6521,7.06653e+08,3484800, 1162353, 1162353, 401408, 2.99806, 3484800, 288, 288, 288, 12100, 3484800, 3484800, 387200, 387200, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 110, 3
mobilenet_v2,L2,1024,7168,62464.1,896,1.43442e+07,8.99166e+13,7.06655e+08,897,896,897,1,897,3586,6,1,1,401408,512,1.0282e+11,6422528,1251.64,21.1968,12.3717,7.06653e+08,6422528, 6405120, 6405120, 401408, 1.00272, 6422528, 512, 512, 512, 12544, 6422528, 6422528, 200704, 6422528, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 1
mobilenet_v2,L3,1024,21504,177802,896,5.0393e+06,8.99166e+13,7.06655e+08,897,896,897,1,897,3586,6,1,1,200704,1536,1.08365e+11,19267584,1251.64,21.1968,12.3717,7.06653e+08,19267584, 19170944, 19170944, 200704, 1.00504, 19267584, 1536, 1536, 1536, 12544, 19267584, 19267584, 1204224, 19267584, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 896, 1
mobilenet_v2,L4,1024,47520,19896.6,55,2.76429e+06,8.99166e+13,7.06655e+08,56,37.1366,56,1,56,1238,54,1,1,1204224,864,1.31359e+11,2613600,1251.64,190.771,4.2711,7.06653e+08,2613600, 1763877, 1763877, 1204224, 1.48174, 2613600, 864, 864, 864, 3025, 2613600, 2613600, 1161600, 575520, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 56, 1.48204
mobilenet_v2,L5,1024,16128,67760.9,448,6.61148e+06,8.99166e+13,7.06655e+08,449,448,449,1,449,1794,6,1,1,301056,2304,1.0663e+11,7225344,1251.64,21.1968,6.1893,7.06653e+08,7225344, 7196800, 7196800, 301056, 1.00397, 7225344, 2304, 2304, 2304, 3136, 7225344, 7225344, 75264, 7225344, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 1
mobilenet_v2,L6,1024,24192,106693,448,4.19895e+06,8.99166e+13,7.06655e+08,449,448,449,1,449,1794,6,1,1,75264,3456,1.01581e+11,10838016,1251.64,21.1968,6.1893,7.06653e+08,10838016, 10747456, 10747456, 75264, 1.00843, 10838016, 3456, 3456, 3456, 3136, 10838016, 10838016, 451584, 10838016, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 1
mobilenet_v2,L7,1024,69984,15465.1,54,3.49174e+06,8.99166e+13,7.06655e+08,55,18.0292,55,1,55,1098,54,1,1,451584,1296,2.44366e+11,3779136,1251.64,190.771,3.7881,7.06653e+08,3779136, 1260465, 1260465, 451584, 2.99821, 3779136, 1296, 1296, 1296, 2916, 3779136, 3779136, 419904, 419904, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 3
mobilenet_v2,L8,1024,24192,100909,448,4.43963e+06,8.99166e+13,7.06655e+08,449,448,449,1,449,1794,6,1,1,451584,3456,1.07403e+11,10838016,1251.64,21.1968,6.1893,7.06653e+08,10838016, 10800256, 10800256, 451584, 1.0035, 10838016, 3456, 3456, 3456, 3136, 10838016, 10838016, 75264, 10838016, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 448, 1
mobilenet_v2,L9,1024,1344,1111.97,56,5.03608e+07,8.99166e+13,7.06655e+08,57,56.0007,57,1,57,226,6,1,1,75264,24,6.7685e+10,75264,1251.64,21.1968,0.7797,7.06653e+08,75264, 75241, 75241, 75264, 1.00031, 75264, 24, 24, 24, 3136, 75264, 75264, 75264, 75264, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
