DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
1,1024 16,3 48,41,22,31705908000.121872,9.15517644706025e+16,25690900000000.0,pass
2,1024 20,3 44,41,22,31705908000.121872,9.15517644706025e+16,32113400000000.0,pass
3,1024 24,3 40,41,22,31705908000.121872,9.15517644706025e+16,38536000000000.0,pass
4,1024 28,3 36,41,22,31705908000.121872,9.15517644706025e+16,44958600000000.0,pass
5,1024 32,3 32,41,22,31705908000.121872,9.15517644706025e+16,51381200000000.0,pass
6,1024 36,3 28,41,22,31705908000.121872,9.15517644706025e+16,57803700000000.0,pass
7,1024 40,3 24,41,22,31705908000.121872,9.15517644706025e+16,64226300000000.0,pass
8,1024 44,3 20,41,22,31705908000.121872,9.15517644706025e+16,70648900000000.0,pass
9,1024 48,3 16,41,22,31705908000.121872,9.15517644706025e+16,77071500000000.0,pass
10,1024 16,4 48,25,38,4082290124.0025,1.8161647080389907e+17,25690900000000.0,pass
11,1024 20,4 44,25,38,4082290124.0025,1.8161647080389907e+17,32113400000000.0,pass
12,1024 24,4 40,25,38,4082290124.0025,1.8161647080389907e+17,38536000000000.0,pass
13,1024 28,4 36,25,38,4082290124.0025,1.8161647080389907e+17,44958600000000.0,pass
14,1024 32,4 32,25,38,4082290124.0025,1.8161647080389907e+17,51381200000000.0,pass
15,1024 36,4 28,25,38,4082290124.0025,1.8161647080389907e+17,57803700000000.0,pass
16,1024 40,4 24,25,38,4082290124.0025,1.8161647080389907e+17,64226300000000.0,pass
17,1024 44,4 20,25,38,4082290124.0025,1.8161647080389907e+17,70648900000000.0,pass
18,1024 48,4 16,25,38,4082290124.0025,1.8161647080389907e+17,77071500000000.0,pass
19,1024 16,5 48,19,44,1361521341.365625,2.12594750576193e+17,25690900000000.0,pass
20,1024 20,5 44,19,44,1361521341.365625,2.126154764684312e+17,32113400000000.0,pass
21,1024 24,5 40,19,44,1361521341.365625,2.1264034753911712e+17,38536000000000.0,pass
22,1024 28,5 36,19,44,1361521341.365625,2.1267074551439994e+17,44958600000000.0,pass
23,1024 32,5 32,19,44,1361521341.365625,2.1270874298350342e+17,51381200000000.0,pass
24,1024 36,5 28,19,44,1361521341.365625,2.1275759687235075e+17,57803700000000.0,pass
25,1024 40,5 24,19,44,1361521341.365625,2.1282273539081386e+17,64226300000000.0,pass
26,1024 44,5 20,19,44,1361521341.365625,2.1291392931666218e+17,70648900000000.0,pass
27,1024 48,5 16,19,44,1361521341.365625,2.1305072020543472e+17,77071500000000.0,pass
28,1024 16,6 48,17,46,976976386.520625,2.520711294676563e+17,25690900000000.0,pass
29,1024 20,6 44,17,46,976976386.520625,2.520952777551035e+17,32113400000000.0,pass
30,1024 24,6 40,17,46,976976386.520625,2.5212425570004016e+17,38536000000000.0,pass
31,1024 28,6 36,17,46,976976386.520625,2.5215967318829606e+17,44958600000000.0,pass
32,1024 32,6 32,17,46,976976386.520625,2.5220394504861594e+17,51381200000000.0,pass
33,1024 36,6 28,17,46,976976386.520625,2.5226086601188438e+17,57803700000000.0,pass
34,1024 40,6 24,17,46,976976386.520625,2.523367606295756e+17,64226300000000.0,pass
35,1024 44,6 20,17,46,976976386.520625,2.5244301309434336e+17,70648900000000.0,pass
36,1024 48,6 16,17,46,976976386.520625,2.5260239179149494e+17,77071500000000.0,pass
37,1024 16,7 48,16,47,801190244.0981249,2.7227396219255472e+17,25690900000000.0,pass
38,1024 20,7 44,16,47,801190244.0981249,2.722998216776064e+17,32113400000000.0,pass
39,1024 24,7 40,16,47,801190244.0981249,2.7233085305966838e+17,38536000000000.0,pass
40,1024 28,7 36,16,47,801190244.0981249,2.723687803044109e+17,44958600000000.0,pass
41,1024 32,7 32,16,47,801190244.0981249,2.7241618936033898e+17,51381200000000.0,pass
42,1024 36,7 28,16,47,801190244.0981249,2.7247714386081795e+17,57803700000000.0,pass
43,1024 40,7 24,16,47,801190244.0981249,2.7255841652812326e+17,64226300000000.0,pass
44,1024 44,7 20,16,47,801190244.0981249,2.7267219826235066e+17,70648900000000.0,pass
45,1024 48,7 16,16,47,801190244.0981249,2.728428708636918e+17,77071500000000.0,pass
46,1024 16,8 48,14,49,461786194.378125,3.66923605042877e+17,25690900000000.0,pass
47,1024 20,8 44,14,49,461786194.378125,3.669578649525324e+17,32113400000000.0,pass
48,1024 24,8 40,14,49,461786194.378125,3.669989768441189e+17,38536000000000.0,pass
49,1024 28,8 36,14,49,461786194.378125,3.670492247116137e+17,44958600000000.0,pass
50,1024 32,8 32,14,49,461786194.378125,3.671120345459821e+17,51381200000000.0,pass
51,1024 36,8 28,14,49,461786194.378125,3.6719279004731283e+17,57803700000000.0,pass
52,1024 40,8 24,14,49,461786194.378125,3.6730046404908717e+17,64226300000000.0,pass
53,1024 44,8 20,14,49,461786194.378125,3.674512076515712e+17,70648900000000.0,pass
54,1024 48,8 16,14,49,461786194.378125,3.676773230552974e+17,77071500000000.0,pass
55,1024 16,9 48,10,53,16111442.818125,3.8436125338293536e+17,25690900000000.0,fail
56,1024 20,9 44,10,53,16111442.818125,3.8442405124037146e+17,32113400000000.0,fail
57,1024 24,9 40,10,53,16111442.818125,3.844994086692948e+17,38536000000000.0,fail
58,1024 28,9 36,10,53,16111442.818125,3.845915121935345e+17,44958600000000.0,fail
59,1024 32,9 32,10,53,16111442.818125,3.847066415988341e+17,51381200000000.0,fail
60,1024 36,9 28,10,53,16111442.818125,3.848546651199336e+17,57803700000000.0,fail
61,1024 40,9 24,10,53,16111442.818125,3.850520298147328e+17,64226300000000.0,fail
62,1024 44,9 20,10,53,16111442.818125,3.853283403874517e+17,70648900000000.0,fail
63,1024 48,9 16,10,53,16111442.818125,3.8574280624653024e+17,77071500000000.0,fail
64,1024 16,10 48,10,53,16111442.818125,3.8436125338293536e+17,25690900000000.0,fail
65,1024 20,10 44,10,53,16111442.818125,3.8442405124037146e+17,32113400000000.0,fail
66,1024 24,10 40,10,53,16111442.818125,3.844994086692948e+17,38536000000000.0,fail
67,1024 28,10 36,10,53,16111442.818125,3.845915121935345e+17,44958600000000.0,fail
68,1024 32,10 32,10,53,16111442.818125,3.847066415988341e+17,51381200000000.0,fail
69,1024 36,10 28,10,53,16111442.818125,3.848546651199336e+17,57803700000000.0,fail
70,1024 40,10 24,10,53,16111442.818125,3.850520298147328e+17,64226300000000.0,fail
71,1024 44,10 20,10,53,16111442.818125,3.853283403874517e+17,70648900000000.0,fail
72,1024 48,10 16,10,53,16111442.818125,3.8574280624653024e+17,77071500000000.0,fail
73,1024 16,11 48,9,54,10647001.815000001,4.1414170136832326e+17,25690900000000.0,fail
74,1024 20,11 44,9,54,10647001.815000001,4.142092226346254e+17,32113400000000.0,fail
75,1024 24,11 40,9,54,10647001.815000001,4.14290248154188e+17,38536000000000.0,fail
76,1024 28,11 36,9,54,10647001.815000001,4.143892793447647e+17,44958600000000.0,fail
77,1024 32,11 32,9,54,10647001.815000001,4.1451306833298534e+17,51381200000000.0,fail
78,1024 36,11 28,9,54,10647001.815000001,4.146722256035549e+17,57803700000000.0,fail
79,1024 40,11 24,9,54,10647001.815000001,4.148844352976475e+17,64226300000000.0,fail
80,1024 44,11 20,9,54,10647001.815000001,4.1518152886937715e+17,70648900000000.0,fail
81,1024 48,11 16,9,54,10647001.815000001,4.156271692269718e+17,77071500000000.0,fail
82,1024 16,12 48,9,54,10647001.815000001,4.1414170136832326e+17,25690900000000.0,fail
83,1024 20,12 44,9,54,10647001.815000001,4.142092226346254e+17,32113400000000.0,fail
84,1024 24,12 40,9,54,10647001.815000001,4.14290248154188e+17,38536000000000.0,fail
85,1024 28,12 36,9,54,10647001.815000001,4.143892793447647e+17,44958600000000.0,fail
86,1024 32,12 32,9,54,10647001.815000001,4.1451306833298534e+17,51381200000000.0,fail
87,1024 36,12 28,9,54,10647001.815000001,4.146722256035549e+17,57803700000000.0,fail
88,1024 40,12 24,9,54,10647001.815000001,4.148844352976475e+17,64226300000000.0,fail
89,1024 44,12 20,9,54,10647001.815000001,4.1518152886937715e+17,70648900000000.0,fail
90,1024 48,12 16,9,54,10647001.815000001,4.156271692269718e+17,77071500000000.0,fail
91,1024 16,13 48,8,55,6182843.311875,4.4404391196078784e+17,25690900000000.0,fail
92,1024 20,13 44,8,55,6182843.311875,4.441161566359561e+17,32113400000000.0,fail
93,1024 24,13 40,8,55,6182843.311875,4.44202850246158e+17,38536000000000.0,fail
94,1024 28,13 36,8,55,6182843.311875,4.4430880910307155e+17,44958600000000.0,fail
95,1024 32,13 32,8,55,6182843.311875,4.444412576742134e+17,51381200000000.0,fail
96,1024 36,13 28,8,55,6182843.311875,4.446115486942529e+17,57803700000000.0,fail
97,1024 40,13 24,8,55,6182843.311875,4.448386033876389e+17,64226300000000.0,fail
98,1024 44,13 20,8,55,6182843.311875,4.451564799583793e+17,70648900000000.0,fail
99,1024 48,13 16,8,55,6182843.311875,4.4563329481449005e+17,77071500000000.0,fail
100,1024 16,14 48,0,63,0.0,4.756465582340819e+17,25690900000000.0,fail
101,1024 20,14 44,0,63,0.0,4.7576383844522074e+17,32113400000000.0,fail
102,1024 24,14 40,0,63,0.0,4.759045746985875e+17,38536000000000.0,fail
103,1024 28,14 36,0,63,0.0,4.760765856749245e+17,44958600000000.0,fail
104,1024 32,14 32,0,63,0.0,4.762915993953458e+17,51381200000000.0,fail
105,1024 36,14 28,0,63,0.0,4.765680456073161e+17,57803700000000.0,fail
106,1024 40,14 24,0,63,0.0,4.7693664055660966e+17,64226300000000.0,fail
107,1024 44,14 20,0,63,0.0,4.774526734856207e+17,70648900000000.0,fail
108,1024 48,14 16,0,63,0.0,4.7822672287913734e+17,77071500000000.0,fail
109,1024 16,15 48,0,63,0.0,4.756465582340819e+17,25690900000000.0,fail
110,1024 20,15 44,0,63,0.0,4.7576383844522074e+17,32113400000000.0,fail
111,1024 24,15 40,0,63,0.0,4.759045746985875e+17,38536000000000.0,fail
112,1024 28,15 36,0,63,0.0,4.760765856749245e+17,44958600000000.0,fail
113,1024 32,15 32,0,63,0.0,4.762915993953458e+17,51381200000000.0,fail
114,1024 36,15 28,0,63,0.0,4.765680456073161e+17,57803700000000.0,fail
115,1024 40,15 24,0,63,0.0,4.7693664055660966e+17,64226300000000.0,fail
116,1024 44,15 20,0,63,0.0,4.774526734856207e+17,70648900000000.0,fail
117,1024 48,15 16,0,63,0.0,4.7822672287913734e+17,77071500000000.0,fail
118,1024 16,16 48,0,63,0.0,4.756465582340819e+17,25690900000000.0,fail
119,1024 20,16 44,0,63,0.0,4.7576383844522074e+17,32113400000000.0,fail
120,1024 24,16 40,0,63,0.0,4.759045746985875e+17,38536000000000.0,fail
121,1024 28,16 36,0,63,0.0,4.760765856749245e+17,44958600000000.0,fail
122,1024 32,16 32,0,63,0.0,4.762915993953458e+17,51381200000000.0,fail
123,1024 36,16 28,0,63,0.0,4.765680456073161e+17,57803700000000.0,fail
124,1024 40,16 24,0,63,0.0,4.7693664055660966e+17,64226300000000.0,fail
125,1024 44,16 20,0,63,0.0,4.774526734856207e+17,70648900000000.0,fail
126,1024 48,16 16,0,63,0.0,4.7822672287913734e+17,77071500000000.0,fail
127,1024 16,17 48,0,63,0.0,4.756465582340819e+17,25690900000000.0,fail
128,1024 20,17 44,0,63,0.0,4.7576383844522074e+17,32113400000000.0,fail
129,1024 24,17 40,0,63,0.0,4.759045746985875e+17,38536000000000.0,fail
130,1024 28,17 36,0,63,0.0,4.760765856749245e+17,44958600000000.0,fail
131,1024 32,17 32,0,63,0.0,4.762915993953458e+17,51381200000000.0,fail
132,1024 36,17 28,0,63,0.0,4.765680456073161e+17,57803700000000.0,fail
133,1024 40,17 24,0,63,0.0,4.7693664055660966e+17,64226300000000.0,fail
134,1024 44,17 20,0,63,0.0,4.774526734856207e+17,70648900000000.0,fail
135,1024 48,17 16,0,63,0.0,4.7822672287913734e+17,77071500000000.0,fail
136,1024 16,18 48,0,63,0.0,4.756465582340819e+17,25690900000000.0,fail
137,1024 20,18 44,0,63,0.0,4.7576383844522074e+17,32113400000000.0,fail
138,1024 24,18 40,0,63,0.0,4.759045746985875e+17,38536000000000.0,fail
139,1024 28,18 36,0,63,0.0,4.760765856749245e+17,44958600000000.0,fail
140,1024 32,18 32,0,63,0.0,4.762915993953458e+17,51381200000000.0,fail
141,1024 36,18 28,0,63,0.0,4.765680456073161e+17,57803700000000.0,fail
142,1024 40,18 24,0,63,0.0,4.7693664055660966e+17,64226300000000.0,fail
143,1024 44,18 20,0,63,0.0,4.774526734856207e+17,70648900000000.0,fail
144,1024 48,18 16,0,63,0.0,4.7822672287913734e+17,77071500000000.0,fail
145,1024 16,19 48,0,63,0.0,4.756465582340819e+17,25690900000000.0,fail
146,1024 20,19 44,0,63,0.0,4.7576383844522074e+17,32113400000000.0,fail
147,1024 24,19 40,0,63,0.0,4.759045746985875e+17,38536000000000.0,fail
148,1024 28,19 36,0,63,0.0,4.760765856749245e+17,44958600000000.0,fail
149,1024 32,19 32,0,63,0.0,4.762915993953458e+17,51381200000000.0,fail
150,1024 36,19 28,0,63,0.0,4.765680456073161e+17,57803700000000.0,fail
151,1024 40,19 24,0,63,0.0,4.7693664055660966e+17,64226300000000.0,fail
152,1024 44,19 20,0,63,0.0,4.774526734856207e+17,70648900000000.0,fail
153,1024 48,19 16,0,63,0.0,4.7822672287913734e+17,77071500000000.0,fail
154,1024 16,20 48,0,63,0.0,4.756465582340819e+17,25690900000000.0,fail
155,1024 20,20 44,0,63,0.0,4.7576383844522074e+17,32113400000000.0,fail
156,1024 24,20 40,0,63,0.0,4.759045746985875e+17,38536000000000.0,fail
157,1024 28,20 36,0,63,0.0,4.760765856749245e+17,44958600000000.0,fail
158,1024 32,20 32,0,63,0.0,4.762915993953458e+17,51381200000000.0,fail
159,1024 36,20 28,0,63,0.0,4.765680456073161e+17,57803700000000.0,fail
160,1024 40,20 24,0,63,0.0,4.7693664055660966e+17,64226300000000.0,fail
161,1024 44,20 20,0,63,0.0,4.774526734856207e+17,70648900000000.0,fail
162,1024 48,20 16,0,63,0.0,4.7822672287913734e+17,77071500000000.0,fail
163,1024 16,21 48,0,63,0.0,4.756465582340819e+17,25690900000000.0,fail
164,1024 20,21 44,0,63,0.0,4.7576383844522074e+17,32113400000000.0,fail
165,1024 24,21 40,0,63,0.0,4.759045746985875e+17,38536000000000.0,fail
166,1024 28,21 36,0,63,0.0,4.760765856749245e+17,44958600000000.0,fail
167,1024 32,21 32,0,63,0.0,4.762915993953458e+17,51381200000000.0,fail
168,1024 36,21 28,0,63,0.0,4.765680456073161e+17,57803700000000.0,fail
169,1024 40,21 24,0,63,0.0,4.7693664055660966e+17,64226300000000.0,fail
170,1024 44,21 20,0,63,0.0,4.774526734856207e+17,70648900000000.0,fail
171,1024 48,21 16,0,63,0.0,4.7822672287913734e+17,77071500000000.0,fail
172,1024 16,22 48,0,63,0.0,4.756465582340819e+17,25690900000000.0,fail
173,1024 20,22 44,0,63,0.0,4.7576383844522074e+17,32113400000000.0,fail
174,1024 24,22 40,0,63,0.0,4.759045746985875e+17,38536000000000.0,fail
175,1024 28,22 36,0,63,0.0,4.760765856749245e+17,44958600000000.0,fail
176,1024 32,22 32,0,63,0.0,4.762915993953458e+17,51381200000000.0,fail
177,1024 36,22 28,0,63,0.0,4.765680456073161e+17,57803700000000.0,fail
178,1024 40,22 24,0,63,0.0,4.7693664055660966e+17,64226300000000.0,fail
179,1024 44,22 20,0,63,0.0,4.774526734856207e+17,70648900000000.0,fail
180,1024 48,22 16,0,63,0.0,4.7822672287913734e+17,77071500000000.0,fail
181,1024 16,23 48,0,63,0.0,4.756465582340819e+17,25690900000000.0,fail
182,1024 20,23 44,0,63,0.0,4.7576383844522074e+17,32113400000000.0,fail
183,1024 24,23 40,0,63,0.0,4.759045746985875e+17,38536000000000.0,fail
184,1024 28,23 36,0,63,0.0,4.760765856749245e+17,44958600000000.0,fail
