DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,63,222923942.19564432,29420072566.30082,12159.589269055636,2133347757.362454,38 64,pass
1,3,979044.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 48,pass
2,3,980057.2375357236,16465964037.670618,6958.198393694854,33302106.12092734,3 44,pass
3,3,981272.07389936,16465964037.670618,6958.198393694854,33302106.12092734,3 40,pass
4,3,982756.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 36,pass
5,3,984612.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 32,pass
6,3,986999.1596136458,16465964037.670618,6958.198393694854,33302106.12092734,3 28,pass
7,3,990180.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 24,pass
8,3,994635.27389936,16465964037.670618,6958.198393694854,33302106.12092734,3 20,pass
9,3,1001316.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 16,pass
10,28,86676156.76094185,17493016120.50319,7223.944887156137,116768131.00502214,4 48,pass
11,28,86677169.12457821,17493016120.50319,7223.944887156137,116768131.00502214,4 44,pass
12,28,86678383.96094185,17493016120.50319,7223.944887156137,116768131.00502214,4 40,pass
13,28,86679868.76094185,17493016120.50319,7223.944887156137,116768131.00502214,4 36,pass
14,28,86681724.76094185,17493016120.50319,7223.944887156137,116768131.00502214,4 32,pass
15,28,86684111.04665613,17493016120.50319,7223.944887156137,116768131.00502214,4 28,pass
16,28,86687292.76094185,17493016120.50319,7223.944887156137,116768131.00502214,4 24,pass
17,28,86691747.16094185,17493016120.50319,7223.944887156137,116768131.00502214,4 20,pass
18,28,86698428.76094185,17493016120.50319,7223.944887156137,116768131.00502214,4 16,pass
19,44,208772337.0896856,18420676066.287453,7512.100385791983,945936027.5283116,5 48,pass
20,44,208799007.6351401,18420676066.287453,7512.100385791983,945936027.5283116,5 44,pass
21,44,208831012.2896856,18420676066.287453,7512.100385791983,945936027.5283116,5 40,pass
22,44,208870129.0896856,18420676066.287453,7512.100385791983,945936027.5283116,5 36,pass
23,44,208919025.0896856,18420676066.287453,7512.100385791983,945936027.5283116,5 32,pass
24,44,208981891.3753999,18420676066.287453,7512.100385791983,945936027.5283116,5 28,pass
25,44,209065713.0896856,18420676066.287453,7512.100385791983,945936027.5283116,5 24,pass
26,44,209183063.4896856,18420676066.287453,7512.100385791983,945936027.5283116,5 20,pass
27,44,209359089.0896856,18420676066.287453,7512.100385791983,945936027.5283116,5 16,pass
28,46,212488066.69138807,19149551737.975086,7820.066516610659,1112666236.297687,6 48,pass
29,46,212514737.23684263,19149551737.975086,7820.066516610659,1112666236.297687,6 44,pass
30,46,212546741.8913881,19149551737.975086,7820.066516610659,1112666236.297687,6 40,pass
31,46,212585858.69138807,19149551737.975086,7820.066516610659,1112666236.297687,6 36,pass
32,46,212634754.69138807,19149551737.975086,7820.066516610659,1112666236.297687,6 32,pass
33,46,212697620.9771024,19149551737.975086,7820.066516610659,1112666236.297687,6 28,pass
34,46,212781442.69138807,19149551737.975086,7820.066516610659,1112666236.297687,6 24,pass
35,46,212898793.09138808,19149551737.975086,7820.066516610659,1112666236.297687,6 20,pass
36,46,213074818.69138807,19149551737.975086,7820.066516610659,1112666236.297687,6 16,pass
37,48,216203796.2930905,19878427409.66272,8128.032647429335,1279396445.0670624,7 48,pass
38,48,216230466.8385452,19878427409.66272,8128.032647429335,1279396445.0670624,7 44,pass
39,48,216262471.4930906,19878427409.66272,8128.032647429335,1279396445.0670624,7 40,pass
40,48,216301588.2930905,19878427409.66272,8128.032647429335,1279396445.0670624,7 36,pass
41,48,216350484.2930905,19878427409.66272,8128.032647429335,1279396445.0670624,7 32,pass
42,48,216413350.5788049,19878427409.66272,8128.032647429335,1279396445.0670624,7 28,pass
43,48,216497172.2930905,19878427409.66272,8128.032647429335,1279396445.0670624,7 24,pass
44,48,216614522.6930906,19878427409.66272,8128.032647429335,1279396445.0670624,7 20,pass
45,48,216790548.2930905,19878427409.66272,8128.032647429335,1279396445.0670624,7 16,pass
46,49,218061661.09394184,20772956643.09754,8505.9910807068,1484019883.1022048,8 48,pass
47,49,218088331.6393964,20772956643.09754,8505.9910807068,1484019883.1022048,8 44,pass
48,49,218120336.29394183,20772956643.09754,8505.9910807068,1484019883.1022048,8 40,pass
49,49,218159453.09394184,20772956643.09754,8505.9910807068,1484019883.1022048,8 36,pass
50,49,218208349.09394184,20772956643.09754,8505.9910807068,1484019883.1022048,8 32,pass
51,49,218271215.37965617,20772956643.09754,8505.9910807068,1484019883.1022048,8 28,pass
52,49,218355037.09394184,20772956643.09754,8505.9910807068,1484019883.1022048,8 24,pass
53,49,218472387.49394184,20772956643.09754,8505.9910807068,1484019883.1022048,8 20,pass
54,49,218648413.09394184,20772956643.09754,8505.9910807068,1484019883.1022048,8 16,pass
55,53,220916820.0950059,22562015109.967182,9261.907947261732,1740587283.798622,9 48,fail
56,53,220961451.3677332,22562015109.967182,9261.907947261732,1740587283.798622,9 44,fail
57,53,221015008.895006,22562015109.967182,9261.907947261732,1740587283.798622,9 40,fail
58,53,221080468.0950059,22562015109.967182,9261.907947261732,1740587283.798622,9 36,fail
59,53,221162292.0950059,22562015109.967182,9261.907947261732,1740587283.798622,9 32,fail
60,53,221267494.38072023,22562015109.967182,9261.907947261732,1740587283.798622,9 28,fail
61,53,221407764.0950059,22562015109.967182,9261.907947261732,1740587283.798622,9 24,fail
62,53,221604141.6950059,22562015109.967182,9261.907947261732,1740587283.798622,9 20,fail
63,53,221898708.0950059,22562015109.967182,9261.907947261732,1740587283.798622,9 16,fail
64,53,220916820.0950059,22562015109.967182,9261.907947261732,1740587283.798622,10 48,fail
