Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
mobilenet_v2,L0,3584,110889,3240.12,96,2.96285e+07,2.69385e+14,2.11706e+09,99,3.45199,99,1,99,1844,54,1,1,150528,864,3.28548e+12,10645344,4380.72,667.699,6.3618,2.11706e+09,10645344, 222777, 222777, 150528, 47.7848, 10645344, 864, 864, 864, 12321, 10645344, 10645344, 1577088, 381951, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 96, 48
mobilenet_v2,L1,3584,108900,14231.8,32,2.24849e+06,2.69385e+14,2.11706e+09,64,10.8631,64,1,64,1214,54,1,1,401408,288,2.44861e+11,3484800,4380.72,667.699,4.1883,2.11706e+09,3484800, 1182720, 1182720, 401408, 2.94643, 3484800, 288, 288, 288, 12100, 3484800, 3484800, 387200, 375100, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 32, 3
mobilenet_v2,L2,3584,12544,10089.3,512,5.07469e+07,2.69385e+14,2.11706e+09,544,32.0408,544,1,544,1118,6,1,1,401408,512,6.3657e+11,6422528,4380.72,74.1888,3.8571,2.11706e+09,6422528, 401408, 401408, 401408, 16, 6422528, 512, 512, 512, 12544, 6422528, 6422528, 200704, 188160, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 512, 16
mobilenet_v2,L3,3584,25088,17826.7,768,4.30814e+07,2.69385e+14,2.11706e+09,912,48.058,912,1,912,1936,6,1,1,200704,1536,1.08083e+12,19267584,4380.72,74.1888,6.6792,2.11706e+09,19267584, 401392, 401392, 200704, 48.0019, 19267584, 1536, 1536, 1536, 12544, 19267584, 19267584, 1204224, 1204224, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 768, 56
mobilenet_v2,L4,3584,27225,18637,96,5.15105e+06,2.69385e+14,2.11706e+09,192,64.6136,192,1,192,3646,54,1,1,1204224,864,1.40237e+11,2613600,4380.72,667.699,12.5787,2.11706e+09,2613600, 1758240, 1758240, 1204224, 1.48649, 2613600, 864, 864, 864, 3025, 2613600, 2613600, 1161600, 287375, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 96, 1.5
mobilenet_v2,L5,3584,6272,8366.52,1152,1.37692e+08,2.69385e+14,2.11706e+09,1600,64.4898,1600,1,1600,3246,6,1,1,301056,2304,8.63602e+11,7225344,4380.72,74.1888,11.1987,2.11706e+09,7225344, 401408, 401408, 301056, 18, 7225344, 3072, 3072, 2304, 2352, 7225344, 7225344, 75264, 144256, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1536, 24
mobilenet_v2,L6,3584,9408,14574.7,1152,7.90411e+07,2.69385e+14,2.11706e+09,1368,48.3546,1368,1,1368,2848,6,1,1,75264,3456,7.43619e+11,10838016,4380.72,74.1888,9.8256,2.11706e+09,10838016, 225744, 225744, 75264, 48.0102, 10838016, 3456, 3456, 3456, 3136, 10838016, 10838016, 451584, 451584, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1152, 56
mobilenet_v2,L7,3584,26244,15666.8,144,9.19141e+06,2.69385e+14,2.11706e+09,288,49.8272,288,1,288,5470,54,1,1,451584,1296,2.41219e+11,3779136,4380.72,667.699,18.8715,2.11706e+09,3779136, 1306368, 1306368, 451584, 2.89286, 3779136, 1296, 1296, 1296, 2916, 3779136, 3779136, 419904, 416988, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 144, 3
mobilenet_v2,L8,3584,9408,11817.2,1152,9.74854e+07,2.69385e+14,2.11706e+09,1600,64.4898,1600,1,1600,3246,6,1,1,451584,3456,9.17143e+11,10838016,4380.72,74.1888,11.1987,2.11706e+09,10838016, 602112, 602112, 451584, 18, 10838016, 4608, 4608, 3456, 2352, 10838016, 10838016, 75264, 216384, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1536, 24
mobilenet_v2,L9,3584,3136,1098.66,24,2.18448e+07,2.69385e+14,2.11706e+09,48,24.0077,48,1,48,142,6,1,1,75264,24,6.85053e+10,75264,4380.72,74.1888,0.4899,2.11706e+09,75264, 75264, 75264, 75264, 1, 75264, 24, 24, 24, 3136, 75264, 75264, 75264, 72128, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 24, 1
