DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,63,40427085.0,1523618.0569999998,102762000000000.0,807605015.8730159,1024 64,pass
1,20,47308.125,22906.107000000004,6459620000000.0,50766450.0,256 16,pass
2,20,47308.125,22906.107000000004,8074520000000.0,63457950.0,256 20,pass
3,20,47308.125,22906.107000000004,9689420000000.0,76149500.0,256 24,pass
4,20,47308.125,22906.107000000004,11304300000000.0,88841000.0,256 28,pass
5,20,47308.125,22906.107000000004,12919200000000.0,101532500.0,256 32,pass
6,20,47308.125,22906.107000000004,14534100000000.0,114224000.0,256 36,pass
7,20,47308.125,22906.107000000004,16149000000000.0,126916000.0,256 40,pass
8,20,47308.125,22906.107000000004,17763900000000.0,139607000.0,256 44,pass
9,20,47308.125,22906.107000000004,19378800000000.0,152299000.0,256 48,pass
10,18,34138.125,18414.267,6459620000000.0,50766450.0,256 16,pass
11,18,34138.125,18414.267,8074520000000.0,63457950.0,256 20,pass
12,18,34138.125,18414.267,9689420000000.0,76149500.0,256 24,pass
13,18,34138.125,18414.267,11304300000000.0,88841000.0,256 28,pass
14,18,34138.125,18414.267,12919200000000.0,101532500.0,256 32,pass
15,18,34138.125,18414.267,14534100000000.0,114224000.0,256 36,pass
16,18,34138.125,18414.267,16149000000000.0,126916000.0,256 40,pass
17,18,34138.125,18414.267,17763900000000.0,139607000.0,256 44,pass
18,18,34138.125,18414.267,19378800000000.0,152299000.0,256 48,pass
19,15,19558.125,11627.906999999996,6459620000000.0,50766440.0,256 16,pass
20,15,19558.125,11627.906999999996,8074520000000.0,63457940.0,256 20,pass
21,15,19558.125,11627.906999999996,9689420000000.0,76149500.0,256 24,pass
22,15,19558.125,11627.906999999996,11304300000000.0,88841000.0,256 28,pass
23,15,19558.125,11627.906999999996,12919200000000.0,101532400.0,256 32,pass
24,15,19558.125,11627.906999999996,14534100000000.0,114224000.0,256 36,pass
25,15,19558.125,11627.906999999996,16149000000000.0,126916000.0,256 40,pass
26,15,19558.125,11627.906999999996,17763900000000.0,139607000.0,256 44,pass
27,15,19558.125,11627.906999999996,19378800000000.0,152299000.0,256 48,pass
28,12,10023.75,5637.187000000001,6459620000000.0,50766425.0,256 16,fail
29,12,10023.75,5637.187000000001,8074520000000.0,63457925.0,256 20,fail
30,12,10023.75,5637.187000000001,9689420000000.0,76149500.0,256 24,fail
31,12,10023.75,5637.187000000001,11304300000000.0,88841000.0,256 28,fail
32,12,10023.75,5637.187000000001,12919200000000.0,101532250.0,256 32,fail
33,12,10023.75,5637.187000000001,14534100000000.0,114224000.0,256 36,fail
34,12,10023.75,5637.187000000001,16149000000000.0,126916000.0,256 40,fail
35,12,10023.75,5637.187000000001,17763900000000.0,139607000.0,256 44,fail
36,12,10023.75,5637.187000000001,19378800000000.0,152299000.0,256 48,fail
37,12,10023.75,5637.187000000001,6459620000000.0,50766425.0,256 16,fail
38,12,10023.75,5637.187000000001,8074520000000.0,63457925.0,256 20,fail
39,12,10023.75,5637.187000000001,9689420000000.0,76149500.0,256 24,fail
40,12,10023.75,5637.187000000001,11304300000000.0,88841000.0,256 28,fail
41,12,10023.75,5637.187000000001,12919200000000.0,101532250.0,256 32,fail
