DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,63,222806636.19564432,29420072566.30082,12159.589269055636,2133347757.362454,24 64,pass
1,43,207934337.0896856,19182682450.324524,7834.064977102417,1119802841.8028572,6 48,pass
2,43,207935349.453322,19182682450.324524,7834.064977102417,1119802841.8028572,6 44,pass
3,43,207936564.2896856,19182682450.324524,7834.064977102417,1119802841.8028572,6 40,pass
4,43,207938049.0896856,19182682450.324524,7834.064977102417,1119802841.8028572,6 36,pass
5,43,207939905.0896856,19182682450.324524,7834.064977102417,1119802841.8028572,6 32,pass
6,43,207942291.37539983,19182682450.324524,7834.064977102417,1119802841.8028572,6 28,pass
7,43,207945473.0896856,19182682450.324524,7834.064977102417,1119802841.8028572,6 24,pass
8,43,207949927.4896856,19182682450.324524,7834.064977102417,1119802841.8028572,6 20,pass
9,43,207956609.0896856,19182682450.324524,7834.064977102417,1119802841.8028572,6 16,pass
10,45,210551113.8905368,20077211683.759342,8212.023410379883,1324426279.8379996,7 48,pass
11,45,210572652.7996277,20077211683.759342,8212.023410379883,1324426279.8379996,7 44,pass
12,45,210598499.4905368,20077211683.759342,8212.023410379883,1324426279.8379996,7 40,pass
13,45,210630089.8905368,20077211683.759342,8212.023410379883,1324426279.8379996,7 36,pass
14,45,210669577.8905368,20077211683.759342,8212.023410379883,1324426279.8379996,7 32,pass
15,45,210720348.1762511,20077211683.759342,8212.023410379883,1324426279.8379996,7 28,pass
16,45,210788041.8905368,20077211683.759342,8212.023410379883,1324426279.8379996,7 24,pass
17,45,210882813.0905368,20077211683.759342,8212.023410379883,1324426279.8379996,7 20,pass
18,45,211024969.8905368,20077211683.759342,8212.023410379883,1324426279.8379996,7 16,pass
19,48,216124708.2930905,21170525191.29079,8673.972606607897,1574521592.9920623,8 48,pass
20,48,216146247.2021815,21170525191.29079,8673.972606607897,1574521592.9920623,8 44,pass
21,48,216172093.8930905,21170525191.29079,8673.972606607897,1574521592.9920623,8 40,pass
22,48,216203684.2930905,21170525191.29079,8673.972606607897,1574521592.9920623,8 36,pass
23,48,216243172.2930905,21170525191.29079,8673.972606607897,1574521592.9920623,8 32,pass
24,48,216293942.57880488,21170525191.29079,8673.972606607897,1574521592.9920623,8 28,pass
25,48,216361636.2930905,21170525191.29079,8673.972606607897,1574521592.9920623,8 24,pass
26,48,216456407.49309057,21170525191.29079,8673.972606607897,1574521592.9920623,8 20,pass
27,48,216598564.2930905,21170525191.29079,8673.972606607897,1574521592.9920623,8 16,pass
28,51,220333524.0950059,22562015109.967182,9261.907947261732,1740587283.798622,9 48,fail
29,51,220355063.0040968,22562015109.967182,9261.907947261732,1740587283.798622,9 44,fail
30,51,220380909.6950059,22562015109.967182,9261.907947261732,1740587283.798622,9 40,fail
31,51,220412500.0950059,22562015109.967182,9261.907947261732,1740587283.798622,9 36,fail
32,51,220451988.0950059,22562015109.967182,9261.907947261732,1740587283.798622,9 32,fail
33,51,220502758.3807202,22562015109.967182,9261.907947261732,1740587283.798622,9 28,fail
34,51,220570452.0950059,22562015109.967182,9261.907947261732,1740587283.798622,9 24,fail
35,51,220665223.2950059,22562015109.967182,9261.907947261732,1740587283.798622,9 20,fail
36,51,220807380.0950059,22562015109.967182,9261.907947261732,1740587283.798622,9 16,fail
37,51,220333524.0950059,22562015109.967182,9261.907947261732,1740587283.798622,10 48,fail
38,51,220355063.0040968,22562015109.967182,9261.907947261732,1740587283.798622,10 44,fail
39,51,220380909.6950059,22562015109.967182,9261.907947261732,1740587283.798622,10 40,fail
40,51,220412500.0950059,22562015109.967182,9261.907947261732,1740587283.798622,10 36,fail
41,51,220451988.0950059,22562015109.967182,9261.907947261732,1740587283.798622,10 32,fail
42,51,220502758.3807202,22562015109.967182,9261.907947261732,1740587283.798622,10 28,fail
43,51,220570452.0950059,22562015109.967182,9261.907947261732,1740587283.798622,10 24,fail
44,51,220665223.2950059,22562015109.967182,9261.907947261732,1740587283.798622,10 20,fail
45,51,220807380.0950059,22562015109.967182,9261.907947261732,1740587283.798622,10 16,fail
46,52,220798550.2952187,24848034262.078392,10227.801721193036,1871507441.6532328,11 48,fail
47,52,220820089.2043096,24848034262.078392,10227.801721193036,1871507441.6532328,11 44,fail
48,52,220845935.8952187,24848034262.078392,10227.801721193036,1871507441.6532328,11 40,fail
49,52,220877526.2952187,24848034262.078392,10227.801721193036,1871507441.6532328,11 36,fail
50,52,220917014.2952187,24848034262.078392,10227.801721193036,1871507441.6532328,11 32,fail
51,52,220967784.580933,24848034262.078392,10227.801721193036,1871507441.6532328,11 28,fail
52,52,221035478.2952187,24848034262.078392,10227.801721193036,1871507441.6532328,11 24,fail
53,52,221130249.4952187,24848034262.078392,10227.801721193036,1871507441.6532328,11 20,fail
54,52,221272406.2952187,24848034262.078392,10227.801721193036,1871507441.6532328,11 16,fail
55,52,220798550.2952187,24848034262.078392,10227.801721193036,1871507441.6532328,12 48,fail
56,52,220820089.2043096,24848034262.078392,10227.801721193036,1871507441.6532328,12 44,fail
57,52,220845935.8952187,24848034262.078392,10227.801721193036,1871507441.6532328,12 40,fail
58,52,220877526.2952187,24848034262.078392,10227.801721193036,1871507441.6532328,12 36,fail
59,52,220917014.2952187,24848034262.078392,10227.801721193036,1871507441.6532328,12 32,fail
60,52,220967784.580933,24848034262.078392,10227.801721193036,1871507441.6532328,12 28,fail
61,52,221035478.2952187,24848034262.078392,10227.801721193036,1871507441.6532328,12 24,fail
62,52,221130249.4952187,24848034262.078392,10227.801721193036,1871507441.6532328,12 20,fail
63,52,221272406.2952187,24848034262.078392,10227.801721193036,1871507441.6532328,12 16,fail
64,53,221263576.4954315,27134053414.18961,11193.695495124335,2002427599.5078435,13 48,fail
65,53,221285115.4045224,27134053414.18961,11193.695495124335,2002427599.5078435,13 44,fail
66,53,221310962.0954315,27134053414.18961,11193.695495124335,2002427599.5078435,13 40,fail
67,53,221342552.4954315,27134053414.18961,11193.695495124335,2002427599.5078435,13 36,fail
68,53,221382040.4954315,27134053414.18961,11193.695495124335,2002427599.5078435,13 32,fail
69,53,221432810.7811458,27134053414.18961,11193.695495124335,2002427599.5078435,13 28,fail
70,53,221500504.4954315,27134053414.18961,11193.695495124335,2002427599.5078435,13 24,fail
71,53,221595275.6954315,27134053414.18961,11193.695495124335,2002427599.5078435,13 20,fail
72,53,221737432.4954315,27134053414.18961,11193.695495124335,2002427599.5078435,13 16,fail
73,63,222957816.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 48,fail
74,63,223012791.42291704,29420072566.30082,12159.589269055636,2133347757.362454,14 44,fail
75,63,223078761.09564435,29420072566.30082,12159.589269055636,2133347757.362454,14 40,fail
76,63,223159390.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 36,fail
77,63,223260177.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 32,fail
78,63,223389760.98135865,29420072566.30082,12159.589269055636,2133347757.362454,14 28,fail
79,63,223562538.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 24,fail
80,63,223804427.4956443,29420072566.30082,12159.589269055636,2133347757.362454,14 20,fail
81,63,224167260.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 16,fail
82,63,222957816.69564432,29420072566.30082,12159.589269055636,2133347757.362454,15 48,fail
