DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,63,9189750.0,2649906.5300000003,102762000000000.0,807605000.0,1024 64,pass
1,44,2516430.0,1107199.3000000005,6459620000000.0,50766434.09090909,256 16,pass
2,44,2516430.0,1107199.3000000005,8074520000000.0,63457934.09090909,256 20,pass
3,44,2516430.0,1107199.3000000005,9689420000000.0,76149500.0,256 24,pass
4,44,2516430.0,1107199.3000000005,11304300000000.0,88841000.0,256 28,pass
5,44,2516430.0,1107199.3000000005,12919200000000.0,101532340.9090909,256 32,pass
6,44,2516430.0,1107199.3000000005,14534100000000.0,114224000.0,256 36,pass
7,44,2516430.0,1107199.3000000005,16149000000000.0,126916000.0,256 40,pass
8,44,2516430.0,1107199.3000000005,17763900000000.0,139607000.0,256 44,pass
9,44,2516430.0,1107199.3000000005,19378800000000.0,152299000.0,256 48,pass
10,30,1224930.0,460720.81,6459620000000.0,50766436.66666666,256 16,pass
11,30,1224930.0,460720.81,8074520000000.0,63457936.66666666,256 20,pass
12,30,1224930.0,460720.81,9689420000000.0,76149500.0,256 24,pass
13,30,1224930.0,460720.81,11304300000000.0,88841000.0,256 28,pass
14,30,1224930.0,460720.81,12919200000000.0,101532366.66666669,256 32,pass
15,30,1224930.0,460720.81,14534100000000.0,114224000.0,256 36,pass
16,30,1224930.0,460720.81,16149000000000.0,126916000.0,256 40,pass
17,30,1224930.0,460720.81,17763900000000.0,139607000.0,256 44,pass
18,30,1224930.0,460720.81,19378800000000.0,152299000.0,256 48,pass
19,30,1224930.0,460720.81,6459620000000.0,50766436.66666666,256 16,pass
20,30,1224930.0,460720.81,8074520000000.0,63457936.66666666,256 20,pass
21,30,1224930.0,460720.81,9689420000000.0,76149500.0,256 24,pass
22,30,1224930.0,460720.81,11304300000000.0,88841000.0,256 28,pass
23,30,1224930.0,460720.81,12919200000000.0,101532366.66666669,256 32,pass
24,30,1224930.0,460720.81,14534100000000.0,114224000.0,256 36,pass
25,30,1224930.0,460720.81,16149000000000.0,126916000.0,256 40,pass
26,30,1224930.0,460720.81,17763900000000.0,139607000.0,256 44,pass
27,30,1224930.0,460720.81,19378800000000.0,152299000.0,256 48,pass
28,29,1143930.0,459656.02,6459620000000.0,50766434.48275862,256 16,pass
29,29,1143930.0,459656.02,8074520000000.0,63457934.48275862,256 20,pass
30,29,1143930.0,459656.02,9689420000000.0,76149500.0,256 24,pass
31,29,1143930.0,459656.02,11304300000000.0,88841000.0,256 28,pass
32,29,1143930.0,459656.02,12919200000000.0,101532344.8275862,256 32,pass
33,29,1143930.0,459656.02,14534100000000.0,114224000.0,256 36,pass
34,29,1143930.0,459656.02,16149000000000.0,126916000.0,256 40,pass
35,29,1143930.0,459656.02,17763900000000.0,139607000.0,256 44,pass
36,29,1143930.0,459656.02,19378800000000.0,152299000.0,256 48,pass
37,29,1143930.0,459656.02,6459620000000.0,50766434.48275862,256 16,pass
38,29,1143930.0,459656.02,8074520000000.0,63457934.48275862,256 20,pass
39,29,1143930.0,459656.02,9689420000000.0,76149500.0,256 24,pass
40,29,1143930.0,459656.02,11304300000000.0,88841000.0,256 28,pass
41,29,1143930.0,459656.02,12919200000000.0,101532344.8275862,256 32,pass
42,29,1143930.0,459656.02,14534100000000.0,114224000.0,256 36,pass
43,29,1143930.0,459656.02,16149000000000.0,126916000.0,256 40,pass
44,29,1143930.0,459656.02,17763900000000.0,139607000.0,256 44,pass
45,29,1143930.0,459656.02,19378800000000.0,152299000.0,256 48,pass
46,28,1062930.0,458591.23,6459620000000.0,50766432.14285714,256 16,pass
47,28,1062930.0,458591.23,8074520000000.0,63457932.14285714,256 20,pass
48,28,1062930.0,458591.23,9689420000000.0,76149500.0,256 24,pass
49,28,1062930.0,458591.23,11304300000000.0,88841000.0,256 28,pass
50,28,1062930.0,458591.23,12919200000000.0,101532321.42857143,256 32,pass
51,28,1062930.0,458591.23,14534100000000.0,114224000.0,256 36,pass
52,28,1062930.0,458591.23,16149000000000.0,126916000.0,256 40,pass
53,28,1062930.0,458591.23,17763900000000.0,139607000.0,256 44,pass
54,28,1062930.0,458591.23,19378800000000.0,152299000.0,256 48,pass
55,27,981930.0,457526.44000000006,6459620000000.0,50766429.62962963,256 16,pass
56,27,981930.0,457526.44000000006,8074520000000.0,63457929.62962963,256 20,pass
57,27,981930.0,457526.44000000006,9689420000000.0,76149500.0,256 24,pass
58,27,981930.0,457526.44000000006,11304300000000.0,88841000.0,256 28,pass
59,27,981930.0,457526.44000000006,12919200000000.0,101532296.2962963,256 32,pass
60,27,981930.0,457526.44000000006,14534100000000.0,114224000.0,256 36,pass
61,27,981930.0,457526.44000000006,16149000000000.0,126916000.0,256 40,pass
62,27,981930.0,457526.44000000006,17763900000000.0,139607000.0,256 44,pass
63,27,981930.0,457526.44000000006,19378800000000.0,152299000.0,256 48,pass
64,20,485400.0,359624.44999999995,6459620000000.0,50766410.0,256 16,fail
65,20,485400.0,359624.44999999995,8074520000000.0,63457910.0,256 20,fail
66,20,485400.0,359624.44999999995,9689420000000.0,76149500.0,256 24,fail
67,20,485400.0,359624.44999999995,11304300000000.0,88841000.0,256 28,fail
68,20,485400.0,359624.44999999995,12919200000000.0,101532100.0,256 32,fail
69,20,485400.0,359624.44999999995,14534100000000.0,114224000.0,256 36,fail
70,20,485400.0,359624.44999999995,16149000000000.0,126916000.0,256 40,fail
71,20,485400.0,359624.44999999995,17763900000000.0,139607000.0,256 44,fail
72,20,485400.0,359624.44999999995,19378800000000.0,152299000.0,256 48,fail
73,0,0.0,0.0,6459620000000.0,,256 16,fail
74,0,0.0,0.0,8074520000000.0,,256 20,fail
75,0,0.0,0.0,9689420000000.0,,256 24,fail
76,0,0.0,0.0,11304300000000.0,,256 28,fail
77,0,0.0,0.0,12919200000000.0,,256 32,fail
78,0,0.0,0.0,14534100000000.0,,256 36,fail
79,0,0.0,0.0,16149000000000.0,,256 40,fail
80,0,0.0,0.0,17763900000000.0,,256 44,fail
81,0,0.0,0.0,19378800000000.0,,256 48,fail
82,0,0.0,0.0,6459620000000.0,,256 16,fail
83,0,0.0,0.0,8074520000000.0,,256 20,fail
84,0,0.0,0.0,9689420000000.0,,256 24,fail
85,0,0.0,0.0,11304300000000.0,,256 28,fail
86,0,0.0,0.0,12919200000000.0,,256 32,fail
87,0,0.0,0.0,14534100000000.0,,256 36,fail
88,0,0.0,0.0,16149000000000.0,,256 40,fail
89,0,0.0,0.0,17763900000000.0,,256 44,fail
90,0,0.0,0.0,19378800000000.0,,256 48,fail
91,0,0.0,0.0,6459620000000.0,,256 16,fail
92,0,0.0,0.0,8074520000000.0,,256 20,fail
93,0,0.0,0.0,9689420000000.0,,256 24,fail
94,0,0.0,0.0,11304300000000.0,,256 28,fail
95,0,0.0,0.0,12919200000000.0,,256 32,fail
96,0,0.0,0.0,14534100000000.0,,256 36,fail
97,0,0.0,0.0,16149000000000.0,,256 40,fail
98,0,0.0,0.0,17763900000000.0,,256 44,fail
99,0,0.0,0.0,19378800000000.0,,256 48,fail
100,0,0.0,0.0,6459620000000.0,,256 16,fail
101,0,0.0,0.0,8074520000000.0,,256 20,fail
102,0,0.0,0.0,9689420000000.0,,256 24,fail
103,0,0.0,0.0,11304300000000.0,,256 28,fail
104,0,0.0,0.0,12919200000000.0,,256 32,fail
105,0,0.0,0.0,14534100000000.0,,256 36,fail
106,0,0.0,0.0,16149000000000.0,,256 40,fail
107,0,0.0,0.0,17763900000000.0,,256 44,fail
108,0,0.0,0.0,19378800000000.0,,256 48,fail
109,0,0.0,0.0,6459620000000.0,,256 16,fail
110,0,0.0,0.0,8074520000000.0,,256 20,fail
111,0,0.0,0.0,9689420000000.0,,256 24,fail
112,0,0.0,0.0,11304300000000.0,,256 28,fail
