DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,63,222806636.19564432,29420072566.30082,12159.589269055636,2133347757.362454,24 64,pass
1,19,87309741.14859995,18122499655.14251,7596.3915870469855,652997027.4481666,6 48,pass
2,19,87310753.51223631,18122499655.14251,7596.3915870469855,652997027.4481666,6 44,pass
3,19,87311968.34859996,18122499655.14251,7596.3915870469855,652997027.4481666,6 40,pass
4,19,87313453.14859995,18122499655.14251,7596.3915870469855,652997027.4481666,6 36,pass
5,19,87315309.14859995,18122499655.14251,7596.3915870469855,652997027.4481666,6 32,pass
6,19,87317695.43431424,18122499655.14251,7596.3915870469855,652997027.4481666,6 28,pass
7,19,87320877.14859995,18122499655.14251,7596.3915870469855,652997027.4481666,6 24,pass
8,19,87325331.54859996,18122499655.14251,7596.3915870469855,652997027.4481666,6 20,pass
9,19,87332013.14859995,18122499655.14251,7596.3915870469855,652997027.4481666,6 16,pass
10,33,161017824.9009517,19646512423.21665,8141.695100567413,1200983410.5925195,7 48,pass
11,33,161018837.2645881,19646512423.21665,8141.695100567413,1200983410.5925195,7 44,pass
12,33,161020052.10095173,19646512423.21665,8141.695100567413,1200983410.5925195,7 40,pass
13,33,161021536.9009517,19646512423.21665,8141.695100567413,1200983410.5925195,7 36,pass
14,33,161023392.9009517,19646512423.21665,8141.695100567413,1200983410.5925195,7 32,pass
15,33,161025779.186666,19646512423.21665,8141.695100567413,1200983410.5925195,7 28,pass
16,33,161028960.9009517,19646512423.21665,8141.695100567413,1200983410.5925195,7 24,pass
17,33,161033415.30095172,19646512423.21665,8141.695100567413,1200983410.5925195,7 20,pass
18,33,161040096.9009517,19646512423.21665,8141.695100567413,1200983410.5925195,7 16,pass
19,33,161017824.9009517,19646512423.21665,8141.695100567413,1200983410.5925195,8 48,pass
20,33,161018837.2645881,19646512423.21665,8141.695100567413,1200983410.5925195,8 44,pass
21,33,161020052.10095173,19646512423.21665,8141.695100567413,1200983410.5925195,8 40,pass
22,33,161021536.9009517,19646512423.21665,8141.695100567413,1200983410.5925195,8 36,pass
23,33,161023392.9009517,19646512423.21665,8141.695100567413,1200983410.5925195,8 32,pass
24,33,161025779.186666,19646512423.21665,8141.695100567413,1200983410.5925195,8 28,pass
25,33,161028960.9009517,19646512423.21665,8141.695100567413,1200983410.5925195,8 24,pass
26,33,161033415.30095172,19646512423.21665,8141.695100567413,1200983410.5925195,8 20,pass
27,33,161040096.9009517,19646512423.21665,8141.695100567413,1200983410.5925195,8 16,pass
28,34,161482851.10116452,21932531575.327866,9107.588874498717,1331903568.4471302,9 48,pass
29,34,161483863.4648009,21932531575.327866,9107.588874498717,1331903568.4471302,9 44,pass
30,34,161485078.30116454,21932531575.327866,9107.588874498717,1331903568.4471302,9 40,pass
31,34,161486563.10116452,21932531575.327866,9107.588874498717,1331903568.4471302,9 36,pass
32,34,161488419.10116452,21932531575.327866,9107.588874498717,1331903568.4471302,9 32,pass
33,34,161490805.38687882,21932531575.327866,9107.588874498717,1331903568.4471302,9 28,pass
34,34,161493987.10116452,21932531575.327866,9107.588874498717,1331903568.4471302,9 24,pass
35,34,161498441.50116453,21932531575.327866,9107.588874498717,1331903568.4471302,9 20,pass
36,34,161505123.10116452,21932531575.327866,9107.588874498717,1331903568.4471302,9 16,pass
37,34,161482851.10116452,21932531575.327866,9107.588874498717,1331903568.4471302,10 48,pass
38,34,161483863.4648009,21932531575.327866,9107.588874498717,1331903568.4471302,10 44,pass
39,34,161485078.30116454,21932531575.327866,9107.588874498717,1331903568.4471302,10 40,pass
40,34,161486563.10116452,21932531575.327866,9107.588874498717,1331903568.4471302,10 36,pass
41,34,161488419.10116452,21932531575.327866,9107.588874498717,1331903568.4471302,10 32,pass
42,34,161490805.38687882,21932531575.327866,9107.588874498717,1331903568.4471302,10 28,pass
43,34,161493987.10116452,21932531575.327866,9107.588874498717,1331903568.4471302,10 24,pass
44,34,161498441.50116453,21932531575.327866,9107.588874498717,1331903568.4471302,10 20,pass
45,34,161505123.10116452,21932531575.327866,9107.588874498717,1331903568.4471302,10 16,pass
46,35,161947877.30137733,24218550727.439075,10073.482648430016,1462823726.301741,11 48,pass
47,35,161948889.6650137,24218550727.439075,10073.482648430016,1462823726.301741,11 44,pass
48,35,161950104.50137734,24218550727.439075,10073.482648430016,1462823726.301741,11 40,pass
49,35,161951589.30137733,24218550727.439075,10073.482648430016,1462823726.301741,11 36,pass
50,35,161953445.30137733,24218550727.439075,10073.482648430016,1462823726.301741,11 32,pass
51,35,161955831.58709162,24218550727.439075,10073.482648430016,1462823726.301741,11 28,pass
52,35,161959013.30137733,24218550727.439075,10073.482648430016,1462823726.301741,11 24,pass
53,35,161963467.70137733,24218550727.439075,10073.482648430016,1462823726.301741,11 20,pass
54,35,161970149.30137733,24218550727.439075,10073.482648430016,1462823726.301741,11 16,pass
55,36,162412903.50159013,26504569879.55029,11039.376422361318,1593743884.1563516,12 48,pass
56,36,162413915.8652265,26504569879.55029,11039.376422361318,1593743884.1563516,12 44,pass
57,36,162415130.70159015,26504569879.55029,11039.376422361318,1593743884.1563516,12 40,pass
58,36,162416615.50159013,26504569879.55029,11039.376422361318,1593743884.1563516,12 36,pass
59,36,162418471.50159013,26504569879.55029,11039.376422361318,1593743884.1563516,12 32,pass
60,36,162420857.78730443,26504569879.55029,11039.376422361318,1593743884.1563516,12 28,pass
61,36,162424039.50159013,26504569879.55029,11039.376422361318,1593743884.1563516,12 24,pass
62,36,162428493.90159014,26504569879.55029,11039.376422361318,1593743884.1563516,12 20,pass
63,36,162435175.50159013,26504569879.55029,11039.376422361318,1593743884.1563516,12 16,pass
64,43,197501564.6245752,28127974784.67274,11702.746723874396,2038123352.3331192,13 48,fail
65,43,197502576.9882115,28127974784.67274,11702.746723874396,2038123352.3331192,13 44,fail
66,43,197503791.8245752,28127974784.67274,11702.746723874396,2038123352.3331192,13 40,fail
67,43,197505276.6245752,28127974784.67274,11702.746723874396,2038123352.3331192,13 36,fail
68,43,197507132.6245752,28127974784.67274,11702.746723874396,2038123352.3331192,13 32,fail
69,43,197509518.91028944,28127974784.67274,11702.746723874396,2038123352.3331192,13 28,fail
70,43,197512700.6245752,28127974784.67274,11702.746723874396,2038123352.3331192,13 24,fail
71,43,197517155.0245752,28127974784.67274,11702.746723874396,2038123352.3331192,13 20,fail
72,43,197523836.6245752,28127974784.67274,11702.746723874396,2038123352.3331192,13 16,fail
73,63,222957816.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 48,fail
74,63,223012791.42291704,29420072566.30082,12159.589269055636,2133347757.362454,14 44,fail
75,63,223078761.09564435,29420072566.30082,12159.589269055636,2133347757.362454,14 40,fail
76,63,223159390.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 36,fail
77,63,223260177.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 32,fail
78,63,223389760.98135865,29420072566.30082,12159.589269055636,2133347757.362454,14 28,fail
79,63,223562538.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 24,fail
80,63,223804427.4956443,29420072566.30082,12159.589269055636,2133347757.362454,14 20,fail
81,63,224167260.69564432,29420072566.30082,12159.589269055636,2133347757.362454,14 16,fail
82,63,222957816.69564432,29420072566.30082,12159.589269055636,2133347757.362454,15 48,fail
83,63,223012791.42291704,29420072566.30082,12159.589269055636,2133347757.362454,15 44,fail
84,63,223078761.09564435,29420072566.30082,12159.589269055636,2133347757.362454,15 40,fail
85,63,223159390.69564432,29420072566.30082,12159.589269055636,2133347757.362454,15 36,fail
86,63,223260177.69564432,29420072566.30082,12159.589269055636,2133347757.362454,15 32,fail
87,63,223389760.98135865,29420072566.30082,12159.589269055636,2133347757.362454,15 28,fail
88,63,223562538.69564432,29420072566.30082,12159.589269055636,2133347757.362454,15 24,fail
89,63,223804427.4956443,29420072566.30082,12159.589269055636,2133347757.362454,15 20,fail
90,63,224167260.69564432,29420072566.30082,12159.589269055636,2133347757.362454,15 16,fail
91,63,222957816.69564432,29420072566.30082,12159.589269055636,2133347757.362454,16 48,fail
92,63,223012791.42291704,29420072566.30082,12159.589269055636,2133347757.362454,16 44,fail
93,63,223078761.09564435,29420072566.30082,12159.589269055636,2133347757.362454,16 40,fail
94,63,223159390.69564432,29420072566.30082,12159.589269055636,2133347757.362454,16 36,fail
95,63,223260177.69564432,29420072566.30082,12159.589269055636,2133347757.362454,16 32,fail
96,63,223389760.98135865,29420072566.30082,12159.589269055636,2133347757.362454,16 28,fail
97,63,223562538.69564432,29420072566.30082,12159.589269055636,2133347757.362454,16 24,fail
98,63,223804427.4956443,29420072566.30082,12159.589269055636,2133347757.362454,16 20,fail
99,63,224167260.69564432,29420072566.30082,12159.589269055636,2133347757.362454,16 16,fail
100,63,222957816.69564432,29420072566.30082,12159.589269055636,2133347757.362454,17 48,fail
101,63,223012791.42291704,29420072566.30082,12159.589269055636,2133347757.362454,17 44,fail
102,63,223078761.09564435,29420072566.30082,12159.589269055636,2133347757.362454,17 40,fail
103,63,223159390.69564432,29420072566.30082,12159.589269055636,2133347757.362454,17 36,fail
104,63,223260177.69564432,29420072566.30082,12159.589269055636,2133347757.362454,17 32,fail
105,63,223389760.98135865,29420072566.30082,12159.589269055636,2133347757.362454,17 28,fail
106,63,223562538.69564432,29420072566.30082,12159.589269055636,2133347757.362454,17 24,fail
107,63,223804427.4956443,29420072566.30082,12159.589269055636,2133347757.362454,17 20,fail
108,63,224167260.69564432,29420072566.30082,12159.589269055636,2133347757.362454,17 16,fail
109,63,222957816.69564432,29420072566.30082,12159.589269055636,2133347757.362454,18 48,fail
110,63,223012791.42291704,29420072566.30082,12159.589269055636,2133347757.362454,18 44,fail
111,63,223078761.09564435,29420072566.30082,12159.589269055636,2133347757.362454,18 40,fail
112,63,223159390.69564432,29420072566.30082,12159.589269055636,2133347757.362454,18 36,fail
113,63,223260177.69564432,29420072566.30082,12159.589269055636,2133347757.362454,18 32,fail
114,63,223389760.98135865,29420072566.30082,12159.589269055636,2133347757.362454,18 28,fail
115,63,223562538.69564432,29420072566.30082,12159.589269055636,2133347757.362454,18 24,fail
116,63,223804427.4956443,29420072566.30082,12159.589269055636,2133347757.362454,18 20,fail
