DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,63,833175.0,324990.323,410461000000000.0,3225770000.0,4096 64,pass
1,41,225834.375,140394.517,25690900000000.0,201903000.0,1024 16,pass
2,41,225834.375,140394.517,32113400000000.0,252378000.0,1024 20,pass
3,41,225834.375,140394.517,38536000000000.0,302853000.0,1024 24,pass
4,41,225834.375,140394.517,44958600000000.0,353328000.0,1024 28,pass
5,41,225834.375,140394.517,51381200000000.0,403803341.4634146,1024 32,pass
6,41,225834.375,140394.517,57803700000000.0,454279000.0,1024 36,pass
7,41,225834.375,140394.517,64226300000000.0,504754000.0,1024 40,pass
8,41,225834.375,140394.517,70648900000000.0,555229000.0,1024 44,pass
9,41,225834.375,140394.517,77071500000000.0,605704000.0,1024 48,pass
10,25,54007.5,75587.467,25690900000000.0,201903000.0,1024 16,pass
11,25,54007.5,75587.467,32113400000000.0,252378000.0,1024 20,pass
12,25,54007.5,75587.467,38536000000000.0,302853000.0,1024 24,pass
13,25,54007.5,75587.467,44958600000000.0,353328000.0,1024 28,pass
14,25,54007.5,75587.467,51381200000000.0,403803440.0,1024 32,pass
15,25,54007.5,75587.467,57803700000000.0,454279000.0,1024 36,pass
16,25,54007.5,75587.467,64226300000000.0,504754000.0,1024 40,pass
17,25,54007.5,75587.467,70648900000000.0,555229000.0,1024 44,pass
18,25,54007.5,75587.467,77071500000000.0,605704000.0,1024 48,pass
19,19,21346.875,63780.827,25690900000000.0,201903000.0,1024 16,pass
20,19,21346.875,63780.827,32113400000000.0,252378000.0,1024 20,pass
21,19,21346.875,63780.827,38536000000000.0,302853000.0,1024 24,pass
22,19,21346.875,63780.827,44958600000000.0,353328000.0,1024 28,pass
23,19,21346.875,63780.827,51381200000000.0,403803473.68421054,1024 32,pass
24,19,21346.875,63780.827,57803700000000.0,454279000.0,1024 36,pass
25,19,21346.875,63780.827,64226300000000.0,504754000.0,1024 40,pass
26,19,21346.875,63780.827,70648900000000.0,555229000.0,1024 44,pass
27,19,21346.875,63780.827,77071500000000.0,605704000.0,1024 48,pass
28,17,16486.875,59257.827,25690900000000.0,201903000.0,1024 16,pass
29,17,16486.875,59257.827,32113400000000.0,252378000.0,1024 20,pass
30,17,16486.875,59257.827,38536000000000.0,302853000.0,1024 24,pass
31,17,16486.875,59257.827,44958600000000.0,353328000.0,1024 28,pass
32,17,16486.875,59257.827,51381200000000.0,403803411.7647059,1024 32,pass
33,17,16486.875,59257.827,57803700000000.0,454279000.0,1024 36,pass
34,17,16486.875,59257.827,64226300000000.0,504754000.0,1024 40,pass
35,17,16486.875,59257.827,70648900000000.0,555229000.0,1024 44,pass
36,17,16486.875,59257.827,77071500000000.0,605704000.0,1024 48,pass
37,16,14056.875,56996.32699999999,25690900000000.0,201903000.0,1024 16,pass
38,16,14056.875,56996.32699999999,32113400000000.0,252378000.0,1024 20,pass
39,16,14056.875,56996.32699999999,38536000000000.0,302853000.0,1024 24,pass
