DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,63,222806636.19564432,29420072566.30082,12159.589269055636,2133347757.362454,30 64,pass
1,22,171326305.34599447,1027052082.8325737,279.56985664014263,534370739.4244753,3 48,pass
2,22,171326305.34599447,1027052082.8325737,279.56985664014263,534370739.4244753,3 44,pass
3,22,171326305.34599447,1027052082.8325737,279.56985664014263,534370739.4244753,3 40,pass
4,22,171326305.34599447,1027052082.8325737,279.56985664014263,534370739.4244753,3 36,pass
5,22,171326305.34599447,1027052082.8325737,279.56985664014263,534370739.4244753,3 32,pass
6,22,171326305.34599447,1027052082.8325737,279.56985664014263,534370739.4244753,3 28,pass
7,22,171326305.34599447,1027052082.8325737,279.56985664014263,534370739.4244753,3 24,pass
8,22,171326305.34599447,1027052082.8325737,279.56985664014263,534370739.4244753,3 20,pass
9,22,171326305.34599447,1027052082.8325737,279.56985664014263,534370739.4244753,3 16,pass
10,38,204061904.66387087,1921581316.2673965,559.6957452782899,890006741.3516319,4 48,pass
11,38,204061904.66387087,1921581316.2673965,559.6957452782899,890006741.3516319,4 44,pass
12,38,204061904.66387087,1921581316.2673965,559.6957452782899,890006741.3516319,4 40,pass
13,38,204061904.66387087,1921581316.2673965,559.6957452782899,890006741.3516319,4 36,pass
14,38,204061904.66387087,1921581316.2673965,559.6957452782899,890006741.3516319,4 32,pass
15,38,204061904.66387087,1921581316.2673965,559.6957452782899,890006741.3516319,4 28,pass
16,38,204061904.66387087,1921581316.2673965,559.6957452782899,890006741.3516319,4 24,pass
17,38,204061904.66387087,1921581316.2673965,559.6957452782899,890006741.3516319,4 20,pass
18,38,204061904.66387087,1921581316.2673965,559.6957452782899,890006741.3516319,4 16,pass
19,44,210549961.4170631,2551064850.906717,805.88785178386,1009711657.7242184,5 48,pass
20,44,210570487.9625176,2551064850.906717,805.88785178386,1009711657.7242184,5 44,pass
21,44,210595119.81706303,2551064850.906717,805.88785178386,1009711657.7242184,5 40,pass
22,44,210625225.4170631,2551064850.906717,805.88785178386,1009711657.7242184,5 36,pass
23,44,210662857.4170631,2551064850.906717,805.88785178386,1009711657.7242184,5 32,pass
24,44,210711241.4170631,2551064850.906717,805.88785178386,1009711657.7242184,5 28,pass
