DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,63,40427085.0,1523618.0569999998,410461000000000.0,3225770000.0,4096 64,pass
1,60,28599885.0,1275081.957,25690900000000.0,201903000.0,1024 16,pass
2,60,28599885.0,1275081.957,32113400000000.0,252378000.0,1024 20,pass
3,60,28599885.0,1275081.957,38536000000000.0,302853016.6666667,1024 24,pass
4,60,28599885.0,1275081.957,44958600000000.0,353328016.6666667,1024 28,pass
5,60,28599885.0,1275081.957,51381200000000.0,403803833.3333333,1024 32,pass
6,60,28599885.0,1275081.957,57803700000000.0,454279000.0,1024 36,pass
7,60,28599885.0,1275081.957,64226300000000.0,504754000.0,1024 40,pass
8,60,28599885.0,1275081.957,70648900000000.0,555229016.6666666,1024 44,pass
9,60,28599885.0,1275081.957,77071500000000.0,605704016.6666666,1024 48,pass
10,35,2391885.0,264350.05700000003,25690900000000.0,201903000.0,1024 16,pass
11,35,2391885.0,264350.05700000003,32113400000000.0,252378000.0,1024 20,pass
12,35,2391885.0,264350.05700000003,38536000000000.0,302853028.5714286,1024 24,pass
13,35,2391885.0,264350.05700000003,44958600000000.0,353328028.5714286,1024 28,pass
14,35,2391885.0,264350.05700000003,51381200000000.0,403803714.2857143,1024 32,pass
15,35,2391885.0,264350.05700000003,57803700000000.0,454279000.0,1024 36,pass
16,35,2391885.0,264350.05700000003,64226300000000.0,504754000.0,1024 40,pass
17,35,2391885.0,264350.05700000003,70648900000000.0,555229028.5714285,1024 44,pass
18,35,2391885.0,264350.05700000003,77071500000000.0,605704028.5714285,1024 48,pass
19,19,21414.375,23003.627000000004,25690900000000.0,201903000.0,1024 16,pass
20,19,21414.375,23003.627000000004,32113400000000.0,252378000.0,1024 20,pass
21,19,21414.375,23003.627000000004,38536000000000.0,302853000.0,1024 24,pass
22,19,21414.375,23003.627000000004,44958600000000.0,353328000.0,1024 28,pass
23,19,21414.375,23003.627000000004,51381200000000.0,403803526.3157895,1024 32,pass
24,19,21414.375,23003.627000000004,57803700000000.0,454279000.0,1024 36,pass
25,19,21414.375,23003.627000000004,64226300000000.0,504754000.0,1024 40,pass
26,19,21414.375,23003.627000000004,70648900000000.0,555229000.0,1024 44,pass
27,19,21414.375,23003.627000000004,77071500000000.0,605704000.0,1024 48,pass
28,17,16554.375,18480.627,25690900000000.0,201903000.0,1024 16,pass
29,17,16554.375,18480.627,32113400000000.0,252378000.0,1024 20,pass
30,17,16554.375,18480.627,38536000000000.0,302853000.0,1024 24,pass
31,17,16554.375,18480.627,44958600000000.0,353328000.0,1024 28,pass
32,17,16554.375,18480.627,51381200000000.0,403803470.5882353,1024 32,pass
33,17,16554.375,18480.627,57803700000000.0,454279000.0,1024 36,pass
34,17,16554.375,18480.627,64226300000000.0,504754000.0,1024 40,pass
35,17,16554.375,18480.627,70648900000000.0,555229000.0,1024 44,pass
36,17,16554.375,18480.627,77071500000000.0,605704000.0,1024 48,pass
37,15,11694.375,13957.627,25690900000000.0,201903000.0,1024 16,pass
38,15,11694.375,13957.627,32113400000000.0,252378000.0,1024 20,pass
39,15,11694.375,13957.627,38536000000000.0,302853000.0,1024 24,pass
40,15,11694.375,13957.627,44958600000000.0,353328000.0,1024 28,pass
41,15,11694.375,13957.627,51381200000000.0,403803400.0,1024 32,pass
42,15,11694.375,13957.627,57803700000000.0,454279000.0,1024 36,pass
43,15,11694.375,13957.627,64226300000000.0,504754000.0,1024 40,pass
44,15,11694.375,13957.627,70648900000000.0,555229000.0,1024 44,pass
45,15,11694.375,13957.627,77071500000000.0,605704000.0,1024 48,pass
46,14,9264.375,10565.067,25690900000000.0,201903000.0,1024 16,pass
47,14,9264.375,10565.067,32113400000000.0,252378000.0,1024 20,pass
48,14,9264.375,10565.067,38536000000000.0,302853000.0,1024 24,pass
49,14,9264.375,10565.067,44958600000000.0,353328000.0,1024 28,pass
50,14,9264.375,10565.067,51381200000000.0,403803357.14285713,1024 32,pass
51,14,9264.375,10565.067,57803700000000.0,454279000.0,1024 36,pass
52,14,9264.375,10565.067,64226300000000.0,504754000.0,1024 40,pass
53,14,9264.375,10565.067,70648900000000.0,555229000.0,1024 44,pass
54,14,9264.375,10565.067,77071500000000.0,605704000.0,1024 48,pass
55,10,3286.875,4901.751,25690900000000.0,201903000.0,1024 16,fail
56,10,3286.875,4901.751,32113400000000.0,252378000.0,1024 20,fail
57,10,3286.875,4901.751,38536000000000.0,302853000.0,1024 24,fail
58,10,3286.875,4901.751,44958600000000.0,353328000.0,1024 28,fail
59,10,3286.875,4901.751,51381200000000.0,403803300.0,1024 32,fail
60,10,3286.875,4901.751,57803700000000.0,454279000.0,1024 36,fail
61,10,3286.875,4901.751,64226300000000.0,504754000.0,1024 40,fail
62,10,3286.875,4901.751,70648900000000.0,555229000.0,1024 44,fail
63,10,3286.875,4901.751,77071500000000.0,605704000.0,1024 48,fail
64,10,3286.875,4901.751,25690900000000.0,201903000.0,1024 16,fail
65,10,3286.875,4901.751,32113400000000.0,252378000.0,1024 20,fail
66,10,3286.875,4901.751,38536000000000.0,302853000.0,1024 24,fail
67,10,3286.875,4901.751,44958600000000.0,353328000.0,1024 28,fail
68,10,3286.875,4901.751,51381200000000.0,403803300.0,1024 32,fail
69,10,3286.875,4901.751,57803700000000.0,454279000.0,1024 36,fail
70,10,3286.875,4901.751,64226300000000.0,504754000.0,1024 40,fail
71,10,3286.875,4901.751,70648900000000.0,555229000.0,1024 44,fail
72,10,3286.875,4901.751,77071500000000.0,605704000.0,1024 48,fail
73,9,2865.0,3716.231,25690900000000.0,201903000.0,1024 16,fail
74,9,2865.0,3716.231,32113400000000.0,252378000.0,1024 20,fail
