DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,63,41378190.0,2897883.105,410461000000000.0,3225770000.0,4096 64,pass
1,60,29570190.0,2521244.605,25690900000000.0,201903000.0,1024 16,pass
2,60,29570190.0,2521244.605,32113400000000.0,252378000.0,1024 20,pass
3,60,29570190.0,2521244.605,38536000000000.0,302853000.0,1024 24,pass
4,60,29570190.0,2521244.605,44958600000000.0,353328000.0,1024 28,pass
5,60,29570190.0,2521244.605,51381200000000.0,403803300.0,1024 32,pass
6,60,29570190.0,2521244.605,57803700000000.0,454279000.0,1024 36,pass
7,60,29570190.0,2521244.605,64226300000000.0,504754000.0,1024 40,pass
8,60,29570190.0,2521244.605,70648900000000.0,555229000.0,1024 44,pass
9,60,29570190.0,2521244.605,77071500000000.0,605704000.0,1024 48,pass
10,36,3805710.0,532457.5049999999,25690900000000.0,201903000.0,1024 16,pass
11,36,3805710.0,532457.5049999999,32113400000000.0,252378000.0,1024 20,pass
12,36,3805710.0,532457.5049999999,38536000000000.0,302853000.0,1024 24,pass
13,36,3805710.0,532457.5049999999,44958600000000.0,353328000.0,1024 28,pass
14,36,3805710.0,532457.5049999999,51381200000000.0,403803500.0,1024 32,pass
15,36,3805710.0,532457.5049999999,57803700000000.0,454279000.0,1024 36,pass
16,36,3805710.0,532457.5049999999,64226300000000.0,504754000.0,1024 40,pass
17,36,3805710.0,532457.5049999999,70648900000000.0,555229000.0,1024 44,pass
18,36,3805710.0,532457.5049999999,77071500000000.0,605704000.0,1024 48,pass
19,27,1398030.0,131637.905,25690900000000.0,201903000.0,1024 16,pass
20,27,1398030.0,131637.905,32113400000000.0,252378000.0,1024 20,pass
21,27,1398030.0,131637.905,38536000000000.0,302853000.0,1024 24,pass
22,27,1398030.0,131637.905,44958600000000.0,353328000.0,1024 28,pass
23,27,1398030.0,131637.905,51381200000000.0,403803592.5925926,1024 32,pass
24,27,1398030.0,131637.905,57803700000000.0,454279000.0,1024 36,pass
25,27,1398030.0,131637.905,64226300000000.0,504754000.0,1024 40,pass
26,27,1398030.0,131637.905,70648900000000.0,555229000.0,1024 44,pass
27,27,1398030.0,131637.905,77071500000000.0,605704000.0,1024 48,pass
28,26,1281390.0,129109.945,25690900000000.0,201903000.0,1024 16,pass
29,26,1281390.0,129109.945,32113400000000.0,252378000.0,1024 20,pass
30,26,1281390.0,129109.945,38536000000000.0,302853000.0,1024 24,pass
31,26,1281390.0,129109.945,44958600000000.0,353328000.0,1024 28,pass
32,26,1281390.0,129109.945,51381200000000.0,403803576.9230769,1024 32,pass
33,26,1281390.0,129109.945,57803700000000.0,454279000.0,1024 36,pass
34,26,1281390.0,129109.945,64226300000000.0,504754000.0,1024 40,pass
35,26,1281390.0,129109.945,70648900000000.0,555229000.0,1024 44,pass
36,26,1281390.0,129109.945,77071500000000.0,605704000.0,1024 48,pass
37,21,799650.0,33112.344999999994,25690900000000.0,201903000.0,1024 16,pass
38,21,799650.0,33112.344999999994,32113400000000.0,252378000.0,1024 20,pass
39,21,799650.0,33112.344999999994,38536000000000.0,302853000.0,1024 24,pass
40,21,799650.0,33112.344999999994,44958600000000.0,353328000.0,1024 28,pass
41,21,799650.0,33112.344999999994,51381200000000.0,403803523.8095238,1024 32,pass
42,21,799650.0,33112.344999999994,57803700000000.0,454279000.0,1024 36,pass
43,21,799650.0,33112.344999999994,64226300000000.0,504754000.0,1024 40,pass
44,21,799650.0,33112.344999999994,70648900000000.0,555229000.0,1024 44,pass
45,21,799650.0,33112.344999999994,77071500000000.0,605704000.0,1024 48,pass
46,21,799650.0,33112.344999999994,25690900000000.0,201903000.0,1024 16,pass
47,21,799650.0,33112.344999999994,32113400000000.0,252378000.0,1024 20,pass
48,21,799650.0,33112.344999999994,38536000000000.0,302853000.0,1024 24,pass
49,21,799650.0,33112.344999999994,44958600000000.0,353328000.0,1024 28,pass
50,21,799650.0,33112.344999999994,51381200000000.0,403803523.8095238,1024 32,pass
51,21,799650.0,33112.344999999994,57803700000000.0,454279000.0,1024 36,pass
52,21,799650.0,33112.344999999994,64226300000000.0,504754000.0,1024 40,pass
53,21,799650.0,33112.344999999994,70648900000000.0,555229000.0,1024 44,pass
54,21,799650.0,33112.344999999994,77071500000000.0,605704000.0,1024 48,pass
55,20,718650.0,32208.83299999999,25690900000000.0,201903000.0,1024 16,pass
56,20,718650.0,32208.83299999999,32113400000000.0,252378000.0,1024 20,pass
57,20,718650.0,32208.83299999999,38536000000000.0,302853000.0,1024 24,pass
58,20,718650.0,32208.83299999999,44958600000000.0,353328000.0,1024 28,pass
59,20,718650.0,32208.83299999999,51381200000000.0,403803500.0,1024 32,pass
