DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,63,3932808.75,1587137.9300000002,410461000000000.0,3225770000.0,4096 64,pass
1,60,3231727.5,1329432.33,25690900000000.0,201903000.0,1024 16,pass
2,60,3231727.5,1329432.33,32113400000000.0,252378000.0,1024 20,pass
3,60,3231727.5,1329432.33,38536000000000.0,302853000.0,1024 24,pass
4,60,3231727.5,1329432.33,44958600000000.0,353328000.0,1024 28,pass
5,60,3231727.5,1329432.33,51381200000000.0,403803300.0,1024 32,pass
6,60,3231727.5,1329432.33,57803700000000.0,454279000.0,1024 36,pass
7,60,3231727.5,1329432.33,64226300000000.0,504754000.0,1024 40,pass
8,60,3231727.5,1329432.33,70648900000000.0,555229000.0,1024 44,pass
9,60,3231727.5,1329432.33,77071500000000.0,605704000.0,1024 48,pass
10,54,2470507.5,1108010.13,25690900000000.0,201903000.0,1024 16,pass
11,54,2470507.5,1108010.13,32113400000000.0,252378000.0,1024 20,pass
12,54,2470507.5,1108010.13,38536000000000.0,302853000.0,1024 24,pass
13,54,2470507.5,1108010.13,44958600000000.0,353328000.0,1024 28,pass
14,54,2470507.5,1108010.13,51381200000000.0,403803314.8148148,1024 32,pass
15,54,2470507.5,1108010.13,57803700000000.0,454279000.0,1024 36,pass
16,54,2470507.5,1108010.13,64226300000000.0,504754000.0,1024 40,pass
17,54,2470507.5,1108010.13,70648900000000.0,555229000.0,1024 44,pass
18,54,2470507.5,1108010.13,77071500000000.0,605704000.0,1024 48,pass
19,54,2470507.5,1108010.13,25690900000000.0,201903000.0,1024 16,pass
20,54,2470507.5,1108010.13,32113400000000.0,252378000.0,1024 20,pass
21,54,2470507.5,1108010.13,38536000000000.0,302853000.0,1024 24,pass
22,54,2470507.5,1108010.13,44958600000000.0,353328000.0,1024 28,pass
23,54,2470507.5,1108010.13,51381200000000.0,403803314.8148148,1024 32,pass
24,54,2470507.5,1108010.13,57803700000000.0,454279000.0,1024 36,pass
25,54,2470507.5,1108010.13,64226300000000.0,504754000.0,1024 40,pass
26,54,2470507.5,1108010.13,70648900000000.0,555229000.0,1024 44,pass
27,54,2470507.5,1108010.13,77071500000000.0,605704000.0,1024 48,pass
28,53,2353867.5,1104802.1000000003,25690900000000.0,201903000.0,1024 16,pass
29,53,2353867.5,1104802.1000000003,32113400000000.0,252378000.0,1024 20,pass
30,53,2353867.5,1104802.1000000003,38536000000000.0,302853000.0,1024 24,pass
31,53,2353867.5,1104802.1000000003,44958600000000.0,353328000.0,1024 28,pass
32,53,2353867.5,1104802.1000000003,51381200000000.0,403803301.8867925,1024 32,pass
33,53,2353867.5,1104802.1000000003,57803700000000.0,454279000.0,1024 36,pass
34,53,2353867.5,1104802.1000000003,64226300000000.0,504754000.0,1024 40,pass
35,53,2353867.5,1104802.1000000003,70648900000000.0,555229000.0,1024 44,pass
36,53,2353867.5,1104802.1000000003,77071500000000.0,605704000.0,1024 48,pass
37,44,1526047.5,792603.81,25690900000000.0,201903000.0,1024 16,pass
38,44,1526047.5,792603.81,32113400000000.0,252378000.0,1024 20,pass
39,44,1526047.5,792603.81,38536000000000.0,302853000.0,1024 24,pass
40,44,1526047.5,792603.81,44958600000000.0,353328000.0,1024 28,pass
41,44,1526047.5,792603.81,51381200000000.0,403803272.7272728,1024 32,pass
42,44,1526047.5,792603.81,57803700000000.0,454279000.0,1024 36,pass
43,44,1526047.5,792603.81,64226300000000.0,504754000.0,1024 40,pass
44,44,1526047.5,792603.81,70648900000000.0,555229000.0,1024 44,pass
45,44,1526047.5,792603.81,77071500000000.0,605704000.0,1024 48,pass
46,44,1526047.5,792603.81,25690900000000.0,201903000.0,1024 16,pass
47,44,1526047.5,792603.81,32113400000000.0,252378000.0,1024 20,pass
48,44,1526047.5,792603.81,38536000000000.0,302853000.0,1024 24,pass
49,44,1526047.5,792603.81,44958600000000.0,353328000.0,1024 28,pass
50,44,1526047.5,792603.81,51381200000000.0,403803272.7272728,1024 32,pass
51,44,1526047.5,792603.81,57803700000000.0,454279000.0,1024 36,pass
52,44,1526047.5,792603.81,64226300000000.0,504754000.0,1024 40,pass
53,44,1526047.5,792603.81,70648900000000.0,555229000.0,1024 44,pass
54,44,1526047.5,792603.81,77071500000000.0,605704000.0,1024 48,pass
55,43,1445047.5,791539.0200000001,25690900000000.0,201903000.0,1024 16,pass
56,43,1445047.5,791539.0200000001,32113400000000.0,252378000.0,1024 20,pass
57,43,1445047.5,791539.0200000001,38536000000000.0,302853000.0,1024 24,pass
58,43,1445047.5,791539.0200000001,44958600000000.0,353328000.0,1024 28,pass
59,43,1445047.5,791539.0200000001,51381200000000.0,403803255.8139535,1024 32,pass
60,43,1445047.5,791539.0200000001,57803700000000.0,454279000.0,1024 36,pass
61,43,1445047.5,791539.0200000001,64226300000000.0,504754000.0,1024 40,pass
62,43,1445047.5,791539.0200000001,70648900000000.0,555229000.0,1024 44,pass
63,43,1445047.5,791539.0200000001,77071500000000.0,605704000.0,1024 48,pass
64,43,1445047.5,791539.0200000001,25690900000000.0,201903000.0,1024 16,pass
65,43,1445047.5,791539.0200000001,32113400000000.0,252378000.0,1024 20,pass
66,43,1445047.5,791539.0200000001,38536000000000.0,302853000.0,1024 24,pass
67,43,1445047.5,791539.0200000001,44958600000000.0,353328000.0,1024 28,pass
68,43,1445047.5,791539.0200000001,51381200000000.0,403803255.8139535,1024 32,pass
69,43,1445047.5,791539.0200000001,57803700000000.0,454279000.0,1024 36,pass
70,43,1445047.5,791539.0200000001,64226300000000.0,504754000.0,1024 40,pass
71,43,1445047.5,791539.0200000001,70648900000000.0,555229000.0,1024 44,pass
72,43,1445047.5,791539.0200000001,77071500000000.0,605704000.0,1024 48,pass
73,42,1364047.5,790474.2300000001,25690900000000.0,201903000.0,1024 16,pass
74,42,1364047.5,790474.2300000001,32113400000000.0,252378000.0,1024 20,pass
75,42,1364047.5,790474.2300000001,38536000000000.0,302853000.0,1024 24,pass
76,42,1364047.5,790474.2300000001,44958600000000.0,353328000.0,1024 28,pass
