DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,63,222923942.19564432,29420072566.30082,12159.589269055636,2133347757.362454,38 64,pass
1,3,979044.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 48,pass
2,3,980057.2375357236,16465964037.670618,6958.198393694854,33302106.12092734,3 44,pass
3,3,981272.07389936,16465964037.670618,6958.198393694854,33302106.12092734,3 40,pass
4,3,982756.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 36,pass
5,3,984612.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 32,pass
6,3,986999.1596136458,16465964037.670618,6958.198393694854,33302106.12092734,3 28,pass
7,3,990180.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 24,pass
8,3,994635.27389936,16465964037.670618,6958.198393694854,33302106.12092734,3 20,pass
9,3,1001316.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 16,pass
10,9,33066132.688583422,16896663298.21331,7140.197766994974,416273154.7127973,4 48,pass
11,9,33067145.05221979,16896663298.21331,7140.197766994974,416273154.7127973,4 44,pass
12,9,33068359.888583425,16896663298.21331,7140.197766994974,416273154.7127973,4 40,pass
13,9,33069844.688583422,16896663298.21331,7140.197766994974,416273154.7127973,4 36,pass
14,9,33071700.688583422,16896663298.21331,7140.197766994974,416273154.7127973,4 32,pass
15,9,33074086.97429771,16896663298.21331,7140.197766994974,416273154.7127973,4 28,pass
16,9,33077268.688583422,16896663298.21331,7140.197766994974,416273154.7127973,4 24,pass
17,9,33081723.088583425,16896663298.21331,7140.197766994974,416273154.7127973,4 20,pass
18,9,33088404.688583422,16896663298.21331,7140.197766994974,416273154.7127973,4 16,pass
19,9,33066132.688583422,16896663298.21331,7140.197766994974,416273154.7127973,5 48,pass
20,9,33067145.05221979,16896663298.21331,7140.197766994974,416273154.7127973,5 44,pass
21,9,33068359.888583425,16896663298.21331,7140.197766994974,416273154.7127973,5 40,pass
22,9,33069844.688583422,16896663298.21331,7140.197766994974,416273154.7127973,5 36,pass
23,9,33071700.688583422,16896663298.21331,7140.197766994974,416273154.7127973,5 32,pass
24,9,33074086.97429771,16896663298.21331,7140.197766994974,416273154.7127973,5 28,pass
25,9,33077268.688583422,16896663298.21331,7140.197766994974,416273154.7127973,5 24,pass
26,9,33081723.088583425,16896663298.21331,7140.197766994974,416273154.7127973,5 20,pass
27,9,33088404.688583422,16896663298.21331,7140.197766994974,416273154.7127973,5 16,pass
28,10,34923997.48943468,17791192531.648132,7518.156200272439,620896592.7479397,6 48,pass
29,10,34925009.85307105,17791192531.648132,7518.156200272439,620896592.7479397,6 44,pass
30,10,34926224.689434685,17791192531.648132,7518.156200272439,620896592.7479397,6 40,pass
31,10,34927709.48943468,17791192531.648132,7518.156200272439,620896592.7479397,6 36,pass
32,10,34929565.48943468,17791192531.648132,7518.156200272439,620896592.7479397,6 32,pass
33,10,34931951.77514897,17791192531.648132,7518.156200272439,620896592.7479397,6 28,pass
34,10,34935133.48943468,17791192531.648132,7518.156200272439,620896592.7479397,6 24,pass
35,10,34939587.88943469,17791192531.648132,7518.156200272439,620896592.7479397,6 20,pass
36,10,34946269.48943468,17791192531.648132,7518.156200272439,620896592.7479397,6 16,pass
37,19,78773897.91114159,19149551737.975086,8061.840267418148,1153136405.0986643,7 48,pass
38,19,78774910.27477795,19149551737.975086,8061.840267418148,1153136405.0986643,7 44,pass
39,19,78776125.11114159,19149551737.975086,8061.840267418148,1153136405.0986643,7 40,pass
40,19,78777609.91114159,19149551737.975086,8061.840267418148,1153136405.0986643,7 36,pass
41,19,78779465.91114159,19149551737.975086,8061.840267418148,1153136405.0986643,7 32,pass
42,19,78781852.19685587,19149551737.975086,8061.840267418148,1153136405.0986643,7 28,pass
43,19,78785033.91114159,19149551737.975086,8061.840267418148,1153136405.0986643,7 24,pass
44,19,78789488.3111416,19149551737.975086,8061.840267418148,1153136405.0986643,7 20,pass
45,19,78796169.91114159,19149551737.975086,8061.840267418148,1153136405.0986643,7 16,pass
46,19,78773897.91114159,19149551737.975086,8061.840267418148,1153136405.0986643,8 48,pass
47,19,78774910.27477795,19149551737.975086,8061.840267418148,1153136405.0986643,8 44,pass
48,19,78776125.11114159,19149551737.975086,8061.840267418148,1153136405.0986643,8 40,pass
49,19,78777609.91114159,19149551737.975086,8061.840267418148,1153136405.0986643,8 36,pass
50,19,78779465.91114159,19149551737.975086,8061.840267418148,1153136405.0986643,8 32,pass
51,19,78781852.19685587,19149551737.975086,8061.840267418148,1153136405.0986643,8 28,pass
52,19,78785033.91114159,19149551737.975086,8061.840267418148,1153136405.0986643,8 24,pass
53,19,78789488.3111416,19149551737.975086,8061.840267418148,1153136405.0986643,8 20,pass
54,19,78796169.91114159,19149551737.975086,8061.840267418148,1153136405.0986643,8 16,pass
55,20,79238924.11135441,21435570890.086296,9027.73404134945,1284056562.953275,9 48,pass
56,20,79239936.47499077,21435570890.086296,9027.73404134945,1284056562.953275,9 44,pass
57,20,79241151.31135441,21435570890.086296,9027.73404134945,1284056562.953275,9 40,pass
58,20,79242636.11135441,21435570890.086296,9027.73404134945,1284056562.953275,9 36,pass
59,20,79244492.11135441,21435570890.086296,9027.73404134945,1284056562.953275,9 32,pass
60,20,79246878.3970687,21435570890.086296,9027.73404134945,1284056562.953275,9 28,pass
61,20,79250060.11135441,21435570890.086296,9027.73404134945,1284056562.953275,9 24,pass
62,20,79254514.51135442,21435570890.086296,9027.73404134945,1284056562.953275,9 20,pass
63,20,79261196.11135441,21435570890.086296,9027.73404134945,1284056562.953275,9 16,pass
64,20,79238924.11135441,21435570890.086296,9027.73404134945,1284056562.953275,10 48,pass
