DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,63,9189750.0,2649906.5300000003,410461000000000.0,3225770000.0,4096 64,pass
1,60,5445750.0,2276137.5300000003,25690900000000.0,201903000.0,1024 16,pass
2,60,5445750.0,2276137.5300000003,32113400000000.0,252378000.0,1024 20,pass
3,60,5445750.0,2276137.5300000003,38536000000000.0,302853000.0,1024 24,pass
4,60,5445750.0,2276137.5300000003,44958600000000.0,353328000.0,1024 28,pass
5,60,5445750.0,2276137.5300000003,51381200000000.0,403803300.0,1024 32,pass
6,60,5445750.0,2276137.5300000003,57803700000000.0,454279000.0,1024 36,pass
7,60,5445750.0,2276137.5300000003,64226300000000.0,504754000.0,1024 40,pass
8,60,5445750.0,2276137.5300000003,70648900000000.0,555229000.0,1024 44,pass
9,60,5445750.0,2276137.5300000003,77071500000000.0,605704000.0,1024 48,pass
10,47,2526690.0,1335070.9300000004,25690900000000.0,201903000.0,1024 16,pass
11,47,2526690.0,1335070.9300000004,32113400000000.0,252378000.0,1024 20,pass
12,47,2526690.0,1335070.9300000004,38536000000000.0,302853000.0,1024 24,pass
13,47,2526690.0,1335070.9300000004,44958600000000.0,353328000.0,1024 28,pass
14,47,2526690.0,1335070.9300000004,51381200000000.0,403803361.7021277,1024 32,pass
15,47,2526690.0,1335070.9300000004,57803700000000.0,454279000.0,1024 36,pass
16,47,2526690.0,1335070.9300000004,64226300000000.0,504754000.0,1024 40,pass
17,47,2526690.0,1335070.9300000004,70648900000000.0,555229000.0,1024 44,pass
18,47,2526690.0,1335070.9300000004,77071500000000.0,605704000.0,1024 48,pass
19,47,2526690.0,1335070.9300000004,25690900000000.0,201903000.0,1024 16,pass
20,47,2526690.0,1335070.9300000004,32113400000000.0,252378000.0,1024 20,pass
21,47,2526690.0,1335070.9300000004,38536000000000.0,302853000.0,1024 24,pass
22,47,2526690.0,1335070.9300000004,44958600000000.0,353328000.0,1024 28,pass
23,47,2526690.0,1335070.9300000004,51381200000000.0,403803361.7021277,1024 32,pass
24,47,2526690.0,1335070.9300000004,57803700000000.0,454279000.0,1024 36,pass
25,47,2526690.0,1335070.9300000004,64226300000000.0,504754000.0,1024 40,pass
26,47,2526690.0,1335070.9300000004,70648900000000.0,555229000.0,1024 44,pass
27,47,2526690.0,1335070.9300000004,77071500000000.0,605704000.0,1024 48,pass
28,46,2410050.0,1331862.9000000004,25690900000000.0,201903000.0,1024 16,pass
29,46,2410050.0,1331862.9000000004,32113400000000.0,252378000.0,1024 20,pass
30,46,2410050.0,1331862.9000000004,38536000000000.0,302853000.0,1024 24,pass
31,46,2410050.0,1331862.9000000004,44958600000000.0,353328000.0,1024 28,pass
32,46,2410050.0,1331862.9000000004,51381200000000.0,403803347.8260869,1024 32,pass
33,46,2410050.0,1331862.9000000004,57803700000000.0,454279000.0,1024 36,pass
34,46,2410050.0,1331862.9000000004,64226300000000.0,504754000.0,1024 40,pass
35,46,2410050.0,1331862.9000000004,70648900000000.0,555229000.0,1024 44,pass
36,46,2410050.0,1331862.9000000004,77071500000000.0,605704000.0,1024 48,pass
37,35,1390710.0,986483.81,25690900000000.0,201903000.0,1024 16,pass
38,35,1390710.0,986483.81,32113400000000.0,252378000.0,1024 20,pass
39,35,1390710.0,986483.81,38536000000000.0,302853000.0,1024 24,pass
40,35,1390710.0,986483.81,44958600000000.0,353328000.0,1024 28,pass
