DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,63,222923942.19564432,29420072566.30082,12159.589269055636,2133347757.362454,38 64,pass
1,3,979044.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 48,pass
2,3,980057.2375357236,16465964037.670618,6958.198393694854,33302106.12092734,3 44,pass
3,3,981272.07389936,16465964037.670618,6958.198393694854,33302106.12092734,3 40,pass
4,3,982756.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 36,pass
5,3,984612.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 32,pass
6,3,986999.1596136458,16465964037.670618,6958.198393694854,33302106.12092734,3 28,pass
7,3,990180.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 24,pass
8,3,994635.27389936,16465964037.670618,6958.198393694854,33302106.12092734,3 20,pass
9,3,1001316.87389936,16465964037.670618,6958.198393694854,33302106.12092734,3 16,pass
10,16,40730341.09326536,17161708997.008812,7215.462665652692,436184301.13164055,4 48,pass
11,16,40731353.45690172,17161708997.008812,7215.462665652692,436184301.13164055,4 44,pass
12,16,40732568.29326536,17161708997.008812,7215.462665652692,436184301.13164055,4 40,pass
13,16,40734053.09326536,17161708997.008812,7215.462665652692,436184301.13164055,4 36,pass
14,16,40735909.09326536,17161708997.008812,7215.462665652692,436184301.13164055,4 32,pass
15,16,40738295.378979646,17161708997.008812,7215.462665652692,436184301.13164055,4 28,pass
16,16,40741477.09326536,17161708997.008812,7215.462665652692,436184301.13164055,4 24,pass
17,16,40745931.49326536,17161708997.008812,7215.462665652692,436184301.13164055,4 20,pass
18,16,40752613.09326536,17161708997.008812,7215.462665652692,436184301.13164055,4 16,pass
19,16,40730341.09326536,17161708997.008812,7215.462665652692,436184301.13164055,5 48,pass
20,16,40731353.45690172,17161708997.008812,7215.462665652692,436184301.13164055,5 44,pass
21,16,40732568.29326536,17161708997.008812,7215.462665652692,436184301.13164055,5 40,pass
22,16,40734053.09326536,17161708997.008812,7215.462665652692,436184301.13164055,5 36,pass
23,16,40735909.09326536,17161708997.008812,7215.462665652692,436184301.13164055,5 32,pass
24,16,40738295.378979646,17161708997.008812,7215.462665652692,436184301.13164055,5 28,pass
25,16,40741477.09326536,17161708997.008812,7215.462665652692,436184301.13164055,5 24,pass
26,16,40745931.49326536,17161708997.008812,7215.462665652692,436184301.13164055,5 20,pass
27,16,40752613.09326536,17161708997.008812,7215.462665652692,436184301.13164055,5 16,pass
28,17,42588205.89411661,18056238230.44364,7593.421098930158,640807739.166783,6 48,pass
29,17,42589218.25775298,18056238230.44364,7593.421098930158,640807739.166783,6 44,pass
30,17,42590433.09411661,18056238230.44364,7593.421098930158,640807739.166783,6 40,pass
31,17,42591917.89411661,18056238230.44364,7593.421098930158,640807739.166783,6 36,pass
32,17,42593773.89411661,18056238230.44364,7593.421098930158,640807739.166783,6 32,pass
33,17,42596160.1798309,18056238230.44364,7593.421098930158,640807739.166783,6 28,pass
34,17,42599341.89411661,18056238230.44364,7593.421098930158,640807739.166783,6 24,pass
35,17,42603796.294116616,18056238230.44364,7593.421098930158,640807739.166783,6 20,pass
36,17,42610477.89411661,18056238230.44364,7593.421098930158,640807739.166783,6 16,pass
37,28,85901943.11667477,19480858861.469463,8129.043332801054,1165363529.4015074,7 48,pass
38,28,85902955.48031113,19480858861.469463,8129.043332801054,1165363529.4015074,7 44,pass
39,28,85904170.31667477,19480858861.469463,8129.043332801054,1165363529.4015074,7 40,pass
40,28,85905655.11667477,19480858861.469463,8129.043332801054,1165363529.4015074,7 36,pass
41,28,85907511.11667477,19480858861.469463,8129.043332801054,1165363529.4015074,7 32,pass
42,28,85909897.40238905,19480858861.469463,8129.043332801054,1165363529.4015074,7 28,pass
43,28,85913079.11667477,19480858861.469463,8129.043332801054,1165363529.4015074,7 24,pass
44,28,85917533.51667477,19480858861.469463,8129.043332801054,1165363529.4015074,7 20,pass
45,28,85924215.11667477,19480858861.469463,8129.043332801054,1165363529.4015074,7 16,pass
46,28,85901943.11667477,19480858861.469463,8129.043332801054,1165363529.4015074,8 48,pass
47,28,85902955.48031113,19480858861.469463,8129.043332801054,1165363529.4015074,8 44,pass
48,28,85904170.31667477,19480858861.469463,8129.043332801054,1165363529.4015074,8 40,pass
49,28,85905655.11667477,19480858861.469463,8129.043332801054,1165363529.4015074,8 36,pass
50,28,85907511.11667477,19480858861.469463,8129.043332801054,1165363529.4015074,8 32,pass
51,28,85909897.40238905,19480858861.469463,8129.043332801054,1165363529.4015074,8 28,pass
52,28,85913079.11667477,19480858861.469463,8129.043332801054,1165363529.4015074,8 24,pass
53,28,85917533.51667477,19480858861.469463,8129.043332801054,1165363529.4015074,8 20,pass
54,28,85924215.11667477,19480858861.469463,8129.043332801054,1165363529.4015074,8 16,pass
55,29,86366969.31688759,21766878013.58068,9094.937106732355,1296283687.256118,9 48,pass
56,29,86367981.68052395,21766878013.58068,9094.937106732355,1296283687.256118,9 44,pass
57,29,86369196.51688759,21766878013.58068,9094.937106732355,1296283687.256118,9 40,pass
58,29,86370681.31688759,21766878013.58068,9094.937106732355,1296283687.256118,9 36,pass
59,29,86372537.31688759,21766878013.58068,9094.937106732355,1296283687.256118,9 32,pass
60,29,86374923.60260187,21766878013.58068,9094.937106732355,1296283687.256118,9 28,pass
61,29,86378105.31688759,21766878013.58068,9094.937106732355,1296283687.256118,9 24,pass
62,29,86382559.7168876,21766878013.58068,9094.937106732355,1296283687.256118,9 20,pass
63,29,86389241.31688759,21766878013.58068,9094.937106732355,1296283687.256118,9 16,pass
64,29,86366969.31688759,21766878013.58068,9094.937106732355,1296283687.256118,10 48,pass
