latency,energy,area,power,DSE index,layers,"HW (pes, bw)",restraint
78485028.03823,2995018.322,102762000000000.0,807605724.137931,0,29,1024 64,pass
68341159.27986999,2426619.723,6459620000000.0,50766583.333333336,1,18,256 16,pass
68341159.27986999,2426619.723,8074520000000.0,63458083.333333336,2,18,256 20,pass
68341159.27986999,2426619.723,9689420000000.0,76149588.8888889,3,18,256 24,pass
68341159.27986999,2426619.723,11304300000000.0,88841105.55555555,4,18,256 28,pass
68341159.27986999,2426619.723,12919200000000.0,101532944.44444443,5,18,256 32,pass
68341159.27986999,2426619.723,14534100000000.0,114224000.0,6,18,256 36,pass
68341159.27986999,2426619.723,16149000000000.0,126916000.0,7,18,256 40,pass
68341159.27986999,2426619.723,17763900000000.0,139607000.0,8,18,256 44,pass
68341159.27986999,2426619.723,19378800000000.0,152299000.0,9,18,256 48,pass
68341159.27986999,2426619.723,20993700000000.0,164990000.0,10,18,256 52,pass
68341159.27986999,2426619.723,22608600000000.0,177682000.0,11,18,256 56,pass
56153543.0231,1907697.726,6459620000000.0,50766568.75,12,16,256 16,pass
56153543.0231,1907697.726,8074520000000.0,63458068.75,13,16,256 20,pass
56153543.0231,1907697.726,9689420000000.0,76149581.25,14,16,256 24,pass
56153543.0231,1907697.726,11304300000000.0,88841093.75,15,16,256 28,pass
56153543.0231,1907697.726,12919200000000.0,101532875.0,16,16,256 32,pass
56153543.0231,1907697.726,14534100000000.0,114224000.0,17,16,256 36,pass
56153543.0231,1907697.726,16149000000000.0,126916000.0,18,16,256 40,pass
56153543.0231,1907697.726,17763900000000.0,139607000.0,19,16,256 44,pass
56153543.0231,1907697.726,19378800000000.0,152299000.0,20,16,256 48,pass
56153543.0231,1907697.726,20993700000000.0,164990000.0,21,16,256 52,pass
56153543.0231,1907697.726,22608600000000.0,177682000.0,22,16,256 56,pass
52591356.51839999,1958279.32,6459620000000.0,50766592.85714286,23,14,256 16,pass
52591356.51839999,1958279.32,8074520000000.0,63458092.85714286,24,14,256 20,pass
52591356.51839999,1958279.32,9689420000000.0,76149592.85714285,25,14,256 24,pass
52591356.51839999,1958279.32,11304300000000.0,88841107.14285715,26,14,256 28,pass
52591356.51839999,1958279.32,12919200000000.0,101533000.0,27,14,256 32,pass
52591356.51839999,1958279.32,14534100000000.0,114224000.0,28,14,256 36,pass
52591356.51839999,1958279.32,16149000000000.0,126916000.0,29,14,256 40,pass
52591356.51839999,1958279.32,17763900000000.0,139607000.0,30,14,256 44,pass
52591356.51839999,1958279.32,19378800000000.0,152299000.0,31,14,256 48,pass
52591356.51839999,1958279.32,20993700000000.0,164990000.0,32,14,256 52,pass
52591356.51839999,1958279.32,22608600000000.0,177682000.0,33,14,256 56,pass
46692220.23167999,2409037.3200000003,6459620000000.0,50766593.333333336,34,15,256 16,pass
46692220.23167999,2409037.3200000003,8074520000000.0,63458093.333333336,35,15,256 20,pass
46692220.23167999,2409037.3200000003,9689420000000.0,76149593.33333333,36,15,256 24,pass
46692220.23167999,2409037.3200000003,11304300000000.0,88841120.0,37,15,256 28,pass
46692220.23167999,2409037.3200000003,12919200000000.0,101533000.0,38,15,256 32,pass
46692220.23167999,2409037.3200000003,14534100000000.0,114224000.0,39,15,256 36,pass
46692220.23167999,2409037.3200000003,16149000000000.0,126916000.0,40,15,256 40,pass
46692220.23167999,2409037.3200000003,17763900000000.0,139607000.0,41,15,256 44,pass
46692220.23167999,2409037.3200000003,19378800000000.0,152299000.0,42,15,256 48,pass
46692220.23167999,2409037.3200000003,20993700000000.0,164990000.0,43,15,256 52,pass
46692220.23167999,2409037.3200000003,22608600000000.0,177682000.0,44,15,256 56,pass
33990486.61708,1981234.461,6459620000000.0,50766576.47058824,45,17,256 16,pass
33990486.61708,1981234.461,8074520000000.0,63458076.47058824,46,17,256 20,pass
33990486.61708,1981234.461,9689420000000.0,76149594.11764705,47,17,256 24,pass
