DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,2 48,18,11,165838005001217.0,1818152365863633.5,68341159,50503431,2426619,36000570,6459620000000,132791425,pass
2,256 20,2 44,18,11,165838005001217.0,1821623972906288.0,68341159,50599863,2426619,36000570,8074520000000,132791425,pass
3,256 24,2 40,18,11,165838005001217.0,1825789901357476.2,68341159,50715582,2426619,36000570,9689420000000,132791425,pass
4,256 28,2 36,18,11,165838005001217.0,1830881591686704.0,68341159,50857015,2426619,36000570,11304300000000,132791425,pass
5,256 32,2 32,18,11,165838005001217.0,1837246204598239.2,68341159,51033807,2426619,36000570,12919200000000,132791425,pass
6,256 36,2 28,18,11,165838005001217.0,1845429278341641.8,68341159,51261111,2426619,36000570,14534100000000,132791425,pass
7,256 40,2 24,18,11,165838005001217.0,1856340043332845.0,68341159,51564183,2426619,36000570,16149000000000,132791425,pass
8,256 44,2 20,18,11,165838005001217.0,1871615114320529.5,68341159,51988484,2426619,36000570,17763900000000,132791425,pass
9,256 48,2 16,18,11,165838005001217.0,1894527720802056.5,68341159,52624935,2426619,36000570,19378800000000,132791425,pass
10,256 52,2 12,18,11,165838005001217.0,1932715398271267.8,68341159,53685687,2426619,36000570,20993700000000,132791425,pass
11,256 56,2 8,18,11,165838005001217.0,2009090753209690.8,68341159,55807191,2426619,36000570,22608600000000,132791425,pass
12,256 16,3 48,16,13,107123986332011.05,4538588797746173.0,56153543,65048357,1907697,69772534,6459620000000,265483580,pass
13,256 20,3 44,16,13,107123986332011.05,4544914299636104.0,56153543,65139016,1907697,69772534,8074520000000,265483580,pass
14,256 24,3 40,16,13,107123986332011.05,4552504901904028.0,56153543,65247807,1907697,69772534,9689420000000,265483580,pass
15,256 28,3 36,16,13,107123986332011.05,4561782304675929.0,56153543,65380773,1907697,69772534,11304300000000,265483580,pass
16,256 32,3 32,16,13,107123986332011.05,4573379058140807.0,56153543,65546981,1907697,69772534,12919200000000,265483580,pass
17,256 36,3 28,16,13,107123986332011.05,4588289169738508.0,56153543,65760677,1907697,69772534,14534100000000,265483580,pass
18,256 40,3 24,16,13,107123986332011.05,4608169318535442.0,56153543,66045605,1907697,69772534,16149000000000,265483580,pass
19,256 44,3 20,16,13,107123986332011.05,4636001526851149.0,56153543,66444504,1907697,69772534,17763900000000,265483580,pass
20,256 48,3 16,16,13,107123986332011.05,4677749839324711.0,56153543,67042853,1907697,69772534,19378800000000,265483580,pass
21,256 52,3 12,16,13,107123986332011.05,4747330360113980.0,56153543,68040101,1907697,69772534,20993700000000,265483580,pass
22,256 56,3 8,16,13,107123986332011.05,4886491401692518.0,56153543,70034597,1907697,69772534,22608600000000,265483580,pass
23,256 16,4 48,14,15,102988565880729.9,4433725153616708.0,52591356,64134147,1958279,69132051,6459620000000,446427429,pass
24,256 20,4 44,14,15,102988565880729.9,4440763651178646.5,52591356,64235959,1958279,69132051,8074520000000,446427429,pass
25,256 24,4 40,14,15,102988565880729.9,4449209848252978.5,52591356,64358134,1958279,69132051,9689420000000,446427429,pass
26,256 28,4 36,14,15,102988565880729.9,4459532978010490.0,52591356,64507459,1958279,69132051,11304300000000,446427429,pass
27,256 32,4 32,14,15,102988565880729.9,4472436890207381.0,52591356,64694115,1958279,69132051,12919200000000,446427429,pass
28,256 36,4 28,14,15,102988565880729.9,4489027634460526.5,52591356,64934101,1958279,69132051,14534100000000,446427429,pass
29,256 40,4 24,14,15,102988565880729.9,4511148626798054.0,52591356,65254083,1958279,69132051,16149000000000,446427429,pass
30,256 44,4 20,14,15,102988565880729.9,4542118016070591.0,52591356,65702057,1958279,69132051,17763900000000,446427429,pass
31,256 48,4 16,14,15,102988565880729.9,4588572099979399.0,52591356,66374019,1958279,69132051,19378800000000,446427429,pass
32,256 52,4 12,14,15,102988565880729.9,4665995573160745.0,52591356,67493955,1958279,69132051,20993700000000,446427429,pass
33,256 56,4 8,14,15,102988565880729.9,4820842519523436.0,52591356,69733827,1958279,69132051,22608600000000,446427429,pass
34,256 16,5 48,15,14,112483301091776.16,2818057434438734.0,46692220,42530552,2409037,66259601,6459620000000,651497123,pass
35,256 20,5 44,15,14,112483301091776.16,2824803481030390.0,46692220,42632364,2409037,66259601,8074520000000,651497123,pass
36,256 24,5 40,15,14,112483301091776.16,2832898736940383.5,46692220,42754539,2409037,66259601,9689420000000,651497123,pass
37,256 28,5 36,15,14,112483301091776.16,2842792938608147.5,46692220,42903864,2409037,66259601,11304300000000,651497123,pass
38,256 32,5 32,15,14,112483301091776.16,2855160690692854.0,46692220,43090520,2409037,66259601,12919200000000,651497123,pass
39,256 36,5 28,15,14,112483301091776.16,2871062086230334.0,46692220,43330506,2409037,66259601,14534100000000,651497123,pass
40,256 40,5 24,15,14,112483301091776.16,2892263946946973.5,46692220,43650488,2409037,66259601,16149000000000,651497123,pass
41,256 44,5 20,15,14,112483301091776.16,2921946551950269.5,46692220,44098462,2409037,66259601,17763900000000,651497123,pass
42,256 48,5 16,15,14,112483301091776.16,2966470459455212.5,46692220,44770424,2409037,66259601,19378800000000,651497123,pass
43,256 52,5 12,15,14,112483301091776.16,3040676971963451.5,46692220,45890360,2409037,66259601,20993700000000,651497123,pass
44,256 56,5 8,15,14,112483301091776.16,3189089996979929.5,46692220,48130232,2409037,66259601,22608600000000,651497123,pass
45,256 16,6 48,17,12,67343123431918.21,1850992752372267.0,33990486,19015372,1981234,97341915,6459620000000,892755587,pass
46,256 20,6 44,17,12,67343123431918.21,1858693736776421.0,33990486,19094484,1981234,97341915,8074520000000,892755587,pass
47,256 24,6 40,17,12,67343123431918.21,1867934918061410.5,33990486,19189420,1981234,97341915,9689420000000,892755587,pass
48,256 28,6 36,17,12,67343123431918.21,1879229695187504.8,33990486,19305452,1981234,97341915,11304300000000,892755587,pass
