DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,2 48,28,1,228298021612093.5,225165923878385.2,44974080,30532341,5076213,7374669,6459620000000,24125846,pass
2,256 20,2 44,28,1,228298021612093.5,225191153292644.28,44974080,30535762,5076213,7374669,8074520000000,24125846,pass
3,256 24,2 40,28,1,228298021612093.5,225221428589755.53,44974080,30539868,5076213,7374669,9689420000000,24125846,pass
4,256 28,2 36,28,1,228298021612093.5,225258431730668.97,44974080,30544885,5076213,7374669,11304300000000,24125846,pass
5,256 32,2 32,28,1,228298021612093.5,225304685656810.84,44974080,30551157,5076213,7374669,12919200000000,24125846,pass
6,256 36,2 28,28,1,228298021612093.5,225364154990421.72,44974080,30559221,5076213,7374669,14534100000000,24125846,pass
7,256 40,2 24,28,1,228298021612093.5,225443447435236.5,44974080,30569973,5076213,7374669,16149000000000,24125846,pass
8,256 44,2 20,28,1,228298021612093.5,225554456857976.8,44974080,30585026,5076213,7374669,17763900000000,24125846,pass
9,256 48,2 16,28,1,228298021612093.5,225720970992087.78,44974080,30607605,5076213,7374669,19378800000000,24125846,pass
10,256 16,3 48,27,2,197967063667507.25,433275586680989.4,40550400,31002787,4882000,13975375,6459620000000,144755078,pass
11,256 20,3 44,27,2,197967063667507.25,433323397709435.25,40550400,31006208,4882000,13975375,8074520000000,144755078,pass
12,256 24,3 40,27,2,197967063667507.25,433380770943570.9,40550400,31010314,4882000,13975375,9689420000000,144755078,pass
13,256 28,3 36,27,2,197967063667507.25,433450893785291.56,40550400,31015331,4882000,13975375,11304300000000,144755078,pass
14,256 32,3 32,27,2,197967063667507.25,433538547337442.7,40550400,31021603,4882000,13975375,12919200000000,144755078,pass
15,256 36,3 28,27,2,197967063667507.25,433651244761636.75,40550400,31029667,4882000,13975375,14534100000000,144755078,pass
16,256 40,3 24,27,2,197967063667507.25,433801507993896.0,40550400,31040419,4882000,13975375,16149000000000,144755078,pass
17,256 44,3 20,27,2,197967063667507.25,434011876519058.3,40550400,31055472,4882000,13975375,17763900000000,144755078,pass
18,256 48,3 16,27,2,197967063667507.25,434327429306802.56,40550400,31078051,4882000,13975375,19378800000000,144755078,pass
19,256 16,4 48,26,3,168557747747880.97,830658037952354.0,36126720,31467814,4665736,26397068,6459620000000,373950619,pass
20,256 20,4 44,26,3,168557747747880.97,830748344722938.4,36126720,31471235,4665736,26397068,8074520000000,373950619,pass
21,256 24,4 40,26,3,168557747747880.97,830856712847640.9,36126720,31475340,4665736,26397068,9689420000000,373950619,pass
22,256 28,4 36,26,3,168557747747880.97,830989162777831.6,36126720,31480358,4665736,26397068,11304300000000,373950619,pass
23,256 32,4 32,26,3,168557747747880.97,831154725190570.4,36126720,31486630,4665736,26397068,12919200000000,373950619,pass
24,256 36,4 28,26,3,168557747747880.97,831367591149805.5,36126720,31494694,4665736,26397068,14534100000000,373950619,pass
25,256 40,4 24,26,3,168557747747880.97,831651412428786.9,36126720,31505446,4665736,26397068,16149000000000,373950619,pass
26,256 44,4 20,26,3,168557747747880.97,832048762219359.5,36126720,31520498,4665736,26397068,17763900000000,373950619,pass
27,256 48,4 16,26,3,168557747747880.97,832644786905219.8,36126720,31543078,4665736,26397068,19378800000000,373950619,pass
28,256 16,5 48,25,4,138710287705374.75,1053891494073234.5,31703040,31938260,4375299,32997774,6459620000000,494579851,pass
29,256 20,5 44,25,4,138710287705374.75,1054004382458005.8,31703040,31941681,4375299,32997774,8074520000000,494579851,pass
30,256 24,5 40,25,4,138710287705374.75,1054139848519732.4,31703040,31945786,4375299,32997774,9689420000000,494579851,pass
31,256 28,5 36,25,4,138710287705374.75,1054305418150730.5,31703040,31950804,4375299,32997774,11304300000000,494579851,pass
32,256 32,5 32,25,4,138710287705374.75,1054512380189478.5,31703040,31957076,4375299,32997774,12919200000000,494579851,pass
33,256 36,5 28,25,4,138710287705374.75,1054778474239296.9,31703040,31965140,4375299,32997774,14534100000000,494579851,pass
34,256 40,5 24,25,4,138710287705374.75,1055133266305722.6,31703040,31975892,4375299,32997774,16149000000000,494579851,pass
35,256 44,5 20,25,4,138710287705374.75,1055629975198717.1,31703040,31990945,4375299,32997774,17763900000000,494579851,pass
36,256 48,5 16,25,4,138710287705374.75,1056375038538210.8,31703040,32013524,4375299,32997774,19378800000000,494579851,pass
37,256 16,6 48,24,5,116751851728404.5,1471740010555653.8,27279360,32403286,4279860,45419467,6459620000000,723775392,pass
38,256 20,6 44,24,5,116751851728404.5,1471895394682563.8,27279360,32406707,4279860,45419467,8074520000000,723775392,pass
39,256 24,6 40,24,5,116751851728404.5,1472081855634857.2,27279360,32410812,4279860,45419467,9689420000000,723775392,pass
40,256 28,6 36,24,5,116751851728404.5,1472309752354325.2,27279360,32415830,4279860,45419467,11304300000000,723775392,pass
41,256 32,6 32,24,5,116751851728404.5,1472594623253661.0,27279360,32422102,4279860,45419467,12919200000000,723775392,pass
42,256 36,6 28,24,5,116751851728404.5,1472960885838520.8,27279360,32430166,4279860,45419467,14534100000000,723775392,pass
43,256 40,6 24,24,5,116751851728404.5,1473449235951668.2,27279360,32440918,4279860,45419467,16149000000000,723775392,pass
44,256 44,6 20,24,5,116751851728404.5,1474132926110073.5,27279360,32455971,4279860,45419467,17763900000000,723775392,pass
45,256 48,6 16,24,5,116751851728404.5,1475158461347683.0,27279360,32478550,4279860,45419467,19378800000000,723775392,pass
46,256 16,7 48,15,14,12919853752565.76,8748208500766926.0,7096320,60717214,1820641,144081190,6459620000000,1254544014,pass
47,256 20,7 44,15,14,12919853752565.76,8748701415617284.0,7096320,60720635,1820641,144081190,8074520000000,1254544014,pass
48,256 24,7 40,15,14,12919853752565.76,8749292913437721.0,7096320,60724740,1820641,144081190,9689420000000,1254544014,pass
49,256 28,7 36,15,14,12919853752565.76,8750015855218249.0,7096320,60729758,1820641,144081190,11304300000000,1254544014,pass
50,256 32,7 32,15,14,12919853752565.76,8750919532443911.0,7096320,60736030,1820641,144081190,12919200000000,1254544014,pass
51,256 36,7 28,15,14,12919853752565.76,8752081403162616.0,7096320,60744094,1820641,144081190,14534100000000,1254544014,pass
52,256 40,7 24,15,14,12919853752565.76,8753630564120895.0,7096320,60754846,1820641,144081190,16149000000000,1254544014,pass
53,256 44,7 20,15,14,12919853752565.76,8755799389462479.0,7096320,60769899,1820641,144081190,17763900000000,1254544014,pass
54,256 48,7 16,15,14,12919853752565.76,8759052627474864.0,7096320,60792478,1820641,144081190,19378800000000,1254544014,pass
55,256 16,8 48,0,29,0.0,2.7104858083537096e+16,0,125193735,0,216503309,6459620000000,1411362015,fail
56,256 20,8 44,0,29,0.0,2.7126915913051268e+16,0,125295617,0,216503309,8074520000000,1411362015,fail
57,256 24,8 40,0,29,0.0,2.7153385308468292e+16,0,125417876,0,216503309,9689420000000,1411362015,fail
58,256 28,8 36,0,29,0.0,2.7185736791755744e+16,0,125567303,0,216503309,11304300000000,1411362015,fail
59,256 32,8 32,0,29,0.0,2.7226176145865064e+16,0,125754087,0,216503309,12919200000000,1411362015,fail
60,256 36,8 28,0,29,0.0,2.727816960114848e+16,0,125994238,0,216503309,14534100000000,1411362015,fail
61,256 40,8 24,0,29,0.0,2.734749420819303e+16,0,126314439,0,216503309,16149000000000,1411362015,fail
62,256 44,8 20,0,29,0.0,2.74445486580554e+16,0,126762721,0,216503309,17763900000000,1411362015,fail
63,256 48,8 16,0,29,0.0,2.759013033284897e+16,0,127435143,0,216503309,19378800000000,1411362015,fail
64,256 16,9 48,0,29,0.0,2.7104858083537096e+16,0,125193735,0,216503309,6459620000000,1411362015,fail
65,256 20,9 44,0,29,0.0,2.7126915913051268e+16,0,125295617,0,216503309,8074520000000,1411362015,fail
66,256 24,9 40,0,29,0.0,2.7153385308468292e+16,0,125417876,0,216503309,9689420000000,1411362015,fail
67,256 28,9 36,0,29,0.0,2.7185736791755744e+16,0,125567303,0,216503309,11304300000000,1411362015,fail
68,256 32,9 32,0,29,0.0,2.7226176145865064e+16,0,125754087,0,216503309,12919200000000,1411362015,fail
69,256 36,9 28,0,29,0.0,2.727816960114848e+16,0,125994238,0,216503309,14534100000000,1411362015,fail
70,256 40,9 24,0,29,0.0,2.734749420819303e+16,0,126314439,0,216503309,16149000000000,1411362015,fail
71,256 44,9 20,0,29,0.0,2.74445486580554e+16,0,126762721,0,216503309,17763900000000,1411362015,fail
72,256 48,9 16,0,29,0.0,2.759013033284897e+16,0,127435143,0,216503309,19378800000000,1411362015,fail
73,256 16,10 48,0,29,0.0,2.7104858083537096e+16,0,125193735,0,216503309,6459620000000,1411362015,fail
74,256 20,10 44,0,29,0.0,2.7126915913051268e+16,0,125295617,0,216503309,8074520000000,1411362015,fail
75,256 24,10 40,0,29,0.0,2.7153385308468292e+16,0,125417876,0,216503309,9689420000000,1411362015,fail
76,256 28,10 36,0,29,0.0,2.7185736791755744e+16,0,125567303,0,216503309,11304300000000,1411362015,fail
77,256 32,10 32,0,29,0.0,2.7226176145865064e+16,0,125754087,0,216503309,12919200000000,1411362015,fail
78,256 36,10 28,0,29,0.0,2.727816960114848e+16,0,125994238,0,216503309,14534100000000,1411362015,fail
79,256 40,10 24,0,29,0.0,2.734749420819303e+16,0,126314439,0,216503309,16149000000000,1411362015,fail
80,256 44,10 20,0,29,0.0,2.74445486580554e+16,0,126762721,0,216503309,17763900000000,1411362015,fail
81,256 48,10 16,0,29,0.0,2.759013033284897e+16,0,127435143,0,216503309,19378800000000,1411362015,fail
82,256 16,11 48,0,29,0.0,2.7104858083537096e+16,0,125193735,0,216503309,6459620000000,1411362015,fail
83,256 20,11 44,0,29,0.0,2.7126915913051268e+16,0,125295617,0,216503309,8074520000000,1411362015,fail
84,256 24,11 40,0,29,0.0,2.7153385308468292e+16,0,125417876,0,216503309,9689420000000,1411362015,fail
85,256 28,11 36,0,29,0.0,2.7185736791755744e+16,0,125567303,0,216503309,11304300000000,1411362015,fail
86,256 32,11 32,0,29,0.0,2.7226176145865064e+16,0,125754087,0,216503309,12919200000000,1411362015,fail
87,256 36,11 28,0,29,0.0,2.727816960114848e+16,0,125994238,0,216503309,14534100000000,1411362015,fail
88,256 40,11 24,0,29,0.0,2.734749420819303e+16,0,126314439,0,216503309,16149000000000,1411362015,fail
89,256 44,11 20,0,29,0.0,2.74445486580554e+16,0,126762721,0,216503309,17763900000000,1411362015,fail
90,256 48,11 16,0,29,0.0,2.759013033284897e+16,0,127435143,0,216503309,19378800000000,1411362015,fail
91,384 16,2 48,28,1,227445133158973.5,225165923878385.2,44974080,30532341,5057249,7374669,9664790000000,24125846,pass
92,384 20,2 44,28,1,227445133158973.5,225191153292644.28,44974080,30535762,5057249,7374669,12081000000000,24125846,pass
93,384 24,2 40,28,1,227445133158973.5,225221428589755.53,44974080,30539868,5057249,7374669,14497100000000,24125846,pass
