Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnet18,L0,1024,1363968,300513,111,369368,8.99166e+13,7.06656e+08,112,7.1898,112,1,112,14776,384,1,1,155952,12288,5.03806e+11,151400448,1251.64,1356.6,50.9772,7.06653e+08,151400448, 9784768, 9784768, 155952, 15.4731, 151400448, 12288, 12288, 12288, 12321, 151400448, 151400448, 3125824, 4688640, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 111, 15.7168
resnet18,L1,1024,1990656,277284,54,194746,8.99166e+13,7.06655e+08,55,6.35233,55,1,55,1098,54,1,1,200704,36864,3.87673e+11,107495424,1251.64,190.771,3.7881,7.06653e+08,107495424, 12605606, 12605606, 200704, 8.52759, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet18,L2,1024,1990656,277284,54,194746,8.99166e+13,7.06655e+08,55,6.35233,55,1,55,1098,54,1,1,200704,36864,3.87673e+11,107495424,1251.64,190.771,3.7881,7.06653e+08,107495424, 12605606, 12605606, 200704, 8.52759, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet18,L3,1024,3584,2948.83,56,1.89906e+07,8.99166e+13,7.06655e+08,57,56.0003,57,1,57,226,6,1,1,200704,64,6.80622e+10,200704,1251.64,21.1968,0.7797,7.06653e+08,200704, 197121, 197121, 200704, 1.01818, 200704, 64, 64, 64, 3136, 200704, 200704, 200704, 200704, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1.01818
resnet18,L4,1024,1990656,277284,54,194746,8.99166e+13,7.06655e+08,55,6.35233,55,1,55,1098,54,1,1,200704,36864,3.87673e+11,107495424,1251.64,190.771,3.7881,7.06653e+08,107495424, 12605606, 12605606, 200704, 8.52759, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet18,L5,1024,1990656,277284,54,194746,8.99166e+13,7.06655e+08,55,6.35233,55,1,55,1098,54,1,1,200704,36864,3.87673e+11,107495424,1251.64,190.771,3.7881,7.06653e+08,107495424, 12605606, 12605606, 200704, 8.52759, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 54, 8.83636
resnet18,L6,1024,3584,2948.83,56,1.89906e+07,8.99166e+13,7.06655e+08,57,56.0003,57,1,57,226,6,1,1,200704,64,6.80622e+10,200704,1251.64,21.1968,0.7797,7.06653e+08,200704, 197121, 197121, 200704, 1.01818, 200704, 64, 64, 64, 3136, 200704, 200704, 200704, 200704, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1.01818
resnet18,L7,1024,1990656,252416,27,106966,8.99166e+13,7.06655e+08,28,12.7041,28,1,28,622,54,1,1,200704,73728,2.12933e+11,53747712,1251.64,190.771,2.1459,7.06653e+08,53747712, 25210105, 25210105, 200704, 2.13199, 53747712, 73728, 73728, 73728, 729, 53747712, 53747712, 373248, 11722752, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 28, 2.16964
resnet18,L8,1024,3833856,260977,26,99625.5,8.99166e+13,7.06655e+08,27,3.26715,27,1,27,538,54,1,1,100352,147456,3.8195e+11,99680256,1251.64,190.771,1.8561,7.06653e+08,99680256, 12376170, 12376170, 100352, 8.05421, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 26, 8.66667
resnet18,L9,1024,1990656,252416,27,106966,8.99166e+13,7.06655e+08,28,12.7041,28,1,28,622,54,1,1,200704,73728,2.12933e+11,53747712,1251.64,190.771,2.1459,7.06653e+08,53747712, 25210105, 25210105, 200704, 2.13199, 53747712, 73728, 73728, 73728, 729, 53747712, 53747712, 373248, 11722752, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 28, 2.16964
