Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnet18,L0,1024,170496,69040.6,888,1.2862e+07,8.99166e+13,7.06656e+08,80,66.1363,80,1,80,14304,384,1,1,155952,12288,2.19292e+12,151400448,1251.64,1356.6,49.3488,7.06653e+08,151400448, 9450240, 9450240, 155952, 16.0208, 151400448, 1822720, 1822720, 12288, 83.0629, 151400448, 151400448, 3125824, 4688640, 1, 0, 0, 0, 0, 0, 0, 64, 64, 64, 888, 12.8
resnet18,L1,1024,124416,327642,864,2.63703e+06,8.99166e+13,7.06655e+08,96,96,96,1,96,2988,54,1,1,200704,36864,3.28088e+11,107495424,1251.64,190.771,10.3086,7.06653e+08,107495424, 6717006, 6717006, 200704, 16.0035, 107495424, 1960128, 1960128, 36864, 54.841, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
resnet18,L2,1024,124416,258779,864,3.33876e+06,8.99166e+13,7.06655e+08,96,96,96,1,96,2988,54,1,1,200704,36864,4.15395e+11,107495424,1251.64,190.771,10.3086,7.06653e+08,107495424, 6717006, 6717006, 200704, 16.0035, 107495424, 1960128, 1960128, 36864, 54.841, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
resnet18,L3,1024,3584,2965.26,56,1.88854e+07,8.99166e+13,7.06655e+08,57,56.0003,57,1,57,226,6,1,1,200704,64,6.76852e+10,200704,1251.64,21.1968,0.7797,7.06653e+08,200704, 200641, 200641, 200704, 1.00031, 200704, 64, 64, 64, 3136, 200704, 200704, 200704, 200704, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnet18,L4,1024,124416,89669,864,9.63544e+06,8.99166e+13,7.06655e+08,96,96,96,1,96,2988,54,1,1,200704,36864,1.1988e+12,107495424,1251.64,190.771,10.3086,7.06653e+08,107495424, 6717006, 6717006, 200704, 16.0035, 107495424, 1960128, 1960128, 36864, 54.841, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
resnet18,L5,1024,124416,258779,864,3.33876e+06,8.99166e+13,7.06655e+08,96,96,96,1,96,2988,54,1,1,200704,36864,4.15395e+11,107495424,1251.64,190.771,10.3086,7.06653e+08,107495424, 6717006, 6717006, 200704, 16.0035, 107495424, 1960128, 1960128, 36864, 54.841, 107495424, 107495424, 186624, 11943936, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 864, 12.3429
resnet18,L6,1024,3584,2965.26,56,1.88854e+07,8.99166e+13,7.06655e+08,57,56.0003,57,1,57,226,6,1,1,200704,64,6.76852e+10,200704,1251.64,21.1968,0.7797,7.06653e+08,200704, 200641, 200641, 200704, 1.00031, 200704, 64, 64, 64, 3136, 200704, 200704, 200704, 200704, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 56, 1
resnet18,L7,1024,124416,74857.8,432,5.77094e+06,8.99166e+13,7.06655e+08,94,94.2221,94,1,94,2482,54,1,1,200704,73728,7.17998e+11,53747712,1251.64,190.771,8.5629,7.06653e+08,53747712, 3440433, 3440433, 200704, 15.6224, 53747712, 1960704, 1960704, 73728, 27.4125, 53747712, 53747712, 373248, 11722752, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 448, 9.89313
resnet18,L8,1024,239616,176573,416,2.35596e+06,8.99166e+13,7.06655e+08,46,46.2221,46,1,46,1588,54,1,1,100352,147456,5.64527e+11,99680256,1251.64,190.771,5.4786,7.06653e+08,99680256, 6228378, 6228378, 100352, 16.0042, 99680256, 3805056, 3805056, 147456, 26.1968, 99680256, 99680256, 86528, 11075584, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 416, 9.90476
resnet18,L9,1024,124416,232413,432,1.85876e+06,8.99166e+13,7.06655e+08,94,94.2221,94,1,94,2482,54,1,1,200704,73728,2.3126e+11,53747712,1251.64,190.771,8.5629,7.06653e+08,53747712, 3440433, 3440433, 200704, 15.6224, 53747712, 1960704, 1960704, 73728, 27.4125, 53747712, 53747712, 373248, 11722752, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 448, 9.89313
