DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,29,8590953.75,1887101.012,25690900000000.0,201903034.4827586,1024 16,pass
1,19,5459092.5,1262724.0660000003,1214280000000.0,9543158.421052633,192 4,pass
2,19,5459092.5,1262724.0660000003,2428530000000.0,19086052.63157895,192 8,pass
3,18,4623172.5,1073772.066,1214280000000.0,9543157.222222222,192 4,pass
4,18,4623172.5,1073772.066,2428530000000.0,19086050.0,192 8,pass
5,17,4046047.5,944086.066,1214280000000.0,9543155.88235294,192 4,pass
6,17,4046047.5,944086.066,2428530000000.0,19086047.05882353,192 8,pass
7,16,3468922.5,884365.2660000001,1214280000000.0,9543154.375,192 4,pass
8,16,3468922.5,884365.2660000001,2428530000000.0,19086043.75,192 8,pass
9,10,437261.25,165855.16600000003,1214280000000.0,9543139.0,192 4,fail
10,10,437261.25,165855.16600000003,2428530000000.0,19086010.0,192 8,fail
11,0,0.0,0.0,1214280000000.0,,192 4,fail
12,0,0.0,0.0,2428530000000.0,,192 8,fail
13,0,0.0,0.0,1214280000000.0,,192 4,fail
14,0,0.0,0.0,2428530000000.0,,192 8,fail
15,0,0.0,0.0,1214280000000.0,,192 4,fail
16,0,0.0,0.0,2428530000000.0,,192 8,fail
17,0,0.0,0.0,1214280000000.0,,192 4,fail
18,0,0.0,0.0,2428530000000.0,,192 8,fail
19,0,0.0,0.0,1214280000000.0,,192 4,fail
20,0,0.0,0.0,2428530000000.0,,192 8,fail
21,19,1523583.75,916329.002,4419630000000.0,34733205.2631579,704 4,pass
22,19,1523583.75,916329.002,8839010000000.0,69465205.26315789,704 8,pass
23,18,1290303.75,764542.002,4419630000000.0,34733200.0,704 4,pass
24,18,1290303.75,764542.002,8839010000000.0,69465200.0,704 8,pass
25,17,1131678.75,665926.6020000001,4419630000000.0,34733194.11764706,704 4,pass
26,17,1131678.75,665926.6020000001,8839010000000.0,69465194.11764705,704 8,pass
27,16,973053.75,634433.502,4419630000000.0,34733187.5,704 4,pass
28,16,973053.75,634433.502,8839010000000.0,69465187.5,704 8,pass
29,10,131193.75,131350.102,4419630000000.0,34733120.0,704 4,fail
30,10,131193.75,131350.102,8839010000000.0,69465120.0,704 8,fail
31,0,0.0,0.0,4419630000000.0,,704 4,fail
32,0,0.0,0.0,8839010000000.0,,704 8,fail
33,0,0.0,0.0,4419630000000.0,,704 4,fail
34,0,0.0,0.0,8839010000000.0,,704 8,fail
35,0,0.0,0.0,4419630000000.0,,704 4,fail
36,0,0.0,0.0,8839010000000.0,,704 8,fail
37,0,0.0,0.0,4419630000000.0,,704 4,fail
38,0,0.0,0.0,8839010000000.0,,704 8,fail
39,0,0.0,0.0,4419630000000.0,,704 4,fail
40,0,0.0,0.0,8839010000000.0,,704 8,fail
