Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
resnet18,L0,4096,582169,6164.38,192,3.11467e+07,4.10461e+14,3.22578e+09,195,1.33777,195,1,195,19238,294,1,1,150528,9408,1.81326e+13,111776448,5006.54,4154.57,66.3711,3.22577e+09,111776448, 510447, 510447, 150528, 218.978, 111776448, 9408, 9408, 9408, 11881, 111776448, 111776448, 3041536, 760384, 1, 0, 0, 0, 0, 0, 0, 49, 49, 49, 192, 224
resnet18,L1,4096,26244,177421,4096,2.30863e+07,4.10461e+14,3.22577e+09,4160,23.5278,4160,1,4160,75008,54,1,1,200704,36864,6.05877e+11,107495424,5006.54,763.085,258.778,3.22577e+09,107495424, 580608, 580608, 200704, 185.143, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 4096, 192
resnet18,L2,4096,26244,170842,4096,2.39753e+07,4.10461e+14,3.22577e+09,4160,23.5278,4160,1,4160,75008,54,1,1,200704,36864,6.29209e+11,107495424,5006.54,763.085,258.778,3.22577e+09,107495424, 580608, 580608, 200704, 185.143, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 4096, 192
resnet18,L3,4096,3136,2952.13,64,2.16793e+07,4.10461e+14,3.22577e+09,128,64.0204,128,1,128,382,6,1,1,200704,64,6.79862e+10,200704,5006.54,84.7872,1.3179,3.22577e+09,200704, 200704, 200704, 200704, 1, 200704, 64, 64, 64, 3136, 200704, 200704, 200704, 197568, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 64, 1
resnet18,L4,4096,26244,4846.42,4096,8.4516e+08,4.10461e+14,3.22577e+09,4160,23.5278,4160,1,4160,75008,54,1,1,200704,36864,2.21804e+13,107495424,5006.54,763.085,258.778,3.22577e+09,107495424, 580608, 580608, 200704, 185.143, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 4096, 192
resnet18,L5,4096,26244,170842,4096,2.39753e+07,4.10461e+14,3.22577e+09,4160,23.5278,4160,1,4160,75008,54,1,1,200704,36864,6.29209e+11,107495424,5006.54,763.085,258.778,3.22577e+09,107495424, 580608, 580608, 200704, 185.143, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 4096, 192
resnet18,L6,4096,3136,2952.13,64,2.16793e+07,4.10461e+14,3.22577e+09,128,64.0204,128,1,128,382,6,1,1,200704,64,6.79862e+10,200704,5006.54,84.7872,1.3179,3.22577e+09,200704, 200704, 200704, 200704, 1, 200704, 64, 64, 64, 3136, 200704, 200704, 200704, 197568, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 64, 1
resnet18,L7,4096,13122,4715.75,4096,8.68579e+08,4.10461e+14,3.22577e+09,4160,49.0302,4160,1,4160,75008,54,1,1,200704,73728,1.13975e+13,53747712,5006.54,763.085,258.778,3.22577e+09,53747712, 569664, 569664, 200704, 94.3498, 53747712, 73728, 73728, 73728, 729, 53747712, 53747712, 373248, 93312, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 4096, 96
resnet18,L8,4096,24336,88144.3,4096,4.64692e+07,4.10461e+14,3.22577e+09,4160,29.0089,4160,1,4160,75008,54,1,1,100352,147456,1.13088e+12,99680256,5006.54,763.085,258.778,3.22577e+09,99680256, 558528, 558528, 100352, 178.47, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 173056, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 4096, 192
resnet18,L9,4096,1568,156127,4096,2.62351e+07,4.10461e+14,3.22577e+09,4160,69.1837,4160,1,4160,8448,6,1,1,200704,8192,4.11367e+10,6422528,5006.54,84.7872,29.1456,3.22577e+09,6422528, 100288, 100288, 200704, 64.0408, 6422528, 8192, 8192, 8192, 784, 6422528, 6422528, 401408, 100352, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4096, 64
