DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,29,194618880.0,4923699.675999999,410461000000000.0,3225770344.827586,4096 64,pass
1,29,194618880.0,4923699.675999999,25690900000000.0,201903034.4827586,1024 16,pass
2,29,194618880.0,4923699.675999999,32113400000000.0,252378034.4827586,1024 20,pass
3,29,194618880.0,4923699.675999999,38536000000000.0,302853034.48275864,1024 24,pass
4,29,194618880.0,4923699.675999999,44958600000000.0,353328068.9655172,1024 28,pass
5,29,194618880.0,4923699.675999999,51381200000000.0,403803724.1379311,1024 32,pass
6,29,194618880.0,4923699.675999999,57803700000000.0,454279034.4827586,1024 36,pass
7,29,194618880.0,4923699.675999999,64226300000000.0,504754034.4827586,1024 40,pass
8,29,194618880.0,4923699.675999999,70648900000000.0,555229034.4827586,1024 44,pass
9,29,194618880.0,4923699.675999999,77071500000000.0,605704068.9655173,1024 48,pass
10,29,194618880.0,4923699.675999999,25690900000000.0,201903034.4827586,1024 16,pass
11,29,194618880.0,4923699.675999999,32113400000000.0,252378034.4827586,1024 20,pass
12,29,194618880.0,4923699.675999999,38536000000000.0,302853034.48275864,1024 24,pass
13,29,194618880.0,4923699.675999999,44958600000000.0,353328068.9655172,1024 28,pass
14,29,194618880.0,4923699.675999999,51381200000000.0,403803724.1379311,1024 32,pass
15,29,194618880.0,4923699.675999999,57803700000000.0,454279034.4827586,1024 36,pass
16,29,194618880.0,4923699.675999999,64226300000000.0,504754034.4827586,1024 40,pass
17,29,194618880.0,4923699.675999999,70648900000000.0,555229034.4827586,1024 44,pass
18,29,194618880.0,4923699.675999999,77071500000000.0,605704068.9655173,1024 48,pass
19,29,194618880.0,4923699.675999999,25690900000000.0,201903034.4827586,1024 16,pass
20,29,194618880.0,4923699.675999999,32113400000000.0,252378034.4827586,1024 20,pass
21,29,194618880.0,4923699.675999999,38536000000000.0,302853034.48275864,1024 24,pass
22,29,194618880.0,4923699.675999999,44958600000000.0,353328068.9655172,1024 28,pass
23,29,194618880.0,4923699.675999999,51381200000000.0,403803724.1379311,1024 32,pass
24,29,194618880.0,4923699.675999999,57803700000000.0,454279034.4827586,1024 36,pass
25,29,194618880.0,4923699.675999999,64226300000000.0,504754034.4827586,1024 40,pass
26,29,194618880.0,4923699.675999999,70648900000000.0,555229034.4827586,1024 44,pass
27,29,194618880.0,4923699.675999999,77071500000000.0,605704068.9655173,1024 48,pass
28,28,172500480.0,4731931.675999999,25690900000000.0,201903035.7142857,1024 16,pass
