DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,29,125940207.75030164,1411362015.972231,729.0602795176018,216503309.2198608,31 64,pass
1,0,0.0,0.0,0.0,0.0,1 48,pass
2,0,0.0,0.0,0.0,0.0,1 44,pass
3,0,0.0,0.0,0.0,0.0,1 40,pass
4,0,0.0,0.0,0.0,0.0,1 36,pass
5,0,0.0,0.0,0.0,0.0,1 32,pass
6,0,0.0,0.0,0.0,0.0,1 28,pass
7,0,0.0,0.0,0.0,0.0,1 24,pass
8,0,0.0,0.0,0.0,0.0,1 20,pass
9,0,0.0,0.0,0.0,0.0,1 16,pass
10,0,0.0,0.0,0.0,0.0,2 48,pass
11,0,0.0,0.0,0.0,0.0,2 44,pass
12,0,0.0,0.0,0.0,0.0,2 40,pass
13,0,0.0,0.0,0.0,0.0,2 36,pass
14,0,0.0,0.0,0.0,0.0,2 32,pass
15,0,0.0,0.0,0.0,0.0,2 28,pass
16,0,0.0,0.0,0.0,0.0,2 24,pass
17,0,0.0,0.0,0.0,0.0,2 20,pass
18,0,0.0,0.0,0.0,0.0,2 16,pass
19,0,0.0,0.0,0.0,0.0,3 48,pass
20,0,0.0,0.0,0.0,0.0,3 44,pass
21,0,0.0,0.0,0.0,0.0,3 40,pass
22,0,0.0,0.0,0.0,0.0,3 36,pass
23,0,0.0,0.0,0.0,0.0,3 32,pass
24,0,0.0,0.0,0.0,0.0,3 28,pass
25,0,0.0,0.0,0.0,0.0,3 24,pass
26,0,0.0,0.0,0.0,0.0,3 20,pass
27,0,0.0,0.0,0.0,0.0,3 16,pass
28,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 48,pass
29,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 44,pass
30,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 40,pass
31,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 36,pass
32,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 32,pass
33,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 28,pass
34,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 24,pass
35,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 20,pass
36,1,465026.20021281455,229195541.0553196,124.6452427034018,12421693.333501909,4 16,pass
37,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 48,pass
38,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 44,pass
39,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 40,pass
40,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 36,pass
41,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 32,pass
42,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 28,pass
43,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 24,pass
44,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 20,pass
45,2,930052.4004256292,458391082.1106392,249.2904854068036,24843386.667003818,5 16,pass
46,6,6968673.003192225,868530471.3675268,472.3398670865752,76452418.17783909,6 48,pass
47,6,6968673.003192225,868530471.3675268,472.3398670865752,76452418.17783909,6 44,pass
48,6,6968673.003192225,868530471.3675268,472.3398670865752,76452418.17783909,6 40,pass
49,6,6968673.003192225,868530471.3675268,472.3398670865752,76452418.17783909,6 36,pass
50,6,6968673.003192225,868530471.3675268,472.3398670865752,76452418.17783909,6 32,pass
51,6,6968673.003192225,868530471.3675268,472.3398670865752,76452418.17783909,6 28,pass
52,6,6968673.003192225,868530471.3675268,472.3398670865752,76452418.17783909,6 24,pass
53,6,6968673.003192225,868530471.3675268,472.3398670865752,76452418.17783909,6 20,pass
54,6,6968673.003192225,868530471.3675268,472.3398670865752,76452418.17783909,6 16,pass
55,13,33951512.6155354,1254544014.1975386,682.2686969028308,168155088.14262435,7 48,pass
56,13,33951512.6155354,1254544014.1975386,682.2686969028308,168155088.14262435,7 44,pass
57,13,33951512.6155354,1254544014.1975386,682.2686969028308,168155088.14262435,7 40,pass
58,13,33951512.6155354,1254544014.1975386,682.2686969028308,168155088.14262435,7 36,pass
59,13,33951512.6155354,1254544014.1975386,682.2686969028308,168155088.14262435,7 32,pass
60,13,33951512.6155354,1254544014.1975386,682.2686969028308,168155088.14262435,7 28,pass
61,13,33951512.6155354,1254544014.1975386,682.2686969028308,168155088.14262435,7 24,pass
62,13,33951512.6155354,1254544014.1975386,682.2686969028308,168155088.14262435,7 20,pass
63,13,33951512.6155354,1254544014.1975386,682.2686969028308,168155088.14262435,7 16,pass
64,29,126562599.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 48,fail
65,29,126788924.113938,1411362015.972231,729.0602795176018,216503309.2198608,8 44,fail
66,29,127060513.35030171,1411362015.972231,729.0602795176018,216503309.2198608,8 40,fail
67,29,127392455.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 36,fail
68,29,127807383.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 32,fail
69,29,128340862.60744452,1411362015.972231,729.0602795176018,216503309.2198608,8 28,fail
70,29,129052167.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 24,fail
71,29,130047994.95030174,1411362015.972231,729.0602795176018,216503309.2198608,8 20,fail
72,29,131541735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,8 16,fail
73,29,126562599.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 48,fail
74,29,126788924.113938,1411362015.972231,729.0602795176018,216503309.2198608,9 44,fail
75,29,127060513.35030171,1411362015.972231,729.0602795176018,216503309.2198608,9 40,fail
76,29,127392455.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 36,fail
77,29,127807383.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 32,fail
78,29,128340862.60744452,1411362015.972231,729.0602795176018,216503309.2198608,9 28,fail
79,29,129052167.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 24,fail
80,29,130047994.95030174,1411362015.972231,729.0602795176018,216503309.2198608,9 20,fail
81,29,131541735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,9 16,fail
82,29,126562599.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 48,fail
83,29,126788924.113938,1411362015.972231,729.0602795176018,216503309.2198608,10 44,fail
84,29,127060513.35030171,1411362015.972231,729.0602795176018,216503309.2198608,10 40,fail
85,29,127392455.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 36,fail
86,29,127807383.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 32,fail
87,29,128340862.60744452,1411362015.972231,729.0602795176018,216503309.2198608,10 28,fail
88,29,129052167.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 24,fail
89,29,130047994.95030174,1411362015.972231,729.0602795176018,216503309.2198608,10 20,fail
90,29,131541735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,10 16,fail
91,29,126562599.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 48,fail
92,29,126788924.113938,1411362015.972231,729.0602795176018,216503309.2198608,11 44,fail
93,29,127060513.35030171,1411362015.972231,729.0602795176018,216503309.2198608,11 40,fail
94,29,127392455.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 36,fail
95,29,127807383.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 32,fail
96,29,128340862.60744452,1411362015.972231,729.0602795176018,216503309.2198608,11 28,fail
97,29,129052167.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 24,fail
98,29,130047994.95030174,1411362015.972231,729.0602795176018,216503309.2198608,11 20,fail
99,29,131541735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,11 16,fail
100,29,126562599.75030164,1411362015.972231,729.0602795176018,216503309.2198608,12 48,fail
101,29,126788924.113938,1411362015.972231,729.0602795176018,216503309.2198608,12 44,fail
102,29,127060513.35030171,1411362015.972231,729.0602795176018,216503309.2198608,12 40,fail
103,29,127392455.75030164,1411362015.972231,729.0602795176018,216503309.2198608,12 36,fail
104,29,127807383.75030164,1411362015.972231,729.0602795176018,216503309.2198608,12 32,fail
105,29,128340862.60744452,1411362015.972231,729.0602795176018,216503309.2198608,12 28,fail
106,29,129052167.75030164,1411362015.972231,729.0602795176018,216503309.2198608,12 24,fail
107,29,130047994.95030174,1411362015.972231,729.0602795176018,216503309.2198608,12 20,fail
108,29,131541735.75030164,1411362015.972231,729.0602795176018,216503309.2198608,12 16,fail
109,29,126562599.75030164,1411362015.972231,729.0602795176018,216503309.2198608,13 48,fail
110,29,126788924.113938,1411362015.972231,729.0602795176018,216503309.2198608,13 44,fail
111,29,127060513.35030171,1411362015.972231,729.0602795176018,216503309.2198608,13 40,fail
112,29,127392455.75030164,1411362015.972231,729.0602795176018,216503309.2198608,13 36,fail
113,29,127807383.75030164,1411362015.972231,729.0602795176018,216503309.2198608,13 32,fail
